apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Vilniaus - Šalčininkų,1958 01 19,Nevedęs,Nebuvo,"UAB ""Litovskij kurjer"", direktorius",Valerij TRETJAKOV,"Liukonių k. , Širvintų raj.","1985 - Vilniaus valstybinis universitetas, filologas;1975 - Anapos vidurinė mokykla",,,Naujoji sąjunga (socialliberalai),,,Rusų,Nėra,Neturi
Vilniaus - Šalčininkų,1965 03 03,Vedęs,Nebuvo,"Vilnaius raj. savivaldybė, vicemeras",Valdemar TOMAŠEVSKI,Vilnius ,"1990 - Vilniaus inžinierinis statybos institutas, inžinierius mechanikas",Sportas,,Lietuvos lenkų rinkimų akcija,,,Rusų,Nėra,Neturi
Vilniaus - Šalčininkų,1961 07 16,Vedęs,Nebuvo,"LR Seimas, Seimo narys",Artur PLOKŠTO,Vilnius ,"1984 - Vilniaus universitetas, fizika",Muzika,,Lietuvos demokratinė darbo partija,,,Anglų,Nėra,Neturi
Vilniaus - Šalčininkų,1969 07 04,Ištekėjusi,Nebuvo,"UAB ""Pavilona"", direktorė",Ilona PAŠKEVIČ,"Kalvelių k. , Vilniaus raj.","1988 - Aukštojo ir specialiojo vidurinio mokslo ministerijos Vilniaus politechnikumas, Pramonės įmonių šiluminių įrenginių šilumininkė",,,Lietuvos liberalų sąjunga,,,Rusų,Nėra,Neturi
Vilniaus - Šalčininkų,1931 11 15,,KANADA -     ,"Spaustuvė ''Lietuva'', vedėjas",Victor Vitold Vytautas LAUGALIS,Vilnius ,"1984 - Laterano Universitetas, Roma, Italija, teologija;1976 - York University Toronto (York) University, Ont. Canada, politiniai mokslai;1956 - Vilniaus valstybinis universitetas, istorijos - filologijos",Drama,,Lietuvos politinių kalinių ir tremtinių sąjunga,,,,Nėra,Neturi
Vilniaus - Šalčininkų,1961 10 04,Vedęs,Nebuvo,"VĮ Vilniaus raj. Mickūnų ambulatorija, bendruomenės slaugytojas",Romas KALCAS,Vilnius ,"1985 - Kauno P.Mažylio medicininė mokykla, med. felčeris",Žvejyba,,"Lietuvos partija ""Socialdemokratija 2000""",,,Rusų,Nėra,Neturi
Vilniaus - Šalčininkų,1972 10 11,,Nebuvo,"Vilniaus Žirmūnų darbo rinkos mokymo centras, dėstytoja",Jolanta BOGDELIENĖ,Vilnius ,"1996 - Lietuvos žemės ūkio akademija, buhalteris ekonomistas",,,Moderniųjų krikščionių demokratų sąjunga,,,Anglų,Nėra,Neturi
Vilniaus - Trakų,1947 03 25,Vedęs,Nebuvo,"AB ""Vilniaus melioracija"", generalinis direktorius",Vacys RAMANAUSKAS,"Trakų Vokė , Vilnius","1969 - Lietuvos žemės ūkio akademija, inžinierius hidrotechnikas",Turizmas,,Lietuvos centro sąjunga,,,Anglų,Nėra,Neturi
Vilniaus - Trakų,1955 02 26,Vedęs,Nebuvo,"UAB BĮ ""Alvolda"", direktorius",Aleksander POPLAVSKI,Vilnius ,"1979 - Vilniaus valstybinis universitetas, Medicinos fakultetas, sanitarija, higiena ir epidemiologija",Medžioklė,,Naujoji sąjunga (socialliberalai),,,Rusų,Nėra,Neturi
Vilniaus - Trakų,1951 06 11,Vedęs,Nebuvo,"UAB ''Alobra'', direktorius",Albinas POCEVIČIUS,Vilnius ,"1984 - Lietuvos veterinarijos akademija, zooinžinierius",Knygos,,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",,,Rusų,Nėra,Neturi
Vilniaus - Trakų,1941 03 28,,Nebuvo,"UAB ""Armena"", direktorius",Viktoras Leonas PAKALNIS,Vilnius ,"1969 - Kauno A.Kvedaro miškų technikumas, Miško technikas",,,"Lietuvos partija ""Socialdemokratija 2000""",,,Rusų,Nėra,Neturi
Vilniaus - Trakų,1970 10 27,Nevedęs,Nebuvo,,Mykolas OKULIČ KAZARINAS,Vilnius ,"1994 - D.I.Mendelejevo Rusijos chemijos technologijos universitetas, pramonės ekologija",SSSR istorija,,Lietuvos krikščionių demokratų partija,,,Rusų,Nėra,Neturi
Vilniaus - Trakų,1959 06 13,Vedęs,Nebuvo,"Juridinė firma ""Evidensa"", konsultantas",Česlav MICKIEVIČ,Vilnius ,"1984 - Vilniaus valstybinis pedagoginis institutas, istorija",Muzika,,Lietuvos socialdemokratų partija,,,Rusų,Nėra,Neturi
Vilniaus - Trakų,1940 09 01,Vedęs,Nebuvo,"Trakų raj. laisvalaikio organizavimo centras, darbų saugos specialistas",Henrik JANKOVSKI,"Trakai , Trakų raj.","1971 - Visasąjunginis žemės ūkio institutas, ekonomistas;1966 - Lietuvos žemės ūkio akademija, agronomas;1960 - Vilniaus agrozootechnikumas, zootechnikas",Žūklė,,Lietuvos lenkų rinkimų akcija,,,,Nėra,Neturi
Vilniaus - Trakų,1951 01 29,,Nebuvo,,Sofija DAUBARAITĖ,"Telšiai , Telšių raj.","1976 - Vilniaus universitetas, filologė",Teisinės literatūros analizavimas,,Tėvynės sąjunga  (Lietuvos konservatoriai),,,Vokiečių,Nėra,Neturi
Vilniaus - Trakų,1969 11 12,Vedęs,Nebuvo,"UAB draudimo brokeris ""Vilniaus draudėjų garantas"", direktoriaus pavaduotojas",Žilvinas CIBAS,Vilnius ,"1988 - Vilniaus prekybos technikumas, Nemaisto prekių prekių žinovas",Burlenčių sportas,,Nuosaikiųjų konservatorių sąjunga,,,Rusų,Nėra,Neturi
Vilniaus - Trakų,1944 11 19,Vedęs,Nebuvo,,Anicet BRODAVSKI,"Pagirių k. , Vilniaus raj.","1967 - Lietuvos žemės ūkio akademija, inžinierius mechanikas",,,Išsikėlė pats,,,Rusų,Nėra,Neturi
Trakų - Elektrėnų,1955 09 21,Vedęs,Nebuvo,"VĮ ""Trakų ligoninė"", gydytoas",Tadeuš TUČKOVSKI,"Žaizdrių k. , Trakų raj.","1980 - Vilniaus universitetas, gydytojas",,,Lietuvos lenkų rinkimų akcija,,,Rusų,Nėra,Neturi
Trakų - Elektrėnų,1939 12 05,Vedęs,Nebuvo,"LR Seimas, Seimo narys",Rimvydas Raimondas SURVILA,"Trakai , Trakų raj.","1969 - Lietuvos veterinarijos akademija, zootechnikas",,,Tėvynės sąjunga  (Lietuvos konservatoriai),,,Vokiečių,Nėra,Neturi
Trakų - Elektrėnų,1951 04 26,,Nebuvo,"Žemėtvarkos ir teisės departamentas prie ŽŪM, kontrolės skyriaus vyriausias specialistas",Steponas PUIPA,"Trakai , Trakų raj.","1980 - Lietuvos žemės ūkio akademija, inžinierius-žemėtvarkininkas",Bitininkystė,,Moderniųjų krikščionių demokratų sąjunga,,,Anglų,Nėra,Neturi
Trakų - Elektrėnų,1956 04 26,Vedęs,Nebuvo,,Arvydas PEČIULIS,"Grigiškės , Trakų raj.",,,,"Lietuvos partija ""Socialdemokratija 2000""",,,,Nėra,Neturi
Trakų - Elektrėnų,1948 10 15,Ištekėjusi,Nebuvo,"Trakų raj. Onuškio vidurinė mokykla, direktorė",Zita OKUNEVIČIENĖ,"Onuškio mst. , Trakų raj.","1977 - Vilniaus pedagoginis institutas, Istorijos mokytoja",Gamta,,Lietuvos liberalų sąjunga,,,Vokiečių,Nėra,Neturi
Trakų - Elektrėnų,1963 08 03,Vedęs,Nebuvo,"IĮ ADUTA, vadovas",Viktoras MONGIRDAS,"Aukštadvario mstl. , Trakų raj.","1986 - Kauno politechnikos institutas, inžinierius elektrikas",Biologija,,Lietuvos krikščionių demokratų partija,,,Vengrų,Nėra,Neturi
Trakų - Elektrėnų,1966 08 06,Ištekėjusi,Nebuvo,,Dangutė MIKUTIENĖ,"Trakai , Trakų raj.","2000 - Lietuvos teisės akademija Valstybinio valdymo fakultetas (magistratūra), viešasis administravimas;1988 - Valstybinės konservatorijos Klaipėdos Teatro fakultetas, režisūra",Automobiliai,,Naujoji sąjunga (socialliberalai),,,Anglų,Nėra,Neturi
Trakų - Elektrėnų,1956 02 06,Vedęs,Nebuvo,"LŽŪKT Trakų biuro konsultantas augalininkystei, l.e. biuro vedėjo pareigas",Albertas MALAŠAUSKAS,"Grendavės k. , Trakų raj.","1978 - Lietuvos žemės ūkio akademija, Mokslinis agronomas",Knygų skaitymas,,Lietuvos valstiečių partija,,,Vokiečių,Nėra,Neturi
Trakų - Elektrėnų,1957 05 12,,Nebuvo,"UAB ''Ušna'', vadybininkas",Vladislav JANKOVSKIJ,"Sadūniškių k. , Vilniaus raj.","1976 - Žemės ūkio technikumas, agronomas",,,Išsikėlė pats,,,Rusų,Nėra,Neturi
Trakų - Elektrėnų,1968 04 13,Vedęs,Nebuvo,,Raimondas IVAŠKEVIČIUS,"Vievininkų k. , Elektrėnų sav.","Lietuvos žemės ūkio universitetas (5 kursas), hidrotechnikas;1988 - Vilniaus prekybos technikumas, prekių žinovas",Medžioklė,,Lietuvos demokratų partija,,,Rusų,Nėra,Neturi
Trakų - Elektrėnų,1958 09 22,Ištekėjusi,Nebuvo,"UAB ''Viva Terra ir Ko'', direktorė",Valerija BRAZIENĖ GITELMAN,Vilnius ,"1992 - Kauno vadybos ir kalbų koledžas, Smulkaus verslo specialistė-ekonomistė;1984 - Kauno Technologijos universitetas, inžinierė statybininkė",Kelionės,,Naujosios demokratijos partija,,,Anglų,Nėra,Neturi
Trakų - Elektrėnų,1936 02 23,,Nebuvo,"UAB projektavimo konstravimo firma ""IRSA"", l.e.direktorius",Kęstutis Vaclovas BARAVYKAS,Vilnius ,"1959 - Vilniaus valstybinis universitetas, Inžinierius geologas",Buriavimas,,Lietuvių tautininkų sąjunga,,,Anglų,Nėra,Neturi
Trakų - Elektrėnų,1952 11 12,Ištekėjusi,Nebuvo,"LR Seimas, Seimo narė",Danutė ALEKSIŪNIENĖ,"Padaliosės k. , Trakų raj.","1975 - Kauno Politechnikos institutas, inžinierius mechanikas, inžinierius pedagogas",,,Lietuvos centro sąjunga,,,Rusų,Nėra,Neturi
Kaišiadorių - Elektrėnų,1956 01 19,Vedęs,Nebuvo,"LR Seimas, Nacionalinio saugumo ir ginybos komitetas",Saulius PEČELIŪNAS,Vilnius ,"1979 - Vilniaus inžinerinis statybos institutas, inžinierius kelininkas",Automobilių sportas,,Lietuvos demokratų partija,,,Anglų,Nėra,Neturi
Kaišiadorių - Elektrėnų,1946 11 04,Vedęs,Nebuvo,"Kaišiadorių rajono savivaldybė, meras",Juozas MATULEVIČIUS,"Kaišiadorys , Kaišiadorių raj.","1970 - Kauno medicinos institutas, Gydytojas;1963 - Žiežmarių vid. mokykla",Šachmatai,,Lietuvos liberalų sąjunga,,,Anglų,Nėra,Neturi
Kaišiadorių - Elektrėnų,1940 11 13,Vedęs,Nebuvo,"AB ""Achema"", konsultantas",Juozas Virmantas JURGAITIS,"Jonava , Jonavos raj.","1963 - Kauno politechnikos institutas, inžinierius elektrikas",Fotografavimas,,Naujoji sąjunga (socialliberalai),,,Rusų,Nėra,Neturi
Kaišiadorių - Elektrėnų,1945 07 10,Ištekėjusi,Nebuvo,"Kaišiadorių žemės ūkio mokykla, mokytoja",Zita Marijona JUODEIKIENĖ,"Kruonio mstl. , Kaišiadorių raj.","1968 - LŽŪA, Agronomas",,,Lietuvos valstiečių partija,,,Rusų,Nėra,Neturi
Kaišiadorių - Elektrėnų,1957 07 16,Vedęs,Nebuvo,"LR Seimas, vicepirmininkas",Rimantas Jonas DAGYS,"Grigiškės , Trakų raj.","1980 - Vilniaus universitetas Chemijos fakultetas, chemikas, dėstytojas;1975 - Kauno 24 vid. mokykla",Žvejyba,,"Lietuvos partija ""Socialdemokratija 2000""",,,Baltarusių,Nėra,Neturi
Kaišiadorių - Elektrėnų,1944 02 20,Vedęs,Nebuvo,"AB ""Šaldytuvų ūkis"", Eksporto ir importo terminalo direktorius",Bronius BRADAUSKAS,Vilnius ,"1966 - Vilniaus valstybinis universitetas, ekonomistas",Grybavimas,,Lietuvos demokratinė darbo partija,,,Vokiečių,Nėra,Neturi
Jonavos,1937 03 25,Našlė,Nebuvo,Pensininkė,Salomėja Vida VALATKEVIČIENĖ,"Šveicarijos k. , Jonavos raj.","1960 - Lietuvos veterinarijos akademija, zootechnikas",Skaitymas,,Nuosaikiųjų konservatorių sąjunga,,,Rusų,Nėra,Neturi
Jonavos,1951 01 19,Vedęs,Nebuvo,"Jonavos raj. Pauliukų žemės ūkio bendrovė, bendrovės valdybos pirmininkas",Andrejus ŠTOMBERGAS,"Pauliukų k. , Jonavos raj.","1973 - Lietuvos veterinarijos akademija, Zootechnikas",Filmai,,Lietuvos valstiečių partija,,,Rusų,Nėra,Neturi
Jonavos,1952 04 03,Vedęs,Nebuvo,"Akcinė bendrovė ""ACHEMA"", Komercijos direktoriaus pavaduotojas- realizacijos skyriaus viršininkas",Rimantas SINKEVIČIUS,"Jonava , Jonavos raj.","1975 - Kauno technikos universitetas (buvęs KPI), inžinierius-chemikas-technologas",Medžioklė,,Lietuvos demokratinė darbo partija,,,Rusų,Nėra,Neturi
Jonavos,1927 02 01,Vedęs,Nebuvo,Pensininkas,Kazimieras PETRAITIS,"Garšvių k. , Panevėžio raj.","1955 - Kauno politechnikos institutas, Inžinierius statybininkas",Gyvuliai,,Respublikonų partija,,,Rusų,Nėra,Neturi
Jonavos,1956 11 16,Vedęs,Nebuvo,"Mokesčių policijos departamentas prie LR VRM, Kauno apsk. skyriaus revizinės tarybos viršininkas",Rimvydas PAŠKAUSKAS,"Išorų k. , Jonavos raj.","1979 - Vilniaus universitetas, finansų ir kredito",Fotografija,,Lietuvos centro sąjunga,,,Vokiečių,Nėra,Neturi
Jonavos,1970 08 14,Vedęs,Nebuvo,"Jonavos rajonos savivaldybė, Ruklos seniūnas",Gintas JASIULIONIS,"Jonava , Jonavos raj.",,,,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",,,,Nėra,Neturi
Jonavos,1972 10 03,Vedęs,Nebuvo,"UAB ""Pūkas"", žinių redaktorius",Arūnas GRUŠECKAS,Kaunas ,"Maskvos teisės institutas, teisė;VU, žurnalistika;1995 - KAEM, juristas",Ekonomika,,Krikščionių demokratų sąjunga,,,Anglų,Nėra,Neturi
Jonavos,1938 03 15,Vedęs,Nebuvo,"AB""Achema"" darbuotojų profesinė sąjunga, komiteto pirmininkas",Klemensas Algimantas GAIŽAUSKAS,"Jonava , Jonavos raj.","1975 - Visasąjunginis neakivaizdinis politechnikos institutas, inžinierius-technologas",Gamta,,"Lietuvos partija ""Socialdemokratija 2000""",,,Vokiečių,Nėra,Neturi
Jonavos,1970 09 25,Vedęs,Nebuvo,"UAB ""Baltijos viešųjų ryšių grupė"", direktorius",Jonas ČEKUOLIS,Vilnius ,"1992 - Vilniaus universitetas, Istorikas;1988 - Vilniaus S. Neries vid. m-kla",Sportas,,Lietuvos liberalų sąjunga,,,Anglų,Nėra,Neturi
Jonavos,1953 10 14,Ištekėjusi,Nebuvo,"Jonavos Panerio prad.mokykla, direktorė",Ona ANTANAVIČIENĖ,"Jonava , Jonavos raj.","1998 - ŠPU, pradinis mokymas;1985 - ŠPI Klaipėdos fakultetas, ikimokyklinis auklėjimas",Literatūra,,Tėvynės sąjunga  (Lietuvos konservatoriai),,,Vokiečių,Nėra,Neturi
Jonavos,1936 12 19,Vedęs,Nebuvo,"Vaikų ir jaunimo klubas ""Olimpija"", vadovas",Romualdas Kęstutis ANCUTA,Vilnius ,"1973 - Leningrado kultūros institutas ir konservatorija, aukščiausios kvalifikacijos kultūros ir švietimo metodininkas-organizatorius, dainininkas","Filosofinė, politologinė literatūra",,Naujoji sąjunga (socialliberalai),,,Rusų,Nėra,Neturi
Ukmergės,1948 04 06,Vedęs,Nebuvo,"Viešoji įstaiga Ukmergės ligoninė, vyriausiasis gydytojas",Algimantas VELIČKA,"Ukmergė , Ukmergės raj.","1977 - Kauno medicinos institutas, gydytojas",Estradinė ir klasikinė muzika,,Nuosaikiųjų konservatorių sąjunga,,,Vokiečių,Nėra,Neturi
Ukmergės,1950 08 05,,Nebuvo,"Advokatės Reginos Šaltinienės biuras, advokatė",Regina ŠALTINIENĖ,"Ukmergė , Ukmergės raj.","1986 - Vilniaus universitetas, teisininkė",Grybavimas,,"Lietuvos partija ""Socialdemokratija 2000""",,,Anglų,Nėra,Neturi
Ukmergės,1945 11 01,Vedęs,Nebuvo,"Lietuvos Respublikos Seimas, Seimo narys",Rimantas SMETONA,"Užulėnio k. , Ukmergės raj.","1977 - Leningrado valst. teatro, muzikos ir kinematografijos institutas, televizijos režisierius;1965 - Ukmergės ž.ū. mechanizacijos technikumas, technikas-mechanikas",,,Lietuvos nacionaldemokratų partija,,,Rusų,Nėra,Neturi
Ukmergės,1959 04 02,Vedęs,Nebuvo,"LR Seimas, Seimo nario padėjėjas-sekretorius",Arvydas MIKUTIS,"Žemaitkiemio mstl. , Ukmergės raj.","1982 - Lietuvos žemės ūkio akademija, inžinierius-mechanikas",,,Lietuvos krikščionių demokratų partija,,,Anglų,Nėra,Neturi
Ukmergės,1958 08 10,Vedęs,Nebuvo,"UAB ""Ukmergės paslauga"", direktorius",Sigitas MASIULIONIS,"Ukmergė , Ukmergės raj.","1981 - Kauno politechnikos institutas, medienos mechaninio apdirbimo technologija",Fotografija,,Lietuvos centro sąjunga,,,Vokiečių,Nėra,Neturi
Ukmergės,1956 04 13,Vedęs,Nebuvo,"UAB ""FTC"" (prekyba akmens anglimi), prezidentas",Alfonsas MACAITIS,Vilnius ,"1979 - Kauno Politechnikos institutas, radijo inžinierius",Knygos,,Lietuvos demokratinė darbo partija,,,Rusų,Nėra,Neturi
Ukmergės,1962 05 10,Vedęs,Nebuvo,"AB LTB Ukmergės skyrius, valdytojo pavaduotojas",Albertas LINGĖ,"Ukmergė , Ukmergės raj.","1990 - LŪ specialistų persikvalifikavimo fakultetas pagal naujas mokslo ir technikos kryptis prie KPI;1986 - Kauno Antano Sniečkaus politechnikos institutas, mašinų gamybos technologijos",,,Naujoji sąjunga (socialliberalai),,,Rusų,Nėra,Neturi
Ukmergės,1935 03 05,Išsiskyręs,Nebuvo,Ūkininkas,Steponas JANKELIŪNAS,"Kultuvėnų k. , Ukmergės raj.","1965 - Lietuvos žemės ūkio akademija, Mokslinis agronomas",Sportas,,Lietuvos valstiečių partija,,,Rusų,Nėra,Neturi
Ukmergės,1952 11 06,Vedęs,Nebuvo,"Lietuvos Respublikos žemės ūkio ministerija, viceministras",Vytautas GRUŠAUSKAS,"Ukmergė , Ukmergės raj.","1979 - Maskvos V.P. Gariačkino institutas, technikos disciplinų dėstytojas;1975 - Lietuvos žemės ūkio akademija, žemės ūkio elektrifikacija",Istorija,,Lietuvos politinių kalinių ir tremtinių sąjunga,,,Lenkų,Nėra,Neturi
Ukmergės,1954 07 13,Vedęs,Nebuvo,"Vilniaus prekybos, pramonės ir amatų rūmų Ukmergės filialas, filialo direktorius",Regimantas BARAVYKAS,"Ukmergė , Ukmergės raj.","1977 - Kauno politechnikos institutas, Medienos apdirbimo inžinierius-technologas",Muzika,,Lietuvos liberalų sąjunga,,,Anglų,Nėra,Neturi
Jurbarko,1956 10 07,Nenurodė,Nebuvo,"Generalinė miškų urėdija prie Aplinkos ministerijos, skyriaus viršininkė",Birutė VALIONYTĖ,"Girsteikiškio k. , Rokiškio raj.","1983 - Žemės ūkio akademija, Miškų ūkio inžinierė",Kelionės,,Lietuvos demokratų partija,,,Rusų,Nėra,Neturi
Jurbarko,1949 11 26,Nevedęs,Nebuvo,"Veliuonos seniūnija, seniūnas",Mindaugas ŠLEPŠEVIČIUS,"Graužėnų k. , Jurbarko raj.","1974 - Lietuvos žemės ūkio akademija, Inžinierius-mechanikas",Sportas,,Lietuvos valstiečių partija,,,Rusų,Nėra,Neturi
Jurbarko,1960 11 22,Vedęs,Nebuvo,"UAB ""Litnek"", direktorius",Arūnas STOŠKUS,Vilnius ,"1983 - Vilniaus universitetas, ekonomistas",Kelionės,,Naujoji sąjunga (socialliberalai),,,Vokiečių,Nėra,Neturi
Jurbarko,1962 03 14,Vedęs,Nebuvo,"S. Lapėno įmonė ""Asta"", direktorius",Saulius LAPĖNAS,"Jurbarkas , Jurbarko raj.","1985 - Vilniaus inžinerinis statybos institutas, Architektas",Muzika,,Lietuvos liberalų sąjunga,,,Vokiečių,Nėra,Neturi
Jurbarko,1939 05 24,Vedęs,Nebuvo,"UAB ""Ksanteno modelis"", direktorius",Antanas Juozas KAZAKEVIČIUS,"Raudonės mstl. , Jurbarko raj.","1962 - Lietuvos veterinarijos akademija, veterinarijos gydytojas",Įvairūs,,Tėvynės sąjunga  (Lietuvos konservatoriai),,,Vokiečių,Nėra,Neturi
Jurbarko,1936 03 29,Vedęs,Nebuvo,"Lietuvos tūkstantmečio minėjimo direkcija prie LR Prezidento kanceliarijos, direktorius",Stanislovas Gediminas ILGŪNAS,Vilnius ,"1976 - Vilniaus universitetas, žurnalistas;1967 - Kauno ekonomikos technikumas, ekonomistas",Istorija,,Lietuvos socialdemokratų partija,,,Vokiečių,Nėra,Neturi
Jurbarko,1950 11 07,Vedęs,Nebuvo,"Jurbarko miškų urėdija, Privačių miškų tarnybos viršininkas",Jonas BUČINSKAS,"Jurbarkas , Jurbarko raj.","1974 - Lietuvos žemės ūkio akademija, Miškų ūkio fakultetas, miškų ūkio inžinierius",Fotografija,,Lietuvos krikščionių demokratų partija,,,Rusų,Nėra,Neturi
Suvalkijos,1955 10 30,Vedęs,Nebuvo,"Lietuvos Respublikos Seimas, Seimo narys",Juozas OLEKAS,Vilnius ,"1980 - Vilniaus universitetas, gydytojas",Sodininkystė,,Lietuvos socialdemokratų partija,,,Anglų,Nėra,Neturi
