apygarda,nuo_galiojanciu_biuleteniu,partija,apylinkese,pastu,apylinke
Lazdijų - Druskininkų (Nr.71),6.33%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",5,5,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71),8.86%,Liberalų ir centro sąjunga,8,6,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71),8.86%,Valstiečių ir Naujosios demokratijos partijų sąjunga,11,3,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71), ,Lietuvos lenkų rinkimų akcija, , ,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71),1.90%,Krikščionių konservatorių socialinė sąjunga,1,2,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71),1.27%,Lietuvos krikščionys demokratai, ,2,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71), ,Nacionalinė centro partija, , ,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71), ,Respublikonų partija, , ,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71), ,Lietuvos socialdemokratų sąjunga, , ,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71),0.63%,Lietuvos laisvės sąjunga, ,1,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71), ,Tautinė partija Lietuvos kelias, , ,Varnėnų (Nr.33) apylinkė
Lazdijų - Druskininkų (Nr.71), ,Lietuvių tautininkų sąjunga, , ,Varnėnų (Nr.33) apylinkė
Varėnos - Eišiškių (Nr.70),19.50%,Darbo partija,84,18,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),30.59%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",132,28,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),10.52%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",42,13,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),17.59%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",48,44,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),13.19%,Liberalų ir centro sąjunga,55,14,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),3.44%,Valstiečių ir Naujosios demokratijos partijų sąjunga,15,3,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70), ,Lietuvos lenkų rinkimų akcija, , ,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),2.10%,Krikščionių konservatorių socialinė sąjunga,9,2,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),0.19%,Lietuvos krikščionys demokratai,1, ,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),0.38%,Nacionalinė centro partija,2, ,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),0.38%,Respublikonų partija,2, ,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),0.57%,Lietuvos socialdemokratų sąjunga, ,3,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),0.38%,Lietuvos laisvės sąjunga,1,1,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),0.76%,Tautinė partija Lietuvos kelias,3,1,Senosios Varėnos (Nr.39) apylinkė
Varėnos - Eišiškių (Nr.70),0.38%,Lietuvių tautininkų sąjunga,2, ,Senosios Varėnos (Nr.39) apylinkė
Dzūkijos (Nr.69),30.19%,Darbo partija,63,33,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),25.47%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",63,18,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),21.07%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",37,30,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),8.49%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",20,7,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),4.72%,Liberalų ir centro sąjunga,12,3,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),5.03%,Valstiečių ir Naujosios demokratijos partijų sąjunga,13,3,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69), ,Lietuvos lenkų rinkimų akcija, , ,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),2.20%,Krikščionių konservatorių socialinė sąjunga,4,3,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),0.63%,Lietuvos krikščionys demokratai,2, ,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),0.63%,Nacionalinė centro partija, ,2,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),0.31%,Respublikonų partija,1, ,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),0.63%,Lietuvos socialdemokratų sąjunga,2, ,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),0.31%,Lietuvos laisvės sąjunga,1, ,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69),0.31%,Tautinė partija Lietuvos kelias,1, ,Nemunaičio (Nr.50) apylinkė
Dzūkijos (Nr.69), ,Lietuvių tautininkų sąjunga, , ,Nemunaičio (Nr.50) apylinkė
Vilkaviškio (Nr.68),42.34%,Darbo partija,74,31,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68),24.60%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",39,22,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68),11.69%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",17,12,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68),5.24%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",11,2,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68),4.44%,Liberalų ir centro sąjunga,9,2,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68),5.24%,Valstiečių ir Naujosios demokratijos partijų sąjunga,11,2,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68), ,Lietuvos lenkų rinkimų akcija, , ,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68),1.61%,Krikščionių konservatorių socialinė sąjunga,3,1,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68),1.21%,Lietuvos krikščionys demokratai,1,2,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68),0.81%,Nacionalinė centro partija, ,2,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68),0.40%,Respublikonų partija, ,1,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68),1.61%,Lietuvos socialdemokratų sąjunga,4, ,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68), ,Lietuvos laisvės sąjunga, , ,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68), ,Tautinė partija Lietuvos kelias, , ,Gudelių (Nr.44) apylinkė
Vilkaviškio (Nr.68),0.81%,Lietuvių tautininkų sąjunga,1,1,Gudelių (Nr.44) apylinkė
Prienų (Nr.67),28.82%,Darbo partija,100,30,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67),34.15%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",110,44,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67),13.97%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",47,16,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67),9.76%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",31,13,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67),5.10%,Liberalų ir centro sąjunga,16,7,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67),3.55%,Valstiečių ir Naujosios demokratijos partijų sąjunga,14,2,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67), ,Lietuvos lenkų rinkimų akcija, , ,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67),0.89%,Krikščionių konservatorių socialinė sąjunga,4, ,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67),1.11%,Lietuvos krikščionys demokratai,3,2,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67),0.44%,Nacionalinė centro partija,1,1,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67),1.33%,Respublikonų partija,4,2,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67), ,Lietuvos socialdemokratų sąjunga, , ,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67),0.44%,Lietuvos laisvės sąjunga,1,1,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67),0.44%,Tautinė partija Lietuvos kelias,1,1,Stakliškių (Nr.34) apylinkė
Prienų (Nr.67), ,Lietuvių tautininkų sąjunga, , ,Stakliškių (Nr.34) apylinkė
Kauno kaimiškoji (Nr.66),38.74%,Darbo partija,83,3,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66),23.42%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",50,2,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66),13.96%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",28,3,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66),6.76%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",15, ,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66),9.01%,Liberalų ir centro sąjunga,19,1,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66),4.95%,Valstiečių ir Naujosios demokratijos partijų sąjunga,11, ,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66), ,Lietuvos lenkų rinkimų akcija, , ,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66),1.80%,Krikščionių konservatorių socialinė sąjunga,4, ,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66), ,Lietuvos krikščionys demokratai, , ,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66),0.45%,Nacionalinė centro partija,1, ,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66),0.45%,Respublikonų partija,1, ,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66), ,Lietuvos socialdemokratų sąjunga, , ,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66),0.45%,Lietuvos laisvės sąjunga, ,1,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66), ,Tautinė partija Lietuvos kelias, , ,Linksmakalnio (Nr.47) apylinkė
Kauno kaimiškoji (Nr.66), ,Lietuvių tautininkų sąjunga, , ,Linksmakalnio (Nr.47) apylinkė
Kauno - Kėdainių (Nr.65),67.48%,Darbo partija,90,20,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65),9.82%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",15,1,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65),9.20%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",13,2,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65),2.45%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",4, ,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65),3.68%,Liberalų ir centro sąjunga,6, ,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65),4.29%,Valstiečių ir Naujosios demokratijos partijų sąjunga,7, ,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65), ,Lietuvos lenkų rinkimų akcija, , ,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65),1.23%,Krikščionių konservatorių socialinė sąjunga,2, ,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65),0.61%,Lietuvos krikščionys demokratai, ,1,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65), ,Nacionalinė centro partija, , ,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65),0.61%,Respublikonų partija,1, ,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65),0.61%,Lietuvos socialdemokratų sąjunga,1, ,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65), ,Lietuvos laisvės sąjunga, , ,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65), ,Tautinė partija Lietuvos kelias, , ,Vainikų (Nr.49) apylinkė
Kauno - Kėdainių (Nr.65), ,Lietuvių tautininkų sąjunga, , ,Vainikų (Nr.49) apylinkė
Šakių (Nr.64),22.00%,Darbo partija,126,48,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64),27.43%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",136,81,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64),16.31%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",87,42,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64),9.10%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",52,20,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64),5.06%,Liberalų ir centro sąjunga,25,15,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64),7.71%,Valstiečių ir Naujosios demokratijos partijų sąjunga,49,12,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64), ,Lietuvos lenkų rinkimų akcija, , ,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64),1.52%,Krikščionių konservatorių socialinė sąjunga,6,6,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64),9.36%,Lietuvos krikščionys demokratai,38,36,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64),0.38%,Nacionalinė centro partija,3, ,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64),0.38%,Respublikonų partija,3, ,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64),0.63%,Lietuvos socialdemokratų sąjunga,4,1,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64),0.13%,Lietuvos laisvės sąjunga, ,1,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64), ,Tautinė partija Lietuvos kelias, , ,Kudirkos Naumiesčio (Nr.38) apylinkė
Šakių (Nr.64), ,Lietuvių tautininkų sąjunga, , ,Kudirkos Naumiesčio (Nr.38) apylinkė
Suvalkijos (Nr.63),44.83%,Darbo partija,50,2,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63),21.55%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",22,3,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63),5.17%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",5,1,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63),12.07%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",12,2,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63),2.59%,Liberalų ir centro sąjunga,3, ,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63),5.17%,Valstiečių ir Naujosios demokratijos partijų sąjunga,6, ,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63), ,Lietuvos lenkų rinkimų akcija, , ,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63),1.72%,Krikščionių konservatorių socialinė sąjunga,2, ,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63),4.31%,Lietuvos krikščionys demokratai,4,1,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63), ,Nacionalinė centro partija, , ,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63),0.86%,Respublikonų partija,1, ,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63),1.72%,Lietuvos socialdemokratų sąjunga,1,1,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63), ,Lietuvos laisvės sąjunga, , ,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63), ,Tautinė partija Lietuvos kelias, , ,Gavaltuvos (Nr.41) apylinkė
Suvalkijos (Nr.63), ,Lietuvių tautininkų sąjunga, , ,Gavaltuvos (Nr.41) apylinkė
Jurbarko (Nr.62),25.30%,Darbo partija,208,48,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62),26.19%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",215,50,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62),12.85%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",111,19,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62),10.97%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",100,11,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62),14.82%,Liberalų ir centro sąjunga,123,27,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62),5.73%,Valstiečių ir Naujosios demokratijos partijų sąjunga,45,13,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62), ,Lietuvos lenkų rinkimų akcija, , ,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62),2.67%,Krikščionių konservatorių socialinė sąjunga,20,7,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62),0.40%,Lietuvos krikščionys demokratai,2,2,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62),0.59%,Nacionalinė centro partija,6, ,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62),0.10%,Respublikonų partija, ,1,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62),0.20%,Lietuvos socialdemokratų sąjunga,2, ,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62), ,Lietuvos laisvės sąjunga, , ,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62),0.20%,Tautinė partija Lietuvos kelias,1,1,Naujamiesčio (Nr.31) apylinkė
Jurbarko (Nr.62), ,Lietuvių tautininkų sąjunga, , ,Naujamiesčio (Nr.31) apylinkė
Ukmergės (Nr.61),37.31%,Darbo partija,93,51,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61),15.03%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",34,24,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61),10.10%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",18,21,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61),10.88%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",21,21,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61),5.96%,Liberalų ir centro sąjunga,10,13,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61),11.40%,Valstiečių ir Naujosios demokratijos partijų sąjunga,23,21,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61), ,Lietuvos lenkų rinkimų akcija, , ,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61),3.63%,Krikščionių konservatorių socialinė sąjunga,2,12,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61),4.15%,Lietuvos krikščionys demokratai,8,8,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61),0.26%,Nacionalinė centro partija, ,1,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61),0.26%,Respublikonų partija, ,1,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61),0.78%,Lietuvos socialdemokratų sąjunga,2,1,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61), ,Lietuvos laisvės sąjunga, , ,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61),0.26%,Tautinė partija Lietuvos kelias, ,1,Žemaitkiemio (Nr.40) apylinkė
Ukmergės (Nr.61), ,Lietuvių tautininkų sąjunga, , ,Žemaitkiemio (Nr.40) apylinkė
Jonavos (Nr.60),100.00%,Darbo partija, ,2,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""", , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)", , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""", , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,Liberalų ir centro sąjunga, , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,Valstiečių ir Naujosios demokratijos partijų sąjunga, , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,Krikščionių konservatorių socialinė sąjunga, , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,Lietuvos krikščionys demokratai, , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,Nacionalinė centro partija, , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,Respublikonų partija, , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,Lietuvos socialdemokratų sąjunga, , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,Lietuvos laisvės sąjunga, , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,Tautinė partija Lietuvos kelias, , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,Lietuvių tautininkų sąjunga, , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Jonavos (Nr.60), ,Lietuvos lenkų rinkimų akcija, , ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Kaišiadorių - Elektrėnų (Nr.59),26.79%,Darbo partija,33,12,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59),38.10%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",30,34,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59),8.93%,"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",7,8,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59),8.93%,"Rolando Pakso koalicija ""Už tvarką ir teisingumą""",10,5,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59),5.95%,Liberalų ir centro sąjunga,9,1,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59),2.38%,Valstiečių ir Naujosios demokratijos partijų sąjunga,4, ,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59), ,Lietuvos lenkų rinkimų akcija, , ,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59),4.76%,Krikščionių konservatorių socialinė sąjunga,3,5,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59),0.60%,Lietuvos krikščionys demokratai,1, ,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59),0.60%,Nacionalinė centro partija, ,1,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59),1.79%,Respublikonų partija,2,1,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59), ,Lietuvos socialdemokratų sąjunga, , ,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59), ,Lietuvos laisvės sąjunga, , ,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59),1.19%,Tautinė partija Lietuvos kelias,2, ,Liutonių (Nr.31) apylinkė
Kaišiadorių - Elektrėnų (Nr.59), ,Lietuvių tautininkų sąjunga, , ,Liutonių (Nr.31) apylinkė
Trakų - Elektrėnų (Nr.58),50.33%,Darbo partija,21,55,Bagdononių (Nr.42) apylinkė
Trakų - Elektrėnų (Nr.58),7.95%,"A.Brazausko ir A.Paulausko koalicija ""Už darbą Lietuvai""",8,4,Bagdononių (Nr.42) apylinkė
