apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Lietuvos lenkų liaudies partija,1969.12.17,Išsiskyręs,Nebuvo,"UAB ""Paliūtis"", darbuotojas",Robert ŠIMANSKI,"Vilniaus r. sav., Pakalniškių k.",Specialus vidurinis;Vilniau Politechnikumas;technikas,Heraldika,"LIETUVA, Dieveniškės, Šalčininkų raj.",Lietuvos lenkų liaudies partija,Lenkas (-ė),,Rusų,Nėra,Neturi
Lietuvos socialdemokratų partija,1961.07.16,Vedęs,Nebuvo,"Lietuvos Respublikos Seimas, Seimo narys",Artur PLOKŠTO,Vilnius,Aukštasis;Vilniaus universitetas;fizikas,Muzika,"LIETUVA, Vilnius",Lietuvos socialdemokratų partija,Lenkas (-ė),,Anglų,Nėra,Neturi
Liberalų demokratų partija,1973.06.02,Išsiskyręs,Nebuvo,"UAB ""Patikimas partneris"", direktorius",Vladimir KOT,Šalčininkai,Nebaigtas aukštasis;Vilniaus pedagoginis universitetas;filologija;Vidurinis;Šalčininkų 1-oji vid. m-kla; ,Knygos,"BALTARUSIJA, Gardinas",Liberalų demokratų partija,Žydas (-ė),,Lenkų,Nėra,Neturi
"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",1958.01.01,Vedęs,Nebuvo,"Vilniaus m. savivaldybės UAB ""Bendruva"", energetikas",Juozas STANĖNAS,Grigiškės,,Filmavimas,"RUSIJA, Krasnojarsko kraštas","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,,Nėra,Neturi
Vilniaus - Trakų,1955.02.26,Vedęs,Nebuvo,"Lietuvos Respublikos Seimas, Seimo narys, Sveikatos apsaugos komiteto pirmininko pavaduotojas",Aleksander POPLAVSKI,Vilnius,Aukštasis;Vilniaus valstybinis universitetas;gydytojas epidemiologas,Kulinarija,"LIETUVA, Vilnius",Išsikėlė pats,Lenkas (-ė),,Anglų,Nėra,Neturi
Lietuvos lenkų rinkimų akcija,1962.01.01,Vedęs,Nebuvo,Vilniaus rajono savivaldybės administracijos švietimo skyriaus vedėjas,Jaroslav NARKEVIČ,Trakai,Aukštasis;Vilniaus valst.pedagoginis institutas;matematikos mokytojas,,"LIETUVA, Trakai",Lietuvos lenkų rinkimų akcija,Lenkas (-ė),,,Nėra,Neturi
Lietuvos socialdemokratų partija,1959.06.13,Vedęs,Nebuvo,"LSDP, atsakingasis sekretorius",Česlav MICKIEVIČ,Vilnius,Aukštasis;Vilniaus valstybinis pedagoginis institutas;istorija,,"LIETUVA, Šalčininkų r.",Lietuvos socialdemokratų partija,Lenkas (-ė),,Rusų,Nėra,Neturi
"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",1956.08.02,Nevedęs,Nebuvo,"Intergas, inspektorius",Tadeuš MICHNEVIČ,Vilnius,Aukštasis;Maskvos energetikos institutas;inžinierius;Vidurinis;37 vid.mokykla; ,,"LIETUVA, Vilnius","Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",Lenkas (-ė),,Vokiečių,Nėra,Neturi
Liberalų demokratų partija,1979.07.13,Vedęs,Nebuvo, ,Andrius MAZURONIS,Vilnius,Aukštasis;Vilniaus gedimino technikos universitetas;statybinių istrukcijų projektavimas,Krepšinis,"LIETUVA, Šiauliai",Liberalų demokratų partija,Lietuvis (-ė),,Anglų,Nėra,Neturi
Lietuvos lenkų liaudies partija,1976.12.16,Netekėjusi,Nebuvo,"UAB ""Czas"", komercijos direktorė",Lilija MAKSIMOVIČ,"Vilniaus r. sav., Geležių k.",Aukštasis;Lenkija Varšuva SGGW;ekonomistė;Aukštesnysis;VAŽŪM;komercinių darbų organizatorius,Jodinėjimas,"LIETUVA, Gilažių k. Zujūnų sen, Vilniaus raj.",Lietuvos lenkų liaudies partija,Lenkas (-ė),,Anglų,Nėra,Neturi
Krikščionių konservatorių socialinė sąjunga,1969.04.26,Vedęs,Nebuvo,"AB Parex bankas, Vindikacijos skyriaus ekspertas",Arturas ČIRAS,Lentvaris,Aukštasis;Vilnius pedagoginis universitetas;mokytojas,Knygos,"LIETUVA, Lentvaris, Trakų raj.",Krikščionių konservatorių socialinė sąjunga,Lietuvis (-ė),,Rusų,Nėra,Neturi
Trakų - Elektrėnų,1967.05.05,Vedęs,Nebuvo,"Trakų rajono savivaldybės administracija, administracijos direktorius",Kęstutis RAMANAUSKAS,"Trakų r. sav., Senųjų Trakų k.",Aukštasis;Lietuvos teisės universitetas;teisė ir valdymas;Aukštasis;Vilniaus valst.pedagoginis universitetas;kūno kultūros mokytojas,Medžioklė,"LIETUVA, Grigiškės, Trakų rajonas",Išsikėlė pats,Lietuvis (-ė),,Vokiečių,Nėra,Neturi
Naujoji sąjunga (socialliberalai),1968.02.07,Vedęs,Nebuvo,Trakų rajono savivaldybė. Trakų rajono mero pirmasis pavaduotojas.,Vytautas PETKEVIČIUS,Trakai,Aukštasis;Vilniaus universitetas;tarptautinis verslas;Aukštasis;Vilniaus universitetas;ekonomistas,nardymas,"LIETUVA, Trakai",Naujoji sąjunga (socialliberalai),Lietuvis (-ė),,Rusų,Nėra,Neturi
Trakų - Elektrėnų,1966.08.06,Ištekėjusi,Nebuvo,"LR Seimas, sveikatos reikalų komiteto pirmininkė",Dangutė MIKUTIENĖ,Trakai,"Aukštasis;Lietuvos teisės universitetas;studijuoja viešojo administravimo specialybę, magistrantūra;Aukštasis;Valstybinės konservatorijos Klaipėdos Teatro fakultetas;režisierė",Automobilių sportas,"LIETUVA, Rokiškis",Išsikėlė pati,Lietuvis (-ė),,Anglų,Nėra,Neturi
Liberalų ir centro sąjunga,1952.02.24,Meilutė,Nebuvo,"Trakų r. Rūdniškių vidurinė mokykla, direktorius",Jonas LIESYS,Rūdiškės,Aukštasis;Kauno kūno kultūros institutas;kūno kultūros dėstytojas,Sportas,"LIETUVA, Molėtų r. Giedraičių, aplyl.",Liberalų ir centro sąjunga,Lietuvis (-ė),,Rusų,Nėra,Neturi
Lietuvos lenkų rinkimų akcija,1958.08.17,Išsiskyręs,Nebuvo,"Vilniaus miesto savivaldybės administracija, Grigiškių seniūnas",Leonard KLIMOVIČ,Grigiškės,Nebaigtas aukštasis;Lietuvos Teisės universiteto valstybinio valdymo fakulteto;teisės ir valdymo programos magistratūros neakivaizdinių studijų;Aukštasis;Vilniaus inžinerinis statybos institutas;inžinierius-mechanikas,Dainavimas chore,"LIETUVA, Vilnius",Lietuvos lenkų rinkimų akcija,Lenkas (-ė),,Rusų,Nėra,Neturi
Lietuvos socialdemokratų sąjunga,1946.09.03,Išsiskyrusi,Nebuvo, ,Margarita GRYBAUSKIENĖ,Grigiškės,"Nebaigtas aukštasis;V. Kapsuko universitetas;prekybos maisto technologė;Aukštasis;Kauno politechnikos institutas;inžinierė, chemikė technol.",Gamtos pažinimas,"LIETUVA, Kupiškis",Lietuvos socialdemokratų sąjunga,Lietuvis (-ė),,Rusų,Nėra,Neturi
"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",1957.09.10,Ištekėjusi,Nebuvo,"Vilniaus miesto savivaldybės administracijos Sveikatos ir socialinės apsaugos departamento Socialinės paramos skyrius, vyriausioji specialistė",Aldona DOBROVOLSKIENĖ,Grigiškės,Aukštasis;Vilniaus pedagoginis universitetas;socialinis pedagogas;Specialus vidurinis;Vilniaus technologijos technikumas;technikas-chemikas,Apsipirkimas,"RUSIJA, Krasnojarsko kraštas","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Prancūzų,Nėra,Neturi
Krikščionių konservatorių socialinė sąjunga,1947.10.15,Išsiskyręs,Nebuvo,"AB Litimpeks bankas, Reikalų valdytojas",Eugenijus ČERŠKUS,Trakai,Aukštasis;Vilniaus universitetas;teisininkas,Literatūra,"LIETUVA, Plungė",Krikščionių konservatorių socialinė sąjunga,Lietuvis (-ė),,Anglų,Nėra,Neturi
Kaišiadorių - Elektrėnų,1952.05.28,Vedęs,Nebuvo,Ūkininkas,Pranciškus Alfredas ŠLIUŽAS,"Kaišiadorių r. sav., Dainių k.",Aukštasis;Lietuvos veterinarijos akademija;zooinžinierius,Visi žmogiškieji,"LIETUVA, Kaišiadorių raj., Dainių k.",Išsikėlė pats,Lietuvis (-ė),,,Nėra,Neturi
Lietuvos krikščionys demokratai,1940.01.18,Vedęs,Nebuvo,Nedirbantis,Antanas Lechas NARKEVIČIUS,Kaunas,"Aukštasis;Kauno politechnikos institutas;Mašinų gamybos technologijos, metalo pjovimo staklių ir įrankių",Disputai,"LIETUVA, Panevėžys",Lietuvos krikščionys demokratai,Lenkas (-ė),,Lenkų,Nėra,Neturi
Liberalų ir centro sąjunga,1946.11.04,Vedęs,Nebuvo,"Lietuvos Respublikos Seimas, Seimo narys",Juozas MATULEVIČIUS,Kaišiadorys,Aukštasis;Kauno medicinos institutas;Gydytojas,Šachmatai,"LIETUVA, Sutartiškių kaimas, Žiežmarių apyl., Kaišiadorių rajonas",Liberalų ir centro sąjunga,Lietuvis (-ė),,Anglų,Nėra,Neturi
Nacionalinė centro partija,1957.01.10,Vedęs,Nebuvo,"Elektrėnų savivaldybės administracija, Kultūros ir sporto skyriaus vedėjas",Vytautas GRIŠČENKO,Elektrėnai,Aukštasis;Vilniaus valstybinis pedagoginis institutas;istorijos - pedagogikos,Filosofija,"RUSIJA, Irkutsko sr. Olchono raj. Chužiras",Nacionalinė centro partija,Lietuvis (-ė),,Vokiečių,Nėra,Neturi
Lietuvos socialdemokratų partija,1944.02.20,Vedęs,Nebuvo,"Lietuvos Respublikos Seimas, Seimo narys",Bronius BRADAUSKAS,Vilnius,Aukštasis;Vilniaus valstybinis universitetas;ekonomistas,Grybavimas,"LIETUVA, Ukmergės r.",Lietuvos socialdemokratų partija,Lietuvis (-ė),,Vokiečių,Nėra,Neturi
Valstiečių ir Naujosios demokratijos partijų sąjunga,1952.07.19,Vedęs,Nebuvo,"VĮ Valstybinis miškotvarkos institutas, projekto autorius",Balys BARONIŪNAS,"Kauno r. sav., Girionių k.","Aukštasis;LŽŪA, Miškų fakultetas;Miškų ūkio inžinierius",Aplinkos tvarkymas,"LIETUVA, Švenčionių raj. Kaltanėnų sen. Ožkinių k.",Valstiečių ir Naujosios demokratijos partijų sąjunga,Lietuvis (-ė),,Rusų,Nėra,Neturi
"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",1965.01.20,Nevedęs,Nebuvo,"Paskutinė darbovietė: Šv. Tomo vaikai, palikęs 2004.06.30, socialinis darbuotojas",Vytautas Ričardas BAČKIS,Vilnius,"Aukštasis;Vilniaus universitetas;Filosofija, Ik;Aukštasis;Trinity and All Saints College, DB;Žurnalistika",Studijos,"PRANCŪZIJA, Paryžius","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Prancūzų,Nėra,Neturi
Liberalų demokratų partija,1948.07.19,Vedęs,Nebuvo,"Lietuvos Respublikos specialiųjų tyrimų tarnyba, vyriausias specialistas",Algimantas ADOMAITIS,Elektrėnai,Aukštasis;Kauno Medicinos Institutas;gydytojas,Istorija,"LIETUVA, Molėtai",Liberalų demokratų partija,Lietuvis (-ė),,Anglų,Nėra,Neturi
Jonavos,1966.04.20,Vedęs,Nebuvo,"VšĮ Jonavos ligoninė, akušerijos-ginekologijos skyriaus vedėjas",Artūras ŠALAŠEVIČIUS,Kaunas,Aukštasis;Kauno medicinos akademija;gydytojas,Bridžas,"LIETUVA, Kaunas",Išsikėlė pats,Lietuvis (-ė),,Anglų,Nėra,Neturi
Lietuvos socialdemokratų partija,1952.04.03,Vedęs,Nebuvo,"Lietuvos Respublikos Seimas, Seimo narys",Rimantas SINKEVIČIUS,Jonava,Aukštasis;Kauno technikos universitetas (buvęs KPI);inžinierius-chemikas-technologas,Gamta,"LIETUVA, Anykščių raj. Jūsiškių km.",Lietuvos socialdemokratų partija,Lietuvis (-ė),,Anglų,Nėra,Neturi
Valstiečių ir Naujosios demokratijos partijų sąjunga,1960.03.30,Vedęs,Nebuvo,"Jonavos Jeronimo Ralio vidurinė mokykla, direktorius",Arūnas RIMKUS,Jonava,Aukštasis;Vilniaus valstybinis pedagoginis institutas;istorija ir tarybinė teisė,Lauko tenisas,"LIETUVA, Jonava",Valstiečių ir Naujosios demokratijos partijų sąjunga,Lietuvis (-ė),,Vokiečių,Nėra,Neturi
Darbo partija,1950.06.17,Vedęs,Nebuvo,"Valstybės įmonės Jonavos miškų urėdija. Medienos ruošos, prekybos ir techninio padalinio viršininkas",Juozas JARUŠEVIČIUS,"Jonavos r. sav., Žeimių mstl.",Aukštasis;Lietuvos Žemės Ūkio akademija;miškininkas;Vidurinis;Jiezno vid. mokykla; ,Medžioklė,"LIETUVA, Vėžionių kaimas, Prienų rajonas",Darbo partija,Lietuvis (-ė),,Rusų,Nėra,Neturi
Liberalų ir centro sąjunga,1970.09.25,Vedęs,Nebuvo,"LR Seimas, Seimo narys",Jonas ČEKUOLIS,Jonava,"Aukštasis;Arhus universiettas, Danija;politikos mokslai;Aukštasis;Vilniaus universitetas;Istorija;Vidurinis;Vilniaus S. Nėries vid. m-kla; ",Sporto statistika,"LIETUVA, Vilnius",Liberalų ir centro sąjunga,Lietuvis (-ė),,Anglų,Nėra,Neturi
"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",1953.11.03,Ištekėjusi,Nebuvo,"Lietuvos diabeto asociacija, prezidentė",Vida AUGUSTINIENĖ,Vilnius,Aukštasis;Vilniaus inžinerinis statybos institutas (Vilniaus Gedimino universitetas);Miestų statyba,Knygos,"LIETUVA, Plungė","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų,Nėra,Neturi
Lietuvos socialdemokratų sąjunga,1950.08.05,Išsiskyrusi,Nebuvo,"Advokatės Reginos Šaltinienės biuras, advokatė",Regina ŠALTINIENĖ,Ukmergė,Aukštasis;Vilniaus universitetas;teisė,Grybavimas,"LIETUVA, Kaunas",Lietuvos socialdemokratų sąjunga,Lietuvis (-ė),,Anglų,Nėra,Neturi
Lietuvos krikščionys demokratai,1958.11.07,Ištekėjusi,Nebuvo,"LR žemės ūkio rūmai, Ukmergės skyrius, organizatorė žemdirbių savivaldai",Aldona MILIUVIENĖ,"Ukmergės r. sav., Taujėnų mstl.",Nebaigtas aukštasis;LŽŪU;Ekologė;Aukštesnysis;Kauno Mičiūrino technikumas;Agronomė,,"LIETUVA, Skabeikių km., Ukmergės r.",Lietuvos krikščionys demokratai,Lietuvis (-ė),,Rusų,Nėra,Neturi
Lietuvos socialdemokratų partija,1956.04.13,Vedęs,Nebuvo,"Lietuvos Respublikos Seimas, Seimo narys - Aplinkos apsaugos komiteto pirmininkas",Alfonsas MACAITIS,Vilnius,Aukštasis;Kauno Politechnikos institutas;radijo inžinierius,Kelionės,"LIETUVA, Viešvilės km, Jurbarko raj.",Lietuvos socialdemokratų partija,Lietuvis (-ė),,Rusų,Nėra,Neturi
Lietuvių tautininkų sąjunga,1954.11.26,Išsiskyręs,Nebuvo,Laikinai nedirbu,Albertas KOVIERA,Vilnius,Aukštasis;Vilniaus Valstybinis universitetas;Fizikas,Autosportas,"LIETUVA, Šiauliai",Lietuvių tautininkų sąjunga,Lietuvis (-ė),,Rusų,Nėra,Neturi
Darbo partija,1963.01.10,Ištekėjusi,Nebuvo,"L. Graužinienės individuali įmonė, savininkė - auditorė",Loreta GRAUŽINIENĖ,Ukmergė,Aukštasis;Lietuvos Žemės Ūkio Akademija;Buhalterinės apskaitos ekonomisto;Vidurinis;Žiežmarių vid. m-kla; ,Aktyvus poilsis gamtoje,"LIETUVA, Rokiškio miestas",Darbo partija,Lietuvis (-ė),,Rusų,Nėra,Neturi
"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",1954.11.28,Ištekėjusi,Nebuvo,"Ukmergės pirminės sveikatos priežiūros centras, vyriausioji gydytoja",Janina GALIAUSKIENĖ,Ukmergė,Aukštasis;Kauno medicinos institutas;gydytoja,Kelionės,"LIETUVA, Ukmergė","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų,Nėra,Neturi
Liberalų ir centro sąjunga,1956.08.20,Vedęs,Nebuvo,"Vilniaus Gedimino technikos universitetas, docentas",Regimantas ČIUPAILA,Vilnius,Aukštasis;Vilniaus universitetas;Matematika,,"LIETUVA, Kaunas",Liberalų ir centro sąjunga,Lietuvis (-ė),,Anglų,Nėra,Neturi
Liberalų demokratų partija,1941.01.01,Išsiskyręs,Nebuvo,Nedirbu,Benas ŠIMKUS,Klaipėda,"Aukštasis;Kauno Antano Sniečkaus politechnikos institutas;Mašinų gamybos technologios, metalo pjovimo staklių ir įrankių inžinierius - mechanikas",Kelionės,"LIETUVA, Lieplaukės km. Telšių raj.",Liberalų demokratų partija,Lietuvis (-ė),,Rusų,Nėra,Neturi
Valstiečių ir Naujosios demokratijos partijų sąjunga,1948.06.29,Ištekėjusi,Nebuvo,"UAB ""Posūkis"", vadybininkė - konsultantė",Zita SOROKIENĖ,Jurbarkas,"Nebaigtas aukštasis;Lietuvos teisės universitetas, valstybės valdymo fak. viešojo administravimo stud. (bakalauro 4 kursas);viešasis administravimas;Aukštesnysis;Kauno neakivaizdinis kooperatinis technikumas;maisto prekių mokslo ir prekybos organizavimas (prekių žinovas)",Bendrauti su žmonėm,"LIETUVA, Šilutės raj., Rambyno k.",Valstiečių ir Naujosios demokratijos partijų sąjunga,Lietuvis (-ė),,Rusų,Nėra,Neturi
"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",1951.06.11,Vedęs,Nebuvo,"Vilniaus Gedimino technikos universitetas, ūkvedys",Albinas POCEVIČIUS,Vilnius,Aukštasis;Lietuvos veterinarijos akademija;zooinžinierius,Knygų skaitymas,"LIETUVA, Raseinių rajonas, Olgavos kaimas","Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",Lietuvis (-ė),,Rusų,Nėra,Neturi
Jurbarko,1964.04.30,Vedęs,Nebuvo,"Lietuvos Respublikos valstybės kontrolė, vyresn.valst.auditorius",Virgilijus NORKUS,Jurbarkas,"Aukštasis;VU darbo ekonomika, 1988-1993m. verslo vadyba;verslo vadyba ir administravimas;Aukštasis;Lietuvos žemės ūkio akademija (dabar žemės ūkio universitetas);inžinierius-hidrotechnikas",Kelionės,"LIETUVA, Jurbarkas",Išsikėlė pats,Lietuvis (-ė),,Rusų,Nėra,Neturi
