nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
"3,88%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Liberalų ir centro sąjunga,18,731
"0,13%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,3,23
"2,51%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,26,458
"5,11%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Naujoji sąjunga (socialliberalai),36,949
"3,17%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,"""Fronto"" partija",24,587
"2,84%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",24,524
"0,95%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Pilietinės demokratijos partija,10,174
"0,15%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos rusų sąjunga,1,28
"0,73%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,2,139
"0,58%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos centro partija,7,105
"18,67%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,385,2922
"17,10%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Tautos prisikėlimo partija,130,2899
"8,02%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Partija Tvarka ir teisingumas,114,1306
"12,18%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos socialdemokratų partija,281,1877
"19,73%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Koalicija Darbo partija + jaunimas,510,2985
"4,26%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,22,732
"4,04%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Liberalų ir centro sąjunga,48,667
"0,12%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,8,14
"3,41%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,58,546
"4,69%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Naujoji sąjunga (socialliberalai),61,769
"2,42%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,"""Fronto"" partija",29,400
"2,34%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",26,388
"1,35%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Pilietinės demokratijos partija,35,204
"0,22%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos rusų sąjunga,7,32
"0,76%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,12,122
"0,70%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos centro partija,25,99
"23,29%",Šakių (Nr.64) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,589,2649
"19,03%",Šakių (Nr.64) rinkimų apygarda,Tautos prisikėlimo partija,191,2455
"8,50%",Šakių (Nr.64) rinkimų apygarda,Partija Tvarka ir teisingumas,173,1009
"14,12%",Šakių (Nr.64) rinkimų apygarda,Lietuvos socialdemokratų partija,322,1641
"6,26%",Šakių (Nr.64) rinkimų apygarda,Koalicija Darbo partija + jaunimas,124,746
"2,84%",Šakių (Nr.64) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,53,342
"5,31%",Šakių (Nr.64) rinkimų apygarda,Liberalų ir centro sąjunga,98,640
"0,09%",Šakių (Nr.64) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,3,10
"10,77%",Šakių (Nr.64) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,176,1321
"2,88%",Šakių (Nr.64) rinkimų apygarda,Naujoji sąjunga (socialliberalai),50,351
"2,88%",Šakių (Nr.64) rinkimų apygarda,"""Fronto"" partija",52,349
"1,42%",Šakių (Nr.64) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",25,173
"1,10%",Šakių (Nr.64) rinkimų apygarda,Pilietinės demokratijos partija,22,131
"0,19%",Šakių (Nr.64) rinkimų apygarda,Lietuvos rusų sąjunga,9,18
"0,78%",Šakių (Nr.64) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,18,91
"0,53%",Šakių (Nr.64) rinkimų apygarda,Lietuvos centro partija,24,50
"17,03%",Suvalkijos (Nr.63) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,494,2296
"21,56%",Suvalkijos (Nr.63) rinkimų apygarda,Tautos prisikėlimo partija,177,3354
"13,13%",Suvalkijos (Nr.63) rinkimų apygarda,Partija Tvarka ir teisingumas,253,1898
"14,11%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos socialdemokratų partija,333,1978
"11,57%",Suvalkijos (Nr.63) rinkimų apygarda,Koalicija Darbo partija + jaunimas,208,1687
"3,19%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,44,479
"4,75%",Suvalkijos (Nr.63) rinkimų apygarda,Liberalų ir centro sąjunga,105,673
"0,10%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2,15
"3,08%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,51,453
"4,57%",Suvalkijos (Nr.63) rinkimų apygarda,Naujoji sąjunga (socialliberalai),74,674
"1,81%",Suvalkijos (Nr.63) rinkimų apygarda,"""Fronto"" partija",40,256
"1,89%",Suvalkijos (Nr.63) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",36,273
"0,98%",Suvalkijos (Nr.63) rinkimų apygarda,Pilietinės demokratijos partija,26,134
"0,14%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos rusų sąjunga,5,18
"1,51%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,27,221
"0,58%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos centro partija,26,69
"19,25%",Jurbarko (Nr.62) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,512,2165
"16,60%",Jurbarko (Nr.62) rinkimų apygarda,Tautos prisikėlimo partija,146,2163
"12,12%",Jurbarko (Nr.62) rinkimų apygarda,Partija Tvarka ir teisingumas,302,1383
"18,16%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos socialdemokratų partija,438,2088
"7,46%",Jurbarko (Nr.62) rinkimų apygarda,Koalicija Darbo partija + jaunimas,145,893
"3,42%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,62,414
"7,18%",Jurbarko (Nr.62) rinkimų apygarda,Liberalų ir centro sąjunga,125,874
"0,14%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,11,8
"3,14%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,61,376
"3,29%",Jurbarko (Nr.62) rinkimų apygarda,Naujoji sąjunga (socialliberalai),65,392
"2,06%",Jurbarko (Nr.62) rinkimų apygarda,"""Fronto"" partija",34,252
"1,95%",Jurbarko (Nr.62) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",30,241
"3,16%",Jurbarko (Nr.62) rinkimų apygarda,Pilietinės demokratijos partija,60,380
"0,14%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos rusų sąjunga,1,19
"1,29%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,26,153
"0,63%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos centro partija,22,66
"19,55%",Ukmergės (Nr.61) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,611,2806
"15,87%",Ukmergės (Nr.61) rinkimų apygarda,Tautos prisikėlimo partija,189,2585
"13,49%",Ukmergės (Nr.61) rinkimų apygarda,Partija Tvarka ir teisingumas,328,2030
"10,11%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos socialdemokratų partija,214,1553
"14,09%",Ukmergės (Nr.61) rinkimų apygarda,Koalicija Darbo partija + jaunimas,290,2172
"2,91%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,47,462
"6,04%",Ukmergės (Nr.61) rinkimų apygarda,Liberalų ir centro sąjunga,100,956
"0,18%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,9,22
"6,00%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,149,900
"4,90%",Ukmergės (Nr.61) rinkimų apygarda,Naujoji sąjunga (socialliberalai),100,756
"2,59%",Ukmergės (Nr.61) rinkimų apygarda,"""Fronto"" partija",58,394
"1,87%",Ukmergės (Nr.61) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",38,288
"0,74%",Ukmergės (Nr.61) rinkimų apygarda,Pilietinės demokratijos partija,20,109
"0,35%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos rusų sąjunga,9,52
"0,78%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,18,119
"0,54%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos centro partija,24,70
"15,05%",Jonavos (Nr.60) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,171,2271
"14,99%",Jonavos (Nr.60) rinkimų apygarda,Tautos prisikėlimo partija,115,2317
"12,91%",Jonavos (Nr.60) rinkimų apygarda,Partija Tvarka ir teisingumas,151,1944
"14,03%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos socialdemokratų partija,197,2080
"14,69%",Jonavos (Nr.60) rinkimų apygarda,Koalicija Darbo partija + jaunimas,241,2142
"3,59%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,24,559
"6,08%",Jonavos (Nr.60) rinkimų apygarda,Liberalų ir centro sąjunga,40,946
"0,22%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,6,30
"8,77%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,122,1301
"2,50%",Jonavos (Nr.60) rinkimų apygarda,Naujoji sąjunga (socialliberalai),24,382
"2,32%",Jonavos (Nr.60) rinkimų apygarda,"""Fronto"" partija",27,349
"1,77%",Jonavos (Nr.60) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",13,274
"0,88%",Jonavos (Nr.60) rinkimų apygarda,Pilietinės demokratijos partija,9,134
"0,83%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos rusų sąjunga,7,128
"0,91%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,8,139
"0,45%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos centro partija,8,65
"15,60%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,418,2489
"18,88%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Tautos prisikėlimo partija,298,3221
"8,59%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Partija Tvarka ir teisingumas,220,1380
"20,48%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Lietuvos socialdemokratų partija,574,3242
"8,12%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Koalicija Darbo partija + jaunimas,256,1258
"6,16%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,138,1010
"5,04%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Liberalų ir centro sąjunga,92,848
"0,47%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,18,69
"2,07%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,71,315
"5,40%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Naujoji sąjunga (socialliberalai),137,870
"3,72%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"""Fronto"" partija",97,596
"1,78%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",42,289
"1,02%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Pilietinės demokratijos partija,42,148
"0,67%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Lietuvos rusų sąjunga,16,108
"1,36%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,38,215
"0,65%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Lietuvos centro partija,24,98
"12,85%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,250,1672
"9,77%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Tautos prisikėlimo partija,64,1397
"10,40%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Partija Tvarka ir teisingumas,141,1414
"7,27%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Lietuvos socialdemokratų partija,123,964
"14,44%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Koalicija Darbo partija + jaunimas,261,1898
"2,76%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,26,386
"10,59%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Liberalų ir centro sąjunga,191,1393
"14,37%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,306,1843
"2,09%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,47,265
"5,56%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Naujoji sąjunga (socialliberalai),135,696
"5,08%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"""Fronto"" partija",62,698
"1,14%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",24,146
"0,76%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Pilietinės demokratijos partija,25,89
"1,41%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Lietuvos rusų sąjunga,22,189
"0,90%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,9,126
"0,60%",Trakų - Elektrėnų (Nr.58) rinkimų apygarda,Lietuvos centro partija,17,73
"7,99%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,75,1493
"14,88%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Tautos prisikėlimo partija,73,2846
"11,64%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Partija Tvarka ir teisingumas,80,2205
"4,54%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Lietuvos socialdemokratų partija,44,847
"8,19%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Koalicija Darbo partija + jaunimas,109,1498
"2,21%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,11,422
"4,94%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Liberalų ir centro sąjunga,31,939
"35,94%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,942,6111
"1,46%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,15,271
"1,89%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Naujoji sąjunga (socialliberalai),19,352
"2,74%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,"""Fronto"" partija",25,513
"0,70%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",4,134
"0,61%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Pilietinės demokratijos partija,12,107
"1,58%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Lietuvos rusų sąjunga,22,289
"0,32%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,4,59
"0,36%",Vilniaus - Trakų (Nr.57) rinkimų apygarda,Lietuvos centro partija,4,67
"2,68%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,58,515
"2,57%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Tautos prisikėlimo partija,36,513
"7,89%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Partija Tvarka ir teisingumas,124,1563
