kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Kazimira Danutė PRUNSKIENĖ,,"29,15%",55,"28,89%",10,Levaniškių  (Nr.14) apylinkė  
Valentinas STUNDYS,,"53,57%",51,"53,19%",24,Miežonių  (Nr.13) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"46,43%",54,"46,10%",11,Miežonių  (Nr.13) apylinkė  
Valentinas STUNDYS,,"45,13%",100,"43,71%",25,Joniškio  (Nr.12) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"54,87%",96,"53,15%",56,Joniškio  (Nr.12) apylinkė  
Valentinas STUNDYS,,"67,45%",170,"65,90%",60,Inturkės  (Nr.11) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"32,55%",91,"31,81%",20,Inturkės  (Nr.11) apylinkė  
Valentinas STUNDYS,,"55,88%",36,"55,34%",21,Girsteitiškio  (Nr.10) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"44,12%",38,"43,69%",7,Girsteitiškio  (Nr.10) apylinkė  
Valentinas STUNDYS,,"58,26%",170,"57,46%",38,Giedraičių  (Nr.9) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"41,74%",108,"41,16%",41,Giedraičių  (Nr.9) apylinkė  
Valentinas STUNDYS,,"72,64%",103,"70,64%",51,Dubingių  (Nr.8) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"27,36%",40,"26,61%",18,Dubingių  (Nr.8) apylinkė  
Valentinas STUNDYS,,"58,33%",57,"56,62%",20,Dapkūniškių  (Nr.7) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"41,67%",38,"40,44%",17,Dapkūniškių  (Nr.7) apylinkė  
Valentinas STUNDYS,,"53,39%",154,"51,64%",51,Čiulėnų  (Nr.6) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"46,61%",130,"45,09%",49,Čiulėnų  (Nr.6) apylinkė  
Valentinas STUNDYS,,"43,67%",38,"42,86%",31,Bijutiškio  (Nr.5) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"56,33%",55,"55,28%",34,Bijutiškio  (Nr.5) apylinkė  
Valentinas STUNDYS,,"54,12%",18,"52,87%",28,Lakajos  (Nr.5) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"45,88%",22,"44,83%",17,Lakajos  (Nr.5) apylinkė  
Valentinas STUNDYS,,"69,03%",65,"68,15%",42,Bekupės  (Nr.4) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"30,97%",31,"30,57%",17,Bekupės  (Nr.4) apylinkė  
Valentinas STUNDYS,,"49,21%",46,"46,62%",16,Labanoro  (Nr.4) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"50,79%",41,"48,12%",23,Labanoro  (Nr.4) apylinkė  
Valentinas STUNDYS,,"64,15%",96,"63,55%",40,Balninkų  (Nr.3) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"35,85%",50,"35,51%",26,Balninkų  (Nr.3) apylinkė  
Valentinas STUNDYS,,"32,50%",84,"32,20%",20,Kaltanėnų  (Nr.3) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"67,50%",143,"66,87%",73,Kaltanėnų  (Nr.3) apylinkė  
Valentinas STUNDYS,,"53,28%",442,"51,61%",70,Ateities  (Nr.2) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"46,72%",401,"45,26%",48,Ateities  (Nr.2) apylinkė  
Valentinas STUNDYS,,"64,68%",81,"64,04%",49,Žalvarių  (Nr.2) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"35,32%",42,"34,98%",29,Žalvarių  (Nr.2) apylinkė  
Valentinas STUNDYS,,"52,95%",443,"50,72%",50,Švenčionėlių  (Nr.1) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"47,05%",378,"45,06%",60,Švenčionėlių  (Nr.1) apylinkė  
Valentinas STUNDYS,,"59,38%",208,"59,12%",61,Alantos  (Nr.1) apylinkė  
Kazimira Danutė PRUNSKIENĖ,,"40,62%",126,"40,44%",58,Alantos  (Nr.1) apylinkė  
Michal MACKEVIČ,,"42,88%",215,"41,77%",44,Bukiškio  (Nr.53) apylinkė  
Tomas BARANAUSKAS,,"57,12%",334,"55,65%",11,Bukiškio  (Nr.53) apylinkė  
Michal MACKEVIČ,,"89,77%",239,"87,71%",68,Skirlėnų  (Nr.47) apylinkė  
Tomas BARANAUSKAS,,"10,23%",27,"10,00%",8,Skirlėnų  (Nr.47) apylinkė  
Michal MACKEVIČ,,"89,27%",235,"87,78%",81,Veriškių  (Nr.46) apylinkė  
Tomas BARANAUSKAS,,"10,73%",31,"10,56%",7,Veriškių  (Nr.46) apylinkė  
Michal MACKEVIČ,,"93,73%",250,"92,47%",94,Sužionių  (Nr.45) apylinkė  
Tomas BARANAUSKAS,,"6,27%",17,"6,18%",6,Sužionių  (Nr.45) apylinkė  
Michal MACKEVIČ,,"82,77%",584,"81,23%",156,Sudervės  (Nr.44) apylinkė  
Tomas BARANAUSKAS,,"17,23%",147,"16,90%",7,Sudervės  (Nr.44) apylinkė  
Michal MACKEVIČ,,"83,14%",435,"82,79%",152,Pikeliškių  (Nr.37) apylinkė  
Tomas BARANAUSKAS,,"16,86%",103,"16,78%",16,Pikeliškių  (Nr.37) apylinkė  
Michal MACKEVIČ,,"48,61%",530,"47,78%",117,Didžiosios Riešės  (Nr.36) apylinkė  
Tomas BARANAUSKAS,,"51,39%",672,"50,52%",12,Didžiosios Riešės  (Nr.36) apylinkė  
Michal MACKEVIČ,,"91,10%",166,"89,82%",90,Visalaukės  (Nr.35) apylinkė  
Tomas BARANAUSKAS,,"8,90%",22,"8,77%",3,Visalaukės  (Nr.35) apylinkė  
Michal MACKEVIČ,,"88,28%",204,"87,67%",52,Glitiškių  (Nr.34) apylinkė  
Tomas BARANAUSKAS,,"11,72%",29,"11,64%",5,Glitiškių  (Nr.34) apylinkė  
Michal MACKEVIČ,,"87,02%",445,"86,51%",145,Paberžės  (Nr.33) apylinkė  
Tomas BARANAUSKAS,,"12,98%",74,"12,90%",14,Paberžės  (Nr.33) apylinkė  
Michal MACKEVIČ,,"95,03%",217,"94,48%",108,Eitminiškių  (Nr.32) apylinkė  
Tomas BARANAUSKAS,,"4,97%",15,"4,94%",2,Eitminiškių  (Nr.32) apylinkė  
Michal MACKEVIČ,,"90,73%",215,"89,31%",69,Rudausių  (Nr.30) apylinkė  
Tomas BARANAUSKAS,,"9,27%",22,"9,12%",7,Rudausių  (Nr.30) apylinkė  
Michal MACKEVIČ,,"34,48%",23,"33,71%",7,Kielių  (Nr.24) apylinkė  
Tomas BARANAUSKAS,,"65,52%",33,"64,04%",24,Kielių  (Nr.24) apylinkė  
Michal MACKEVIČ,,"17,07%",5,"16,28%",2,Viesų  (Nr.23) apylinkė  
Tomas BARANAUSKAS,,"82,93%",17,"79,07%",17,Viesų  (Nr.23) apylinkė  
Michal MACKEVIČ,,"14,96%",13,"13,67%",6,Šešuolėlių  (Nr.22) apylinkė  
Tomas BARANAUSKAS,,"85,04%",54,"77,70%",54,Šešuolėlių  (Nr.22) apylinkė  
Michal MACKEVIČ,,"87,77%",299,"87,20%",103,Karvio  (Nr.21) apylinkė  
Tomas BARANAUSKAS,,"12,23%",49,"12,15%",7,Karvio  (Nr.21) apylinkė  
Michal MACKEVIČ,,"7,78%",3,"7,07%",4,Kiauklių  (Nr.21) apylinkė  
Tomas BARANAUSKAS,,"92,22%",58,"83,84%",25,Kiauklių  (Nr.21) apylinkė  
Michal MACKEVIČ,,"10,28%",7,"10,19%",4,Anciūnų  (Nr.20) apylinkė  
Tomas BARANAUSKAS,,"89,72%",88,"88,89%",8,Anciūnų  (Nr.20) apylinkė  
Michal MACKEVIČ,,"75,14%",472,"73,32%",75,Maišiagalos  (Nr.20) apylinkė  
Tomas BARANAUSKAS,,"24,86%",171,"24,26%",10,Maišiagalos  (Nr.20) apylinkė  
Michal MACKEVIČ,,"14,97%",22,"14,79%",3,Širvintų kaimiškoji  (Nr.19) apylinkė  
Tomas BARANAUSKAS,,"85,03%",118,"84,02%",24,Širvintų kaimiškoji  (Nr.19) apylinkė  
Michal MACKEVIČ,,"12,12%",5,"10,96%",3,Motiejūnų  (Nr.18) apylinkė  
Tomas BARANAUSKAS,,"87,88%",50,"79,45%",8,Motiejūnų  (Nr.18) apylinkė  
Michal MACKEVIČ,,"12,33%",3,"11,84%",6,Družų  (Nr.17) apylinkė  
Tomas BARANAUSKAS,,"87,67%",47,"84,21%",17,Družų  (Nr.17) apylinkė  
Michal MACKEVIČ,,"3,28%",2,"3,23%",0,Alekniškio  (Nr.16) apylinkė  
Tomas BARANAUSKAS,,"96,72%",40,"95,16%",19,Alekniškio  (Nr.16) apylinkė  
Michal MACKEVIČ,,"25,35%",16,"24,00%",2,Vileikiškių  (Nr.15) apylinkė  
Tomas BARANAUSKAS,,"74,65%",41,"70,67%",12,Vileikiškių  (Nr.15) apylinkė  
Michal MACKEVIČ,,"16,06%",30,"15,35%",5,Musninkų  (Nr.14) apylinkė  
Tomas BARANAUSKAS,,"83,94%",137,"80,26%",46,Musninkų  (Nr.14) apylinkė  
Michal MACKEVIČ,,"91,33%",307,"90,13%",104,Geisiškių  (Nr.14) apylinkė  
Tomas BARANAUSKAS,,"8,67%",38,"8,55%",1,Geisiškių  (Nr.14) apylinkė  
Michal MACKEVIČ,,"12,50%",14,"11,86%",0,Kernavės  (Nr.13) apylinkė  
Tomas BARANAUSKAS,,"87,50%",78,"83,05%",20,Kernavės  (Nr.13) apylinkė  
Michal MACKEVIČ,,"90,06%",367,"88,98%",77,Dūkštų  (Nr.13) apylinkė  
Tomas BARANAUSKAS,,"9,94%",49,"9,82%",0,Dūkštų  (Nr.13) apylinkė  
Michal MACKEVIČ,,"73,25%",140,"71,20%",38,Medžiukų  (Nr.12) apylinkė  
Tomas BARANAUSKAS,,"26,75%",54,"26,00%",11,Medžiukų  (Nr.12) apylinkė  
Michal MACKEVIČ,,"77,71%",93,"76,79%",36,Šiaulių  (Nr.11) apylinkė  
Tomas BARANAUSKAS,,"22,29%",31,"22,02%",6,Šiaulių  (Nr.11) apylinkė  
Michal MACKEVIČ,,"28,28%",25,"27,45%",3,Bartkuškio  (Nr.10) apylinkė  
Tomas BARANAUSKAS,,"71,72%",60,"69,61%",11,Bartkuškio  (Nr.10) apylinkė  
Michal MACKEVIČ,,"9,73%",5,"9,40%",6,Liukonių  (Nr.9) apylinkė  
Tomas BARANAUSKAS,,"90,27%",53,"87,18%",49,Liukonių  (Nr.9) apylinkė  
Michal MACKEVIČ,,"10,19%",15,"9,41%",1,Gelvonų  (Nr.8) apylinkė  
Tomas BARANAUSKAS,,"89,81%",115,"82,94%",26,Gelvonų  (Nr.8) apylinkė  
Michal MACKEVIČ,,"6,16%",7,"6,00%",2,Bagaslaviškio  (Nr.7) apylinkė  
Tomas BARANAUSKAS,,"93,84%",92,"91,33%",45,Bagaslaviškio  (Nr.7) apylinkė  
Michal MACKEVIČ,,"86,77%",279,"85,64%",49,Čekoniškių  (Nr.6) apylinkė  
Tomas BARANAUSKAS,,"13,23%",43,"13,05%",7,Čekoniškių  (Nr.6) apylinkė  
Michal MACKEVIČ,,"21,43%",20,"20,59%",1,Virvyčių  (Nr.6) apylinkė  
Tomas BARANAUSKAS,,"78,57%",67,"75,49%",10,Virvyčių  (Nr.6) apylinkė  
Michal MACKEVIČ,,"8,44%",11,"8,18%",2,Čiobiškio  (Nr.5) apylinkė  
Tomas BARANAUSKAS,,"91,56%",90,"88,68%",51,Čiobiškio  (Nr.5) apylinkė  
Michal MACKEVIČ,,"90,94%",199,"89,38%",62,Platiniškių  (Nr.5) apylinkė  
Tomas BARANAUSKAS,,"9,06%",25,"8,90%",1,Platiniškių  (Nr.5) apylinkė  
Michal MACKEVIČ,,"35,57%",504,"34,80%",64,Buivydiškių  (Nr.4) apylinkė  
Tomas BARANAUSKAS,,"64,43%",1001,"63,05%",28,Buivydiškių  (Nr.4) apylinkė  
Michal MACKEVIČ,,"62,50%",54,"60,28%",31,Alionių  (Nr.4) apylinkė  
Tomas BARANAUSKAS,,"37,50%",38,"36,17%",13,Alionių  (Nr.4) apylinkė  
Michal MACKEVIČ,,"12,71%",8,"11,54%",7,Juodiškių  (Nr.3) apylinkė  
Tomas BARANAUSKAS,,"87,29%",70,"79,23%",33,Juodiškių  (Nr.3) apylinkė  
Michal MACKEVIČ,,"93,78%",502,"93,07%",116,Buivydžių  (Nr.3) apylinkė  
Tomas BARANAUSKAS,,"6,22%",38,"6,17%",3,Buivydžių  (Nr.3) apylinkė  
Michal MACKEVIČ,,"13,86%",89,"12,86%",27,I.Šeiniaus  (Nr.2) apylinkė  
Tomas BARANAUSKAS,,"86,14%",600,"79,93%",121,I.Šeiniaus  (Nr.2) apylinkė  
Michal MACKEVIČ,,"31,01%",154,"28,64%",37,Riešės  (Nr.2) apylinkė  
Tomas BARANAUSKAS,,"68,99%",417,"63,72%",8,Riešės  (Nr.2) apylinkė  
Michal MACKEVIČ,,"59,98%",452,"58,96%",71,Avižienių  (Nr.1) apylinkė  
Tomas BARANAUSKAS,,"40,02%",339,"39,35%",10,Avižienių  (Nr.1) apylinkė  
Michal MACKEVIČ,,"12,16%",59,"11,63%",16,Širvintų m.  (Nr.1) apylinkė  
Tomas BARANAUSKAS,,"87,84%",441,"84,03%",101,Širvintų m.  (Nr.1) apylinkė  
Jaroslav NARKEVIČ,,"38,95%",232,"35,23%",34,Melioratorių  (Nr.50) apylinkė  
Aleksandr SACHARUK,,"61,05%",412,"55,23%",5,Melioratorių  (Nr.50) apylinkė  
Jaroslav NARKEVIČ,,"84,68%",581,"82,37%",176,Juodšilių  (Nr.49) apylinkė  
Aleksandr SACHARUK,,"15,32%",120,"14,91%",17,Juodšilių  (Nr.49) apylinkė  
Jaroslav NARKEVIČ,,"95,62%",231,"95,33%",75,Mažųjų Lygainių  (Nr.48) apylinkė  
Aleksandr SACHARUK,,"4,38%",12,"4,36%",2,Mažųjų Lygainių  (Nr.48) apylinkė  
Jaroslav NARKEVIČ,,"53,14%",245,"49,73%",34,Lauko  (Nr.43) apylinkė  
Aleksandr SACHARUK,,"46,86%",215,"43,85%",31,Lauko  (Nr.43) apylinkė  
Jaroslav NARKEVIČ,,"71,17%",374,"69,15%",63,Valčiūnų  (Nr.40) apylinkė  
Aleksandr SACHARUK,,"28,83%",169,"28,01%",8,Valčiūnų  (Nr.40) apylinkė  
Jaroslav NARKEVIČ,,"64,86%",178,"62,07%",38,Kalviškių  (Nr.39) apylinkė  
Aleksandr SACHARUK,,"35,14%",108,"33,62%",9,Kalviškių  (Nr.39) apylinkė  
Jaroslav NARKEVIČ,,"74,47%",1001,"71,26%",122,Rudaminos  (Nr.38) apylinkė  
Aleksandr SACHARUK,,"25,53%",371,"24,43%",14,Rudaminos  (Nr.38) apylinkė  
Jaroslav NARKEVIČ,,"83,15%",109,"82,26%",44,Šventininkų  (Nr.32) apylinkė  
Aleksandr SACHARUK,,"16,85%",26,"16,67%",5,Šventininkų  (Nr.32) apylinkė  
Jaroslav NARKEVIČ,,"76,18%",421,"74,47%",142,Senųjų Trakų  (Nr.31) apylinkė  
Aleksandr SACHARUK,,"23,82%",162,"23,28%",14,Senųjų Trakų  (Nr.31) apylinkė  
Jaroslav NARKEVIČ,,"80,67%",76,"79,08%",45,Senojo Tarpupio  (Nr.30) apylinkė  
Aleksandr SACHARUK,,"19,33%",25,"18,95%",4,Senojo Tarpupio  (Nr.30) apylinkė  
Jaroslav NARKEVIČ,,"65,78%",575,"63,16%",44,Skaidiškių  (Nr.28) apylinkė  
Aleksandr SACHARUK,,"34,22%",315,"32,86%",7,Skaidiškių  (Nr.28) apylinkė  
Jaroslav NARKEVIČ,,"79,31%",657,"76,51%",102,Nemėžio  (Nr.27) apylinkė  
Aleksandr SACHARUK,,"20,69%",190,"19,96%",8,Nemėžio  (Nr.27) apylinkė  
Jaroslav NARKEVIČ,,"92,43%",279,"91,44%",63,Parudaminio  (Nr.23) apylinkė  
Aleksandr SACHARUK,,"7,57%",27,"7,49%",1,Parudaminio  (Nr.23) apylinkė  
Jaroslav NARKEVIČ,,"80,45%",344,"78,04%",47,Marijampolio  (Nr.22) apylinkė  
Aleksandr SACHARUK,,"19,55%",85,"18,96%",10,Marijampolio  (Nr.22) apylinkė  
Jaroslav NARKEVIČ,,"88,03%",319,"85,77%",115,Kyviškių  (Nr.12) apylinkė  
Aleksandr SACHARUK,,"11,97%",54,"11,66%",5,Kyviškių  (Nr.12) apylinkė  
Jaroslav NARKEVIČ,,"89,63%",415,"87,11%",112,Grigaičių  (Nr.11) apylinkė  
Aleksandr SACHARUK,,"10,37%",58,"10,08%",3,Grigaičių  (Nr.11) apylinkė  
Jaroslav NARKEVIČ,,"88,96%",297,"87,66%",122,Keturiasdešimties Totorių  (Nr.10) apylinkė  
Aleksandr SACHARUK,,"11,04%",42,"10,88%",10,Keturiasdešimties Totorių  (Nr.10) apylinkė  
Jaroslav NARKEVIČ,,"45,49%",370,"42,99%",44,Pagirių  (Nr.9) apylinkė  
Aleksandr SACHARUK,,"54,51%",488,"51,51%",8,Pagirių  (Nr.9) apylinkė  
Jaroslav NARKEVIČ,,"68,05%",205,"66,28%",25,Baltosios Vokės  (Nr.8) apylinkė  
Aleksandr SACHARUK,,"31,95%",99,"31,12%",9,Baltosios Vokės  (Nr.8) apylinkė  
Jaroslav NARKEVIČ,,"50,12%",368,"46,30%",64,Klevų  (Nr.2) apylinkė  
Aleksandr SACHARUK,,"49,88%",405,"46,09%",25,Klevų  (Nr.2) apylinkė  
Jaroslav NARKEVIČ,,"52,90%",270,"49,59%",31,Lentvario  (Nr.1) apylinkė  
Aleksandr SACHARUK,,"47,10%",250,"44,15%",18,Lentvario  (Nr.1) apylinkė  
Jonas LIESYS,,"72,08%",550,"68,85%",80,Birutės  (Nr.41) apylinkė  
Dangutė MIKUTIENĖ,,"27,92%",216,"26,67%",28,Birutės  (Nr.41) apylinkė  
Jonas LIESYS,,"70,37%",69,"70,37%",7,Salkininkų  (Nr.40) apylinkė  
Dangutė MIKUTIENĖ,,"29,63%",19,"29,63%",13,Salkininkų  (Nr.40) apylinkė  
Jonas LIESYS,,"73,47%",63,"68,57%",9,Jovariškių  (Nr.35) apylinkė  
Dangutė MIKUTIENĖ,,"26,53%",20,"24,76%",6,Jovariškių  (Nr.35) apylinkė  
Jonas LIESYS,,"76,43%",164,"73,54%",50,Žaizdrių  (Nr.34) apylinkė  
Dangutė MIKUTIENĖ,,"23,57%",40,"22,68%",26,Žaizdrių  (Nr.34) apylinkė  
Jonas LIESYS,,"64,12%",67,"60,43%",17,Bražuolės  (Nr.33) apylinkė  
Dangutė MIKUTIENĖ,,"35,88%",35,"33,81%",12,Bražuolės  (Nr.33) apylinkė  
Jonas LIESYS,,"51,01%",242,"46,49%",10,Šviesos  (Nr.27) apylinkė  
Dangutė MIKUTIENĖ,,"48,99%",227,"44,65%",15,Šviesos  (Nr.27) apylinkė  
Jonas LIESYS,,"75,78%",89,"74,39%",33,Bijūnų  (Nr.27) apylinkė  
Dangutė MIKUTIENĖ,,"24,22%",25,"23,78%",14,Bijūnų  (Nr.27) apylinkė  
Jonas LIESYS,,"51,71%",245,"48,86%",12,Kunigiškių  (Nr.26) apylinkė  
Dangutė MIKUTIENĖ,,"48,29%",236,"45,63%",4,Kunigiškių  (Nr.26) apylinkė  
Jonas LIESYS,,"57,74%",305,"54,37%",12,Kauno Vokės  (Nr.25) apylinkė  
Dangutė MIKUTIENĖ,,"42,26%",214,"39,79%",18,Kauno Vokės  (Nr.25) apylinkė  
Jonas LIESYS,,"61,11%",141,"58,81%",46,Paluknio  (Nr.25) apylinkė  
Dangutė MIKUTIENĖ,,"38,89%",83,"37,42%",36,Paluknio  (Nr.25) apylinkė  
Jonas LIESYS,,"59,12%",48,"59,12%",46,Vaickūniškių  (Nr.24) apylinkė  
Dangutė MIKUTIENĖ,,"40,88%",45,"40,88%",20,Vaickūniškių  (Nr.24) apylinkė  
Jonas LIESYS,,"69,37%",192,"64,17%",82,Onuškio  (Nr.23) apylinkė  
Dangutė MIKUTIENĖ,,"30,63%",79,"28,34%",42,Onuškio  (Nr.23) apylinkė  
Jonas LIESYS,,"66,26%",64,"65,45%",44,Dusmenų  (Nr.22) apylinkė  
Dangutė MIKUTIENĖ,,"33,74%",40,"33,33%",15,Dusmenų  (Nr.22) apylinkė  
Jonas LIESYS,,"73,37%",120,"70,31%",15,Rykantų  (Nr.21) apylinkė  
Dangutė MIKUTIENĖ,,"26,63%",43,"25,52%",6,Rykantų  (Nr.21) apylinkė  
Jonas LIESYS,,"67,49%",103,"65,34%",61,Grendavės  (Nr.17) apylinkė  
