kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Saulius VAIKŠNORAS,Lazdijų - Druskininkų (Nr.71) apygarda,"5,09%","4,81%",879,123
Valdas Petras MIKELIONIS,Lazdijų - Druskininkų (Nr.71) apygarda,"5,03%","4,75%",769,221
Gytis ANDRULIONIS,Lazdijų - Druskininkų (Nr.71) apygarda,"4,07%","3,85%",654,147
Gytis JACKŪNAS,Lazdijų - Druskininkų (Nr.71) apygarda,"3,14%","2,97%",523,95
Angelė RUKŠTELIENĖ,Lazdijų - Druskininkų (Nr.71) apygarda,"1,39%","1,32%",252,22
Laurynas OKOCKIS,Lazdijų - Druskininkų (Nr.71) apygarda,"1,04%","0,98%",187,17
Asta GALBUOGIENĖ,Lazdijų - Druskininkų (Nr.71) apygarda,"1,03%","0,97%",143,59
Stasys ŠADUIKIS,Lazdijų - Druskininkų (Nr.71) apygarda,"0,89%","0,84%",158,17
Viktorija DAILYDIENĖ,Lazdijų - Druskininkų (Nr.71) apygarda,"0,73%","0,69%",119,25
Zita JAKUBYNIENĖ,Lazdijų - Druskininkų (Nr.71) apygarda,"0,31%","0,29%",42,19
Nadežda VIŠKELIENĖ,Lazdijų - Druskininkų (Nr.71) apygarda,"0,25%","0,24%",42,8
Algis KAŠĖTA,Varėnos - Eišiškių (Nr.70) apygarda,"23,86%","22,45%",2962,852
Zdzislav PALEVIČ,Varėnos - Eišiškių (Nr.70) apygarda,"23,56%","22,17%",2913,853
Gediminas JAKAVONIS,Varėnos - Eišiškių (Nr.70) apygarda,"21,03%","19,79%",2906,456
Jūratė KULBERKIENĖ,Varėnos - Eišiškių (Nr.70) apygarda,"7,60%","7,15%",1000,215
Marius JUŠKEVIČIUS,Varėnos - Eišiškių (Nr.70) apygarda,"5,73%","5,39%",780,136
Liutauras KAZLAVICKAS,Varėnos - Eišiškių (Nr.70) apygarda,"4,73%","4,46%",622,135
Alvydas VALEIŠA,Varėnos - Eišiškių (Nr.70) apygarda,"4,00%","3,76%",540,99
Vygintas VILUTIS,Varėnos - Eišiškių (Nr.70) apygarda,"2,53%","2,38%",345,60
Rimantas RADŽIUS,Varėnos - Eišiškių (Nr.70) apygarda,"1,85%","1,74%",231,65
Gediminas ALEKSONIS,Varėnos - Eišiškių (Nr.70) apygarda,"1,36%","1,28%",171,46
Mindaugas KARLONAS,Varėnos - Eišiškių (Nr.70) apygarda,"1,19%","1,12%",164,26
Gintaras SALDŽIŪNAS,Varėnos - Eišiškių (Nr.70) apygarda,"0,91%","0,85%",115,30
Birutė KAKTYTĖ,Varėnos - Eišiškių (Nr.70) apygarda,"0,89%","0,84%",119,23
Vytautas KURPUVESAS,Varėnos - Eišiškių (Nr.70) apygarda,"0,53%","0,49%",75,9
Rima PAULAUSKAITĖ,Varėnos - Eišiškių (Nr.70) apygarda,"0,25%","0,24%",19,21
Raimundas MARKAUSKAS,Dzūkijos (Nr.69) apygarda,"22,57%","21,29%",3835,459
Gediminas KRASAUSKAS,Dzūkijos (Nr.69) apygarda,"20,30%","19,14%",2989,872
Vydas BARAVYKAS,Dzūkijos (Nr.69) apygarda,"18,69%","17,62%",3117,438
Antanas NEDZINSKAS,Dzūkijos (Nr.69) apygarda,"10,66%","10,05%",1856,171
Birutė VAIKŠNORAITĖ,Dzūkijos (Nr.69) apygarda,"7,40%","6,98%",1258,150
Almantas JAKIMAVIČIUS,Dzūkijos (Nr.69) apygarda,"5,99%","5,65%",1015,125
Vytautas ZUBRAS,Dzūkijos (Nr.69) apygarda,"5,69%","5,36%",975,107
Vytautas MIKELIONIS,Dzūkijos (Nr.69) apygarda,"2,90%","2,73%",506,45
Algirdas ČERNIAUSKAS,Dzūkijos (Nr.69) apygarda,"2,24%","2,11%",358,68
Petras MALDONIS,Dzūkijos (Nr.69) apygarda,"1,25%","1,17%",194,43
Snaigė VALENTUKEVIČIENĖ,Dzūkijos (Nr.69) apygarda,"0,97%","0,92%",170,15
Gintaras GRIGARAVIČIUS,Dzūkijos (Nr.69) apygarda,"0,64%","0,60%",98,23
Rita RIMŠIENĖ,Dzūkijos (Nr.69) apygarda,"0,37%","0,35%",55,15
Algimantas PAUKŠTAITIS,Dzūkijos (Nr.69) apygarda,"0,34%","0,32%",56,9
Algirdas BUTKEVIČIUS,Vilkaviškio (Nr.68) apygarda,"69,24%","66,03%",9885,1484
Rimvydas ŽIEMYS,Vilkaviškio (Nr.68) apygarda,"8,28%","7,89%",1112,247
Algirdas BAGUŠINSKAS,Vilkaviškio (Nr.68) apygarda,"6,39%","6,09%",856,193
Evelina PALTANAVIČIŪTĖ-MATJOŠAITIENĖ,Vilkaviškio (Nr.68) apygarda,"5,66%","5,40%",802,127
Ona GIEDRIENĖ,Vilkaviškio (Nr.68) apygarda,"2,66%","2,54%",362,75
Juozas DAUTARTAS,Vilkaviškio (Nr.68) apygarda,"2,42%","2,31%",348,49
Kęstutis AKRAMAS,Vilkaviškio (Nr.68) apygarda,"1,82%","1,74%",252,47
Žydrūnė SURVILIENĖ,Vilkaviškio (Nr.68) apygarda,"1,36%","1,30%",186,38
Jurgita ŽALIABARŠTYTĖ,Vilkaviškio (Nr.68) apygarda,"0,76%","0,72%",97,27
Algimantas LIUBINSKAS,Vilkaviškio (Nr.68) apygarda,"0,73%","0,70%",107,13
Gediminas JEGELEVIČIUS,Vilkaviškio (Nr.68) apygarda,"0,42%","0,40%",57,12
Algimantas ARNASTAUSKAS,Vilkaviškio (Nr.68) apygarda,"0,27%","0,26%",35,9
Andrius PALIONIS,Prienų - Birštono (Nr.67) apygarda,"32,96%","31,34%",4258,761
Alvydas VAICEKAUSKAS,Prienų - Birštono (Nr.67) apygarda,"12,90%","12,26%",1620,344
Vytautas KAMBLEVIČIUS,Prienų - Birštono (Nr.67) apygarda,"12,14%","11,54%",1453,395
Rima ZABLACKIENĖ,Prienų - Birštono (Nr.67) apygarda,"8,30%","7,89%",1115,149
Sergejus JOVAIŠA,Prienų - Birštono (Nr.67) apygarda,"7,64%","7,26%",929,234
Inga STEPUKONIENĖ,Prienų - Birštono (Nr.67) apygarda,"6,93%","6,59%",928,127
Egidijus VISOCKAS,Prienų - Birštono (Nr.67) apygarda,"6,19%","5,89%",879,64
Algis MARCINKEVIČIUS,Prienų - Birštono (Nr.67) apygarda,"4,35%","4,13%",544,118
Laimutė JANČIUKIENĖ,Prienų - Birštono (Nr.67) apygarda,"2,61%","2,48%",328,69
Marytė GUDONYTĖ,Prienų - Birštono (Nr.67) apygarda,"2,27%","2,16%",292,54
Rasa JUOCEVIČIENĖ,Prienų - Birštono (Nr.67) apygarda,"1,99%","1,89%",242,61
Gintautas SODAITIS,Prienų - Birštono (Nr.67) apygarda,"0,91%","0,86%",117,21
Saulius NARŪNAS,Prienų - Birštono (Nr.67) apygarda,"0,83%","0,79%",108,18
Donatas JANKAUSKAS,Kauno kaimiškoji (Nr.66) apygarda,"22,21%","20,77%",4585,310
Audronė SKUČIENĖ,Kauno kaimiškoji (Nr.66) apygarda,"19,60%","18,33%",4123,197
Antanas NESTECKIS,Kauno kaimiškoji (Nr.66) apygarda,"17,03%","15,92%",3540,213
Antanas MAKAREVIČIUS,Kauno kaimiškoji (Nr.66) apygarda,"16,31%","15,25%",3402,192
Gintautas KRILAVIČIUS,Kauno kaimiškoji (Nr.66) apygarda,"6,02%","5,63%",1285,42
Kazimieras NAUSĖDA,Kauno kaimiškoji (Nr.66) apygarda,"5,19%","4,86%",1098,47
Algirdas ŽANDARAS,Kauno kaimiškoji (Nr.66) apygarda,"4,12%","3,86%",865,44
Arūnas STAŠAITIS,Kauno kaimiškoji (Nr.66) apygarda,"3,07%","2,87%",641,35
Eglė URBONIENĖ,Kauno kaimiškoji (Nr.66) apygarda,"1,91%","1,78%",397,23
Anželika JURAŠŪNIENĖ,Kauno kaimiškoji (Nr.66) apygarda,"1,57%","1,47%",326,21
Valentinas GYLYS,Kauno kaimiškoji (Nr.66) apygarda,"1,52%","1,42%",321,14
Darius KRUKONIS,Kauno kaimiškoji (Nr.66) apygarda,"0,92%","0,86%",191,12
Dainora GRUZDIENĖ,Kauno kaimiškoji (Nr.66) apygarda,"0,53%","0,50%",109,8
Vydas GEDVILAS,Kauno - Kėdainių (Nr.65) apygarda,"30,65%","28,72%",5326,696
Raminta POPOVIENĖ,Kauno - Kėdainių (Nr.65) apygarda,"16,69%","15,64%",2916,363
Justinas URBANAVIČIUS,Kauno - Kėdainių (Nr.65) apygarda,"16,21%","15,19%",2857,327
Inga RAKAUSKIENĖ,Kauno - Kėdainių (Nr.65) apygarda,"9,52%","8,92%",1764,106
Viktoras PRANCKIETIS,Kauno - Kėdainių (Nr.65) apygarda,"8,50%","7,96%",1546,124
Dalytė RUDZEVIČIENĖ,Kauno - Kėdainių (Nr.65) apygarda,"6,22%","5,83%",1153,69
Liveta KAZLAUSKIENĖ,Kauno - Kėdainių (Nr.65) apygarda,"5,03%","4,72%",886,103
Gražvydas GULBINSKAS,Kauno - Kėdainių (Nr.65) apygarda,"1,82%","1,71%",333,25
Rita ŠEIGIENĖ,Kauno - Kėdainių (Nr.65) apygarda,"1,14%","1,07%",200,24
Gediminas NAUČIUS,Kauno - Kėdainių (Nr.65) apygarda,"0,81%","0,76%",147,13
Beata LABUTYTĖ,Kauno - Kėdainių (Nr.65) apygarda,"0,76%","0,71%",136,13
Gintautas DAČIOLA,Kauno - Kėdainių (Nr.65) apygarda,"0,60%","0,56%",100,17
Darijus VENSKUS,Kauno - Kėdainių (Nr.65) apygarda,"0,59%","0,55%",99,16
Leonija PETRAUSKAITĖ,Kauno - Kėdainių (Nr.65) apygarda,"0,58%","0,54%",99,14
Kristina LEONAVIČIENĖ,Kauno - Kėdainių (Nr.65) apygarda,"0,50%","0,47%",88,10
Audronė GIGIENĖ,Kauno - Kėdainių (Nr.65) apygarda,"0,39%","0,37%",61,16
Mindaugas BASTYS,Šakių (Nr.64) apygarda,"24,82%","23,68%",2982,629
Algirdas KLIMAITIS,Šakių (Nr.64) apygarda,"19,73%","18,83%",2188,683
Rima RAUKTIENĖ,Šakių (Nr.64) apygarda,"15,28%","14,58%",1891,333
Gintautas KNIUKŠTA,Šakių (Nr.64) apygarda,"12,25%","11,69%",1529,254
Kęstutis SMIRNOVAS,Šakių (Nr.64) apygarda,"8,56%","8,17%",1079,167
Donatas STAKIŠAITIS,Šakių (Nr.64) apygarda,"8,17%","7,80%",1006,183
Ona VALIUKEVIČIŪTĖ,Šakių (Nr.64) apygarda,"8,03%","7,67%",911,258
Vytas LIUDŽIUS,Šakių (Nr.64) apygarda,"1,20%","1,14%",140,34
Edgaras STANIŠAUSKAS,Šakių (Nr.64) apygarda,"1,02%","0,97%",133,15
Audra UŽUPIENĖ,Šakių (Nr.64) apygarda,"0,51%","0,49%",52,22
Laimutė DĖDINIENĖ,Šakių (Nr.64) apygarda,"0,43%","0,41%",45,17
Juozas OLEKAS,Suvalkijos (Nr.63) apygarda,"26,83%","25,21%",3724,716
Algimanta PABEDINSKIENĖ,Suvalkijos (Nr.63) apygarda,"18,84%","17,70%",2717,400
Mindaugas KUKLIERIUS,Suvalkijos (Nr.63) apygarda,"13,66%","12,83%",1931,329
Vincas PLIKAITIS,Suvalkijos (Nr.63) apygarda,"11,87%","11,15%",1607,357
Justė MILUŠAUSKIENĖ,Suvalkijos (Nr.63) apygarda,"10,26%","9,64%",1540,158
Benjaminas MAŠALAITIS,Suvalkijos (Nr.63) apygarda,"5,49%","5,16%",812,97
Raimonda SUTKAITIENĖ,Suvalkijos (Nr.63) apygarda,"3,72%","3,49%",578,37
Alvydas DIRSĖ,Suvalkijos (Nr.63) apygarda,"2,22%","2,08%",322,45
Vytautas ZIMINSKAS,Suvalkijos (Nr.63) apygarda,"1,89%","1,78%",279,34
Adolfina BLAUZDŽIŪNIENĖ,Suvalkijos (Nr.63) apygarda,"1,61%","1,52%",222,45
Jonas ŠČEPONIS,Suvalkijos (Nr.63) apygarda,"1,06%","1,00%",153,23
Vytautas ŠUNSKIS,Suvalkijos (Nr.63) apygarda,"1,06%","0,99%",149,26
Arturas NEMURA,Suvalkijos (Nr.63) apygarda,"0,99%","0,93%",144,20
Mindaugas ZDANEVIČIUS,Suvalkijos (Nr.63) apygarda,"0,50%","0,47%",75,7
Bronius PAUŽA,Jurbarko (Nr.62) apygarda,"32,64%","31,11%",3809,827
Robertas Raimundas IŠGANAITIS,Jurbarko (Nr.62) apygarda,"14,49%","13,81%",1783,275
Saulius LAPĖNAS,Jurbarko (Nr.62) apygarda,"13,29%","12,67%",1577,311
Virginijus VALENTINAVIČIUS,Jurbarko (Nr.62) apygarda,"12,05%","11,48%",1351,360
Andrius MAZURONIS,Jurbarko (Nr.62) apygarda,"11,09%","10,57%",1299,276
Juozas VALIUŠAITIS,Jurbarko (Nr.62) apygarda,"4,52%","4,31%",570,72
Česlovas ŠLĖGAITIS,Jurbarko (Nr.62) apygarda,"4,18%","3,99%",540,54
Gerda VILIMAITĖ,Jurbarko (Nr.62) apygarda,"2,72%","2,59%",336,50
Kristina MAŠIRKIENĖ,Jurbarko (Nr.62) apygarda,"2,45%","2,34%",269,79
Donatas RAMANAUSKAS,Jurbarko (Nr.62) apygarda,"1,68%","1,60%",212,26
Jonas REKEŠIUS,Jurbarko (Nr.62) apygarda,"0,91%","0,87%",101,28
Loreta GRAUŽINIENĖ,Ukmergės (Nr.61) apygarda,"23,77%","22,78%",3622,480
Julius VESELKA,Ukmergės (Nr.61) apygarda,"20,68%","19,81%",3048,520
Arūnas DUDĖNAS,Ukmergės (Nr.61) apygarda,"19,82%","19,00%",2948,473
Janina GALIAUSKIENĖ,Ukmergės (Nr.61) apygarda,"12,46%","11,94%",1709,441
Mindaugas KLUONIS,Ukmergės (Nr.61) apygarda,"10,16%","9,73%",1571,182
Danutė UŽKURĖLYTĖ,Ukmergės (Nr.61) apygarda,"4,60%","4,41%",704,90
Loreta STEPONAITYTĖ,Ukmergės (Nr.61) apygarda,"3,56%","3,41%",533,81
Vaida KATINAITĖ,Ukmergės (Nr.61) apygarda,"1,55%","1,48%",222,45
Lina SUKACKIENĖ,Ukmergės (Nr.61) apygarda,"1,26%","1,21%",187,30
Arūnas EIGIRDAS,Ukmergės (Nr.61) apygarda,"0,72%","0,69%",99,25
Juozas DINGELIS,Ukmergės (Nr.61) apygarda,"0,57%","0,54%",77,21
Remigija KRUPODRA,Ukmergės (Nr.61) apygarda,"0,32%","0,31%",46,10
Svajūnas JUODKA,Ukmergės (Nr.61) apygarda,"0,30%","0,28%",41,10
Jan TOMAŠEVIČ,Ukmergės (Nr.61) apygarda,"0,24%","0,23%",39,3
Rimantas SINKEVIČIUS,Jonavos (Nr.60) apygarda,"29,15%","28,02%",4757,502
Saulius JAKIMAVIČIUS,Jonavos (Nr.60) apygarda,"22,54%","21,67%",3689,378
Vytautas VENCKŪNAS,Jonavos (Nr.60) apygarda,"10,34%","9,94%",1658,208
Remigijus OSAUSKAS,Jonavos (Nr.60) apygarda,"10,31%","9,92%",1703,158
Bronislovas LIUTKUS,Jonavos (Nr.60) apygarda,"7,55%","7,26%",1214,148
Sigitas MARTINAVIČIUS,Jonavos (Nr.60) apygarda,"7,41%","7,12%",1251,86
Rita LATVIŪNIENĖ,Jonavos (Nr.60) apygarda,"4,06%","3,90%",633,99
Antanas AUGŪNAS,Jonavos (Nr.60) apygarda,"2,58%","2,48%",424,42
Valentin STEPANOV,Jonavos (Nr.60) apygarda,"1,81%","1,74%",302,24
Jolita PELECKIENĖ,Jonavos (Nr.60) apygarda,"1,13%","1,09%",184,20
Rolandas MERKELIS,Jonavos (Nr.60) apygarda,"0,68%","0,65%",113,9
Rasa KISELIOVA,Jonavos (Nr.60) apygarda,"0,60%","0,58%",93,15
Sigitas ŠIUPŠINSKAS,Jonavos (Nr.60) apygarda,"0,59%","0,56%",98,8
Vladimiras KORNIJEVSKIS,Jonavos (Nr.60) apygarda,"0,56%","0,54%",89,12
Rita RENKAUSKIENĖ,Jonavos (Nr.60) apygarda,"0,54%","0,52%",89,9
Rūta ZIENIENĖ,Jonavos (Nr.60) apygarda,"0,16%","0,15%",26,3
Bronius BRADAUSKAS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"32,63%","30,70%",5082,1143
Stanislovas TOMAS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"17,12%","16,11%",2777,489
Ramūnas KARTENIS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"10,26%","9,65%",1688,269
Kęstutis VAITUKAITIS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"6,17%","5,80%",1044,133
Linas LABAČIAUSKAS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"6,10%","5,74%",1007,157
Algimantas ADOMAITIS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"5,06%","4,76%",796,169
Aidas ČĖSNA,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"4,72%","4,44%",782,118
Skirmantas TUMELIS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"4,31%","4,05%",728,94
Marijonas MITKUS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"3,94%","3,71%",614,138
Kristina BRAZAUSKIENĖ,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"2,96%","2,78%",419,145
Petras NAUSĖDA,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"2,64%","2,49%",454,50
Andrius JANKAUSKAS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"1,56%","1,46%",269,28
Laura NIKIFOROVA,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"0,75%","0,71%",127,16
Giedrius GRIGALIUS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"0,63%","0,60%",104,17
Violeta GEMBICKA,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"0,60%","0,57%",91,24
Teresa SOLOVJOVA,Kaišiadorių - Elektrėnų (Nr.59) apygarda,"0,55%","0,52%",95,10
Dangutė MIKUTIENĖ,Trakų - Elektrėnų (Nr.58) apygarda,"30,05%","27,96%",4706,582
Jonas LIESYS,Trakų - Elektrėnų (Nr.58) apygarda,"14,39%","13,39%",2227,305
Jaroslav KAMINSKI,Trakų - Elektrėnų (Nr.58) apygarda,"13,78%","12,82%",2095,330
Asta KANDRATAVIČIENĖ,Trakų - Elektrėnų (Nr.58) apygarda,"11,91%","11,08%",1841,255
Vidas URBONAVIČIUS,Trakų - Elektrėnų (Nr.58) apygarda,"8,86%","8,24%",1380,179
Danas DAMBRAUSKAS,Trakų - Elektrėnų (Nr.58) apygarda,"4,72%","4,39%",744,87
Eglė MIRONČIKIENĖ,Trakų - Elektrėnų (Nr.58) apygarda,"4,59%","4,27%",729,79
Rita BALTADUONYTĖ-LEONIENĖ,Trakų - Elektrėnų (Nr.58) apygarda,"3,03%","2,82%",500,33
Albinas MORKŪNAS,Trakų - Elektrėnų (Nr.58) apygarda,"2,05%","1,90%",333,27
Zofija ABECIŪNIENĖ,Trakų - Elektrėnų (Nr.58) apygarda,"1,78%","1,66%",270,44
Ilona OGURCOVA,Trakų - Elektrėnų (Nr.58) apygarda,"1,55%","1,44%",237,35
Edikas JAGELAVIČIUS,Trakų - Elektrėnų (Nr.58) apygarda,"1,42%","1,32%",230,20
Giedrė GEČAITĖ,Trakų - Elektrėnų (Nr.58) apygarda,"0,82%","0,77%",117,28
Rimas URBUS,Trakų - Elektrėnų (Nr.58) apygarda,"0,61%","0,57%",83,24
Kazys Vytautas LAURUŠEVIČIUS,Trakų - Elektrėnų (Nr.58) apygarda,"0,44%","0,41%",59,19
Jaroslav NARKEVIČ,Vilniaus - Trakų (Nr.57) apygarda,"36,90%","35,09%",6744,1115
Mingailė BINKAUSKAITĖ,Vilniaus - Trakų (Nr.57) apygarda,"18,71%","17,79%",3804,181
Laurynas KASČIŪNAS,Vilniaus - Trakų (Nr.57) apygarda,"9,67%","9,20%",1952,108
Vytautas BAKASĖNAS,Vilniaus - Trakų (Nr.57) apygarda,"7,75%","7,37%",1567,84
Aleksander POPLAVSKI,Vilniaus - Trakų (Nr.57) apygarda,"7,18%","6,83%",1414,116
Jonas KIETAVIČIUS,Vilniaus - Trakų (Nr.57) apygarda,"6,33%","6,02%",1259,89
Virgilijus Petras MATULA,Vilniaus - Trakų (Nr.57) apygarda,"3,79%","3,60%",763,44
Ala DEKAN,Vilniaus - Trakų (Nr.57) apygarda,"3,39%","3,22%",693,28
Tomas TOMILINAS,Vilniaus - Trakų (Nr.57) apygarda,"3,19%","3,04%",654,26
Stanislav TARASEVIČ,Vilniaus - Trakų (Nr.57) apygarda,"1,86%","1,77%",372,24
Jonas SADOVSKIS,Vilniaus - Trakų (Nr.57) apygarda,"1,22%","1,16%",256,4
Leonard TALMONT,Vilniaus - Šalčininkų (Nr.56) apygarda,"64,28%","61,21%",11810,3350
Vilija FILIPOVIČIENĖ,Vilniaus - Šalčininkų (Nr.56) apygarda,"13,04%","12,41%",2785,290
Franc JAKUBOVSKIJ,Vilniaus - Šalčininkų (Nr.56) apygarda,"4,61%","4,39%",982,106
Vidmantas ŽILIUS,Vilniaus - Šalčininkų (Nr.56) apygarda,"4,20%","4,00%",888,102
Darius SKUSEVIČIUS,Vilniaus - Šalčininkų (Nr.56) apygarda,"3,70%","3,52%",775,98
Eglė MANKEVIČIENĖ,Vilniaus - Šalčininkų (Nr.56) apygarda,"2,84%","2,70%",605,64
Ryšard MACEIKIANEC,Vilniaus - Šalčininkų (Nr.56) apygarda,"2,34%","2,23%",484,69
Gintaras KRAUJUTIS,Vilniaus - Šalčininkų (Nr.56) apygarda,"1,88%","1,79%",391,52
Arūnas JOKUBAUSKAS,Vilniaus - Šalčininkų (Nr.56) apygarda,"1,24%","1,18%",258,34
Janina ŠIMKUVIENĖ,Vilniaus - Šalčininkų (Nr.56) apygarda,"1,03%","0,98%",205,37
Viktorija BALLACK,Vilniaus - Šalčininkų (Nr.56) apygarda,"0,85%","0,81%",161,40
Rita TAMAŠUNIENĖ,Širvintų - Vilniaus (Nr.55) apygarda,"31,50%","29,85%",6135,1645
Živilė PINSKUVIENĖ,Širvintų - Vilniaus (Nr.55) apygarda,"21,49%","20,36%",4568,740
Violeta PODOLSKAITĖ,Širvintų - Vilniaus (Nr.55) apygarda,"11,94%","11,32%",2730,220
Jonas BUDREVIČIUS,Širvintų - Vilniaus (Nr.55) apygarda,"8,99%","8,52%",2007,214
Arūnas MALIAUKA,Širvintų - Vilniaus (Nr.55) apygarda,"5,90%","5,59%",1392,65
Kęstutis PAKALNIS,Širvintų - Vilniaus (Nr.55) apygarda,"4,58%","4,34%",967,164
Antanas BUROKAS,Širvintų - Vilniaus (Nr.55) apygarda,"3,69%","3,49%",832,79
Kęstutis JASEVIČIUS,Širvintų - Vilniaus (Nr.55) apygarda,"3,52%","3,34%",760,110
Alfredas ASTIKAS,Širvintų - Vilniaus (Nr.55) apygarda,"3,38%","3,20%",768,67
Česlav JAKOVIČ,Širvintų - Vilniaus (Nr.55) apygarda,"2,43%","2,31%",526,75
Audronė ČEKAUSKIENĖ,Širvintų - Vilniaus (Nr.55) apygarda,"1,04%","0,99%",219,39
Jonas NAUJALIS,Širvintų - Vilniaus (Nr.55) apygarda,"0,70%","0,66%",136,37
Aušrinė MAIŽIEŠIENĖ,Širvintų - Vilniaus (Nr.55) apygarda,"0,47%","0,45%",96,20
Alvydas AUGUSTINAITIS,Širvintų - Vilniaus (Nr.55) apygarda,"0,35%","0,33%",72,15
Petras ČIMBARAS,Molėtų - Švenčionių (Nr.54) apygarda,"23,44%","22,21%",2983,570
Valentinas STUNDYS,Molėtų - Švenčionių (Nr.54) apygarda,"22,04%","20,88%",2685,655
Stasys BAJERČIUS,Molėtų - Švenčionių (Nr.54) apygarda,"15,99%","15,15%",2080,344
Zbignev JEDINSKIJ,Molėtų - Švenčionių (Nr.54) apygarda,"12,35%","11,70%",1497,375
Rimantas KLIPČIUS,Molėtų - Švenčionių (Nr.54) apygarda,"8,02%","7,59%",1103,112
Irena MALINAUSKIENĖ,Molėtų - Švenčionių (Nr.54) apygarda,"4,14%","3,92%",529,99
Rasa LUCINAVIČIENĖ,Molėtų - Švenčionių (Nr.54) apygarda,"3,79%","3,59%",476,98
Danielius VALIAUGA,Molėtų - Švenčionių (Nr.54) apygarda,"2,65%","2,51%",356,46
Laima ŠALKAUSKIENĖ,Molėtų - Švenčionių (Nr.54) apygarda,"2,09%","1,98%",270,47
Zita UŽLYTĖ,Molėtų - Švenčionių (Nr.54) apygarda,"1,62%","1,54%",201,45
Jonas VAIŠKŪNAS,Molėtų - Švenčionių (Nr.54) apygarda,"1,47%","1,39%",207,16
Dalia Kotryna ŽALĖNAITĖ,Molėtų - Švenčionių (Nr.54) apygarda,"1,31%","1,24%",170,28
Tadeuš POLITO,Molėtų - Švenčionių (Nr.54) apygarda,"0,84%","0,80%",94,34
Paulius ZABIELSKAS,Molėtų - Švenčionių (Nr.54) apygarda,"0,24%","0,23%",31,6
Šarūnas BIRUTIS,Ignalinos - Švenčionių (Nr.53) apygarda,"31,79%","29,94%",3730,1028
Vilius CIBULSKAS,Ignalinos - Švenčionių (Nr.53) apygarda,"16,86%","15,88%",1937,586
Marijona LUKAŠEVIČIENĖ,Ignalinos - Švenčionių (Nr.53) apygarda,"15,23%","14,34%",1680,599
Leta KALINAUSKAITĖ,Ignalinos - Švenčionių (Nr.53) apygarda,"7,86%","7,40%",912,264
Jonas DIENINIS,Ignalinos - Švenčionių (Nr.53) apygarda,"7,60%","7,16%",795,343
