kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Jaroslav NARKEVIČ,Vilniaus - Trakų (Nr.57) apygarda,66.67%,2,50.00%, ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
Leokadija POČIKOVSKA,Širvintų - Vilniaus (Nr.55) apygarda,51.23%,88,48.26%,37,Kreivalaužių (Nr.54) apylinkė
Jonas PINSKUS,Širvintų - Vilniaus (Nr.55) apygarda,48.77%,82,45.95%,37,Kreivalaužių (Nr.54) apylinkė
Kazimira Danutė PRUNSKIENĖ,Molėtų - Švenčionių (Nr.54) apygarda,83.87%,49,81.89%,55,Padubingės (Nr.25) apylinkė
Valentinas STUNDYS,Molėtų - Švenčionių (Nr.54) apygarda,16.13%,7,15.75%,13,Padubingės (Nr.25) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,56.03%,62,55.13%,110,Vidutinės (Nr.29) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,43.97%,47,43.27%,88,Vidutinės (Nr.29) apylinkė
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,53.33%, ,53.33%,8, Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,46.67%, ,46.67%,7, Ambasada Vokietijos Federacinėje Respublikoje. Bonos skyrius
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,57.61%,66,56.34%,396, Ambasada Vokietijos Federacinėje Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,42.39%,46,41.46%,294, Ambasada Vokietijos Federacinėje Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,94.12%, ,94.12%,16, Balsavimo vieta Vengrijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,5.88%, ,5.88%,1, Balsavimo vieta Vengrijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,73.68%,14,73.68%, , Garbės konsulatas Venesueloje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,26.32%,5,26.32%, , Garbės konsulatas Venesueloje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,69.57%,16,69.57%, , Garbės konsulatas Urugvajaus Rytų Respublikai
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,30.43%,7,30.43%, , Garbės konsulatas Urugvajaus Rytų Respublikai
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,47.12%, ,46.67%,49, Ambasada Ukrainoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,52.88%, ,52.38%,55, Ambasada Ukrainoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,50.00%,3,50.00%, , Ambasada Turkijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,50.00%,3,50.00%, , Ambasada Turkijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,59.49%,10,59.12%,84, Generalinis konsulatas Šveicarijos konfederacijoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,40.51%,6,40.25%,58, Generalinis konsulatas Šveicarijos konfederacijoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,59.92%,33,59.25%,124, Ambasada Švedijos Karalystėje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,40.08%,25,39.62%,80, Ambasada Švedijos Karalystėje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,56.44%,15,54.29%,42, Ambasada Suomijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,43.56%,5,41.90%,39, Ambasada Suomijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,59.57%,28,56.00%, , Generalinis konsulatas Sovietske
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,40.43%,19,38.00%, , Generalinis konsulatas Sovietske
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,50.82%, ,50.00%,62, Generalinis konsulatas Sankt-Peterburge
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,49.18%, ,48.39%,60, Generalinis konsulatas Sankt-Peterburge
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,58.33%,43,56.98%,6, Generalinis konsulatas Kaliningrade
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,41.67%,29,40.70%,6, Generalinis konsulatas Kaliningrade
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,54.27%,63,52.68%,45, Ambasada Rusijos Federacijoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,45.73%,66,44.39%,25, Ambasada Rusijos Federacijoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,76.51%,30,76.00%,84, Ambasada Prancūzijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,23.49%,5,23.33%,30, Ambasada Prancūzijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,41.67%, ,40.82%,20, Ambasada Portugalijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,58.33%, ,57.14%,28, Ambasada Portugalijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,71.21%, ,69.63%,94, Ambasada Norvegijos Karalystėje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,28.79%, ,28.15%,38, Ambasada Norvegijos Karalystėje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,54.29%, ,54.29%,57, Ambasada Nyderlandų Karalystėje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,45.71%, ,45.71%,48, Ambasada Nyderlandų Karalystėje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,87.50%,28,87.50%,7, Konsulatas Seinuose
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,12.50%,3,12.50%,2, Konsulatas Seinuose
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,66.20%,18,66.20%,29, Ambasada Lenkijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,33.80%,11,33.80%,13, Ambasada Lenkijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,50.18%,47,48.24%,90, Ambasada Latvijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,49.82%,54,47.89%,82, Ambasada Latvijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,60.66%, ,60.66%,37, Garbės konsulatas Kolumbijos Respublikai
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,39.34%, ,39.34%,24, Garbės konsulatas Kolumbijos Respublikai
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,46.15%, ,46.15%,6, Ambasada Kinijos Liaudies Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,53.85%, ,53.85%,7, Ambasada Kinijos Liaudies Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,68.00%, ,62.96%,17, Ambasada Kazachstano Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,32.00%, ,29.63%,8, Ambasada Kazachstano Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,93.10%,54,93.10%, , Garbės konsulatas Toronte (Kanada)
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,6.90%,4,6.90%, , Garbės konsulatas Toronte (Kanada)
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,87.01%, ,86.33%,221, Ambasada Kanadoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,12.99%, ,12.89%,33, Ambasada Kanadoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,71.73%, ,71.46%,378, Generalinis konsulatas Niujorke (JAV)
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,28.27%, ,28.17%,149, Generalinis konsulatas Niujorke (JAV)
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,79.59%,94,78.97%,1029, Generalinis konsulatas Čikagoje (JAV)
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,20.41%,14,20.25%,274, Generalinis konsulatas Čikagoje (JAV)
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,88.24%, ,85.71%,30, Generalinis Garbės konsulatas Los Andžele (JAV)
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,11.76%, ,11.43%,4, Generalinis Garbės konsulatas Los Andžele (JAV)
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,54.29%, ,54.29%,19, Garbės konsulatas Sietle (JAV)
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,45.71%, ,45.71%,16, Garbės konsulatas Sietle (JAV)
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,74.07%, ,73.97%,557, Ambasada Jungtinėse Amerikos Valstijose
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,25.93%, ,25.90%,195, Ambasada Jungtinėse Amerikos Valstijose
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,57.78%,11,57.78%,15, Ambasada Japonijoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,42.22%,7,42.22%,12, Ambasada Japonijoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,41.38%, ,40.45%,36, Ambasada Izraelio valstybėje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,58.62%, ,57.30%,51, Ambasada Izraelio valstybėje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,64.10%, ,64.10%,75, Ambasada Italijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,35.90%, ,35.90%,42, Ambasada Italijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,66.67%,10,66.67%, , Balsavimo vieta Almerijoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,33.33%,5,33.33%, , Balsavimo vieta Almerijoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,61.63%, ,61.63%,53, Ambasada Ispanijos Karalystėje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,38.37%, ,38.37%,33, Ambasada Ispanijos Karalystėje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,75.00%, ,75.00%,9, Ambasada Gruzijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,25.00%, ,25.00%,3, Ambasada Gruzijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,58.97%,16,57.50%,7, Ambasada Graikijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,41.03%,11,40.00%,5, Ambasada Graikijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,44.25%,32,43.86%,68, Ambasada Estijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,55.75%,22,55.26%,104, Ambasada Estijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,28.57%, ,28.57%,2, Ambasada Egipto Arabų Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,71.43%, ,71.43%,5, Ambasada Egipto Arabų Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,62.13%,29,61.44%,304, Ambasada Jungtinėje Didžiosios Britanijos ir Šiaurės Airijos Karalystėje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,37.87%,16,37.45%,187, Ambasada Jungtinėje Didžiosios Britanijos ir Šiaurės Airijos Karalystėje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,63.53%, ,62.43%,108, Ambasada Danijos Karalystėje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,36.47%, ,35.84%,62, Ambasada Danijos Karalystėje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,50.00%,9,50.00%,13, Ambasada Čekijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,50.00%,12,50.00%,10, Ambasada Čekijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,70.00%,7,70.00%, , Garbės konsulatas Brazilijos Federacinėje Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,30.00%,3,30.00%, , Garbės konsulatas Brazilijos Federacinėje Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,68.77%,108,68.77%,77, Ambasada Belgijos Karalystėje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,31.23%,47,31.23%,37, Ambasada Belgijos Karalystėje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,47.19%,6,46.67%,36, Konsulatas Gardine
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,52.81%, ,52.22%,47, Konsulatas Gardine
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,46.79%,31,46.36%,20, Ambasada Baltarusijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,53.21%,28,52.73%,30, Ambasada Baltarusijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,60.00%,24,59.30%,27, Ambasada Austrijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,40.00%,13,39.53%,21, Ambasada Austrijos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,72.73%, ,72.73%,32, Garbės konsulatas Australijoje (Sydnėjuje)
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,27.27%, ,27.27%,12, Garbės konsulatas Australijoje (Sydnėjuje)
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,88.06%,51,85.51%,8, Garbės konsulatas Australijoje (Melburne)
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,11.94%,7,11.59%,1, Garbės konsulatas Australijoje (Melburne)
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,91.84%,34,91.84%,11, Garbės konsulatas Australijoje (Adelaidė)
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,8.16%,3,8.16%,1, Garbės konsulatas Australijoje (Adelaidė)
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,55.36%,30,55.36%,32, Ambasada Argentinos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,44.64%,27,44.64%,23, Ambasada Argentinos Respublikoje
Irena DEGUTIENĖ,Balsavimas LR diplomatinėse atstovybėse,63.70%,4,62.00%,89, Ambasada Airijos Respublikoje
Algirdas GRICIUS,Balsavimas LR diplomatinėse atstovybėse,36.30%,9,35.33%,44, Ambasada Airijos Respublikoje
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,50.00%,44,49.09%,118,Strūnaičio (Nr.28) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,50.00%,97,49.09%,65,Strūnaičio (Nr.28) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,50.49%,139,50.39%,118,Vidiškių (Nr.27) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,49.51%,160,49.41%,92,Vidiškių (Nr.27) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,57.92%,74,57.25%,76,Sarių (Nr.27) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,42.08%,60,41.60%,49,Sarių (Nr.27) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,54.29%,102,52.94%,69,Tverečiaus (Nr.26) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,45.71%,92,44.58%,52,Tverečiaus (Nr.26) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,51.88%,118,50.79%,75,Pavoverės (Nr.26) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,48.12%,111,47.11%,68,Pavoverės (Nr.26) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,61.74%,90,60.68%,52,Taujūnų (Nr.25) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,38.26%,63,37.61%,25,Taujūnų (Nr.25) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,61.21%,35,58.68%,36,Švedriškės (Nr.24) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,38.79%,19,37.19%,26,Švedriškės (Nr.24) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,47.72%,54,46.75%,61,Šiūlėnų (Nr.23) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,52.28%,76,51.22%,50,Šiūlėnų (Nr.23) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,51.92%,101,51.46%,75,Strigališkio (Nr.22) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,48.08%,97,47.66%,66,Strigališkio (Nr.22) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,43.82%,24,42.86%,15,Rubelninkų (Nr.21) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,56.18%,23,54.95%,27,Rubelninkų (Nr.21) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,44.72%,130,43.81%,86,Cirkliškio (Nr.21) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,55.28%,192,54.16%,75,Cirkliškio (Nr.21) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,51.56%,68,50.77%,64,Rimšės (Nr.20) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,48.44%,80,47.69%,44,Rimšės (Nr.20) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,32.40%,218,31.71%,107,Liepų (Nr.20) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,67.60%,481,66.15%,197,Liepų (Nr.20) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,47.76%,398,47.10%,146,Švenčionių (Nr.19) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,52.24%,462,51.52%,133,Švenčionių (Nr.19) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,58.17%,48,57.79%,41,Pažemiškių (Nr.19) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,41.83%,38,41.56%,26,Pažemiškių (Nr.19) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,56.39%,91,55.15%,59,N.Daugėliškio (Nr.18) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,43.61%,75,42.65%,41,N.Daugėliškio (Nr.18) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,64.46%,89,63.36%,96,Mielagėnų (Nr.17) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,35.54%,60,34.93%,42,Mielagėnų (Nr.17) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,32.13%,55,31.87%,25,Meikštų (Nr.16) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,67.87%,84,67.33%,85,Meikštų (Nr.16) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,61.50%,52,60.89%,71,Jakelių (Nr.16) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,38.50%,48,38.12%,29,Jakelių (Nr.16) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,45.34%,46,44.24%,27,Mažėnų (Nr.15) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,54.66%,63,53.33%,25,Mažėnų (Nr.15) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,50.27%,161,48.85%,114,Adutiškio (Nr.15) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,49.73%,196,48.31%,76,Adutiškio (Nr.15) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,43.52%,76,42.99%,65,Svirkų (Nr.14) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,56.48%,123,55.79%,60,Svirkų (Nr.14) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,59.65%,127,57.07%,111,Linkmenų (Nr.14) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,40.35%,81,38.61%,80,Linkmenų (Nr.14) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,39.08%,79,38.33%,100,Kazokinės (Nr.13) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,60.92%,136,59.74%,143,Kazokinės (Nr.13) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,38.29%,32,37.64%,35,Bačkininkų (Nr.13) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,61.71%,79,60.67%,29,Bačkininkų (Nr.13) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,63.86%,76,61.69%,106,Šventos (Nr.12) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,36.14%,66,34.92%,37,Šventos (Nr.12) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,52.67%,78,51.63%,80,Kazitiškio (Nr.12) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,47.33%,78,46.41%,64,Kazitiškio (Nr.12) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,57.25%,50,56.43%,29,Stanislavavo (Nr.11) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,42.75%,46,42.14%,13,Stanislavavo (Nr.11) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,52.59%,78,51.56%,54,Kaniūkų (Nr.11) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,47.41%,80,46.48%,39,Kaniūkų (Nr.11) apylinkė
Česlovas JURŠĖNAS,Ignalinos - Švenčionių (Nr.53) apygarda,52.42%,77,51.74%,42,Milkuškų (Nr.10) apylinkė
Algirdas ŽIČKUS,Ignalinos - Švenčionių (Nr.53) apygarda,47.58%,71,46.96%,37,Milkuškų (Nr.10) apylinkė
