apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Daugiamandatė,1936.07.13,Vedęs,Nebuvo,"Pensininkas, nedirbu nuo 2004-09-02",Rimvydas Juozas VAITIEKŪNAS,Vilnius,Aukštasis;Kauno Politechnikos institutas;inž. statybininkas,,"LIETUVA, Kaunas",Lietuvių tautininkų sąjunga,Lietuvis (-ė),,Rusų;Anglų,Nėra,Neturi
Daugiamandatė,1962.03.08,Vedęs,Nebuvo,"Vilniaus rajono savivaldybės administracija, Marijampolės seniūnas",Andrej ŽABELOVIČ,"Vilniaus r. sav., Zasčiūnų k.",Aukštesnysis;Vilniaus TU technikumas;inžinierius,Sportas,"LIETUVA, Zasčiūnų km. Vilniaus raj.",Lietuvos lenkų rinkimų akcija,Lenkas (-ė),,Rusų,Nėra,Neturi
Daugiamandatė,1960.03.14,Vedęs,Nebuvo, ,Eugenijus GENTVILAS,Klaipėda,Aukštasis;Vilniaus universitetas;geografija,,"LIETUVA, Telšių raj, Želvaičių km.",Liberalų ir centro sąjunga,Lietuvis (-ė),,Anglų;Vokiečių;Rusų,Nėra,Neturi
Daugiamandatė,1939.08.01,Nevedęs,Nebuvo, ,Pranas VIZGIRDA,Vilnius,Nebaigtas vidurinis;Vilniaus Politechnikumas;Metalų apdirbimas pjovimu,,"LIETUVA, Šakių rajonas, Petkūniškės kaimas",Lietuvos socialdemokratų sąjunga,Lietuvis (-ė),,Rusų,Nėra,Neturi
Daugiamandatė,1971.02.27,Netekėjusi,Nebuvo,Nedirbu,Giedrė SAKALAUSKAITĖ,Vilnius,Vidurinis; ; ,Kalbos,"LIETUVA, Vilnius",Tautinė partija Lietuvos kelias,Lietuvis (-ė),,Anglų;Vokiečių;Rusų,Nėra,Neturi
Daugiamandatė,1942.09.22,Ištekėjusi,Nebuvo,Pensininkė,Milda MORKŪNIENĖ,Vilnius,Specialus vidurinis;Vilniaus prekybos technikumas;Maisto prekių žinovė,,"LIETUVA, Utena",Tautinė partija Lietuvos kelias,Lietuvis (-ė),,Rusų,Nėra,Neturi
Šakių,1962.03.08,Vedęs,Nebuvo, ,Arvydas VIDŽIŪNAS,Vilnius,Aukštasis;Vilniaus universitetas Filologijos fakultetas;lietuvių kalba ir literatūra,Knygos,"LIETUVA, Valenčiūnų km., Šakių raj.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų;Vokiečių;Anglų;Lenkų,Nėra,Neturi
Rokiškio,1943.06.11,Vedęs,Nebuvo,"UAB ""Zarasų automobilių keliai"", direktorius",Petras Antanas ŠALČIUS,Rokiškis,Aukštasis;Kauno politechnikos institutas (dabar Technologijos universitetas);kelių inžinierius,Darbas miške,"LIETUVA, Prienų raj., Čiudiškių km.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Vokiečių;Rusų,Nėra,Neturi
Lazdynų,1960.09.07,Vedęs,Nebuvo,"Vilniaus miesto savivaldybės administracija, Lazdynų seniūnas",Algis STRELČIŪNAS,Vilnius,Aukštasis;Vilniaus inžinerinis statybos institutas;automobilių ir autoūkio (inžinierius-mechanikas),Bilijardas,"LIETUVA, Vilnius","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Vokiečių;Rusų;Anglų,Nėra, 
Skuodo  - Mažeikių,1962.08.05,Vedęs,Nebuvo,"UAB ""Saurida"", nekilnojamo turto skyriaus vadovas",Raimundas LATAKAS,Mažeikiai,Nebaigtas aukštasis;VGTU;transporto inžinerija,Senoviškos technikos paieška,"LIETUVA, Mažeikiai","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Lenkų;Rusų,Nėra,Neturi
Kaišiadorių - Elektrėnų,1965.01.20,Nevedęs,Nebuvo,"Paskutinė darbovietė: Šv. Tomo vaikai, palikęs 2004.06.30, socialinis darbuotojas",Vytautas Ričardas BAČKIS,Vilnius,"Aukštasis;Vilniaus universitetas;Filosofija, Ik;Aukštasis;Trinity and All Saints College, DB;Žurnalistika",Studijos,"PRANCŪZIJA, Paryžius","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Prancūzų;Anglų;Vokiečių,Nėra,Neturi
Daugiamandatė,1966.02.08,Išsiskyręs,Nebuvo,"UAb ""Falck Security"" tech. darbuotojas",Maurikijus GRĖBLIŪNAS,Panevėžys,Aukštasis;Kauno technologijos institutas;elektrikas,,"LIETUVA, Panevėžys","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Daugiamandatė,1956.06.22,Vedęs,Nebuvo,Viešoji įstaiga Alytaus apskrities S. Kudirkos ligoninė,Vytas JAZEPČIKAS,Alytus,,,"LIETUVA, Krasnojarsko sr., Mansko r., Unguto k.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Prancūzų;Rusų,Nėra,Neturi
Daugiamandatė,1945.01.08,Vedęs,Nebuvo,"Lietuvos energetikos institutas, vyr mokslo darbuotojas",Juozas SAVICKAS,Kaunas,Aukštasis;Kauno Politechnikos institutas (KTU);Pramonės šilunminė energetika,Įvairūs,"LIETUVA, Vilkaviškis","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Daugiamandatė,1944.11.27,Ištekėjusi,Nebuvo,"Nijolės Ragauskienės individuali įmonė, savininkė",Nijolė RAGAUSKIENĖ,Kaunas,"Aukštasis;Kauno politechnikos institutas, Cheminės technologijos fakultetas;inžinierė- technologė",Bendravimas su žmonėmis,"LIETUVA, Kaunas","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Daugiamandatė,1937.04.11,Vedęs,Nebuvo,"Prienų miškų urėdija, Ryšių su visuomene specialistas",Algirdas Juozas SAKALAUSKAS,"Prienų r. sav., Ignacavos k.",Aukštasis;Lietuvos žemės ūkio Akademija;miškų ūkio inžin.;Aukštesnysis;Vilniaus miškų technikumas;miškininko,Medžioklė,"LIETUVA, Martiniškių k., Ukmergės apsk.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų;Lenkų,Nėra,Neturi
Daugiamandatė,1976.04.01,Vedęs,Nebuvo,"Telšių apskrities valstybinė mokesčių inspekcija, Operatyvios kontrolės skyriaus specialistas",Vytautas UZNYS,Plungė,Aukštesnysis;Klaipėdos aukštesnioji žemės ūkio mokykla;finansininkas - ekonomistas,Gamta,"LIETUVA, Plungės m.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Daugiamandatė,1968.04.10,Vedęs,Nebuvo,"Klaipėdos rajono savialdybės administracija, Turto valdymo skyriaus vedėjas",Audrius KAMPAS,Gargždai,Aukštasis;Klaipėdos universitetas;vadybos ir verslo administravimas;Aukštasis;Lietuvos veterinarijos akademija;veterinarijos gydytojas,Darbas sode,"LIETUVA, Šilalė","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų;Anglų,Nėra,Neturi
Daugiamandatė,1955.03.02,Vedęs,Nebuvo,"AB ""Vilniaus bankas"", Varėnos klientų aptarnavimo skyriaus viršininkas",Juozas ŠILANSKAS,Varėna,Aukštasis;Vilniaus universitetas;finansai ir kreditas,Grybavimas,"RUSIJA, Novaja Lialia m. Sverdlovsko sr.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Prancūzų;Rusų,Nėra,Neturi
Daugiamandatė,1942.06.19,Vedęs,Nebuvo,"Akcinė bendrovė ""YIT Kausta"", marketingo vadybininkas",Adolfas Antanas BALUTIS,Kaunas,Aukštasis;Kauno Politechnikos i-tas;inžinierius;Specialus vidurinis;Kauno Politechnikumas;technikas,Knygos,"LIETUVA, Vilnius","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų;Lenkų,Nėra,Neturi
Daugiamandatė,1963.07.02,Netekėjusi,Nebuvo,"Ryšių regulaivimo tarnyba prie LR Vyriausybės, Strategijos departamento, pašto regulaivimo skyriaus vyriausioji specialistė",Aušra ŽALYTĖ,Vilnius,Aukštasis;Vilniaus Universiteto Komunikacijos fakulteto Žurnalistikos institutas;Atstovė spaudai - viešųjų ryšių specialistė;Aukštasis;Vilniaus universitetas;Žurnalistė;Specialus vidurinis;Vilniaus dailės mokykla;Dailininkė;Aukštesnysis;Vilniaus Prekybos technikumas;Technikė-prekių žinovė,Dailė,"LIETUVA, Vilnius","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų;Vokiečių;Esperanto;Prancūzų,Nėra,Neturi
Daugiamandatė,1958.09.21,Ištekėjusi,Nebuvo,"UAB ""Lietuvos spaudos"" Alytaus agentūra, direktorė",Rima RAKAUSKIENĖ,"Alytaus r. sav., Pasimnių k.",Aukštasis;Kauno technologijos universitetas;vadybininkė;Aukštasis;Vilniaus universitetas;filologė,Literatūra,"RUSIJA, Komijos Respublika, Uchtos m.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Prancūzų;Rusų,Nėra,Neturi
Daugiamandatė,1940.08.26,Vedęs,Nebuvo,"AB ""Lietuvos geležinkeliai"" Saugos skyriaus konsultantas aplinkos apsaugai",Kęstutis TURONIS,Vilnius,Aukštasis;Vilniaus unviersiteto Gamtos mokslų fakutletas;hidrologija,,"LIETUVA, Varėna","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų;Lenkų,Nėra,Neturi
Daugiamandatė,1940.12.17,Vedęs,Nebuvo,"Kauno technologijos universitetas, profesorius",Saulius KAUŠINIS,Kaunas,Aukštasis;Leningrado aviacijos prietaisų institutas;Tikslieji prietaisai;Aukštasis;Kauno politechnikos institutas;inžinierius mechanikas,Buriavimas,"LIETUVA, Kauno m.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų;Prancūzų;Lenkų,Nėra,Neturi
Daugiamandatė,1954.07.22,Išsiskyręs,Nebuvo,"Lietuvos Viešojo Administravimo institutas, dėstytojas",Ričardas MALKEVIČIUS,Kaunas,,Buriavimas,"LIETUVA, Klaipėda","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų;Lenkų,Nėra,Neturi
Daugiamandatė,1946.07.26,Vedęs,Nebuvo,"KTU Informacinių technologijų plėtros institutas, direktoriaus pavaduotojas",Jonas MARKAUSKAS,Kaunas,Aukštasis;Kauno politechnikos institutas;inž.elektrikas,Istorija,"RUSIJA, Jakutija","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų,Nėra,Neturi
Daugiamandatė,1957.09.03,Vedęs,Nebuvo,"UAB ""Kauno autobusai"", techninės kontrolės inžinierius",Bronius BUČELIS,Kaunas,"Aukštesnysis;Kauno aukštesnioji technikos mokykla;Automobilių ekspolatacija ir remontas, mechaniko specialybė",Krepšinis,"LIETUVA, Kaunas","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Vokiečių;Rusų,Nėra,Neturi
Daugiamandatė,1958.07.08,,Nebuvo,"VĮ Zarasų miškų urėdija, urėdas",Rimantas JUREVIČIUS,"Zarasų r. sav., Kumpuolių k.",Aukštasis;Lietuvos žemės ūkio universitetas;miškininkystė,Bendravimas su žmonėmis,"RUSIJA, Ust-Taskan gyv., Magadano sr., Jagodnojės raj.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų,Nėra,Neturi
Daugiamandatė,1962.07.08,Vedęs,Nebuvo,"Marijampolės 5-oji vidurinė mokykla, direktorius",Valdas PILECKAS,Marijampolė,Aukštasis;Lietuvos Valstybinis kūno kultūros institutas;fizinio lavinimo dėstytojas - treneris,Aktyvus poilsis,"LIETUVA, Alytus","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Vokiečių;Rusų;Lenkų,Nėra,Neturi
Daugiamandatė,1969.05.14,Vedęs,Nebuvo,"Marijampolės kolegija, fakulteto dekanas",Kęstutis TRAŠKEVIČIUS,Marijampolė,Aukštasis;Vilniaus universitetas;matematika,Muzika,"LIETUVA, Marijampolė","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų,Nėra,Neturi
Daugiamandatė,1951.06.18,Ištekėjusi,Nebuvo,"Radviliškio ligoninė, direktoriaus pavaduotoja gyd. reikalams",Irena PALIONIENĖ,Radviliškis,Aukštasis;Kauno Medicinos institutas;infekologė,Filosofinė literatūra,"LIETUVA, Kėdainių r., Maconių k.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų;Anglų,Nėra,Neturi
Daugiamandatė,1949.04.28,Našlė,Nebuvo,"Telšių vaikų muzikos mokykla, smuiko specialybės vyr. mokytoja",Alfreda TAMOŠEVIČIENĖ,Telšiai,Aukštasis;Muzikos akademija 4 kursai;smuikas;Aukštasis;Vilniaus konservatoriaja;smuikas,Bitininkystė,"LIETUVA, Telšiai","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Daugiamandatė,1953.06.11,Vedęs,Nebuvo,"Valstybinė mokesčių inspekcija prie FM, poskyrio vedėjas",Arūnas EIGIRDAS,Vilnius,Aukštasis;Vilniaus universitetas;matematikas,,"LIETUVA, Klaipėda","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Vilniaus - Šalčininkų,1962.03.15,Vedęs,Nebuvo,"Šalčininkų Lietuvos tūkstantmečio vidurinė mokykla, direktorius",Vidmantas ŽILIUS,Šalčininkai,Aukštasis;Vilniaus valstybinis pedagoginis institutas;matematikos mokytojas,Žūklė,"LIETUVA, Rietavas","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,,Nėra,Neturi
Kauno - Kėdainių,1949.03.07,Vedęs,Nebuvo,"Pakaunės pirminės sveikatos priežiūros centras, direktorius",Jonas BIELSKIS,"Kauno r. sav., Vandžiogalos mstl.",Aukštasis;Kauno medicinos institutas;gydytojas-stomatologas,Kelionės,"LIETUVA, Telšių r., Luokės miestelis","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Vokiečių;Rusų,Nėra,Neturi
Ukmergės,1954.11.28,Ištekėjusi,Nebuvo,"Ukmergės pirminės sveikatos priežiūros centras, vyriausioji gydytoja",Janina GALIAUSKIENĖ,Ukmergė,Aukštasis;Kauno medicinos institutas;gydytoja,Kelionės,"LIETUVA, Ukmergė","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Pajūrio,1945.06.28,Vedęs,Nebuvo,Klaipėdos universitetas,Petras GRECEVIČIUS,Palanga,Aukštasis;Vilniaus inžinerinis statybos institutas;miestų statyba,,"LIETUVA, Vilnius","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Kelmės,1956.09.05,Vedęs,Nebuvo,"Agroserviso kooperatyvas ""Kuršių kraštas"", valdybos pirmininkas",Vytautas ŠIMKŪNAS,"Kelmės r. sav., Skogalio k.",Aukštasis;Vilniaus pedagoginis  institutas;pedagogas,Gamta,"LIETUVA, Švenčionys","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Vokiečių;Rusų,Nėra,Neturi
Mažeikių,1964.02.13,Vedęs,Nebuvo,"Mažeikių r. Viekšnių vidurinė mokykla, direktorius",Rimantas GRICIUS,"Mažeikių r. sav., Fermos k.",Aukštasis;LVKKI;kūno kultūros dėstytojas,Muzika,"LIETUVA, Tauragė","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų;Vokiečių,Nėra,Neturi
Trakų - Elektrėnų,1957.09.10,Ištekėjusi,Nebuvo,"Vilniaus miesto savivaldybės administracijos Sveikatos ir socialinės apsaugos departamento Socialinės paramos skyrius, vyriausioji specialistė",Aldona DOBROVOLSKIENĖ,Grigiškės,Aukštasis;Vilniaus pedagoginis universitetas;socialinis pedagogas;Specialus vidurinis;Vilniaus technologijos technikumas;technikas-chemikas,Apsipirkimas,"RUSIJA, Krasnojarsko kraštas","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Prancūzų;Rusų;Lenkų,Nėra,Neturi
Danės,1964.09.02,Vedęs,Nebuvo,Nėra,Naglis PUTEIKIS,Klaipėda,Aukštasis;Vilniaus universitetas;istorija,Archeologija,"LIETUVA, Vilnius","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Saulės,1958.11.07,Vedęs,Nebuvo,"AB Šiaulių bankas, skyriaus viršininkas",Jonas BARTKUS,Šiauliai,Aukštasis;Vilniaus universitetas;matematikas,Internetas,"LIETUVA, Šilutės raj.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Karoliniškių,1944.02.27,Ištekėjusi,Nebuvo,Vilniaus miesto savivaldybės administracijos Karoliniškių seniūnė,Danutė BEKINTIENĖ,Vilnius,"Aukštasis;Vilniaus universitetas, gamtos fakultetas;biologijos chemijos dėstytoja",Gėlių auginimas,"LIETUVA, VARĖNOS RAJ., PUVOČIŲ KM.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų,Nėra,Neturi
Daugiamandatė,1942.12.24,Našlė,Nebuvo,pensininkė,Elvyra Valerija LAPUKIENĖ,Plungė,Aukštasis;Vilniaus universitetas;rusų kalba ir literatūra (filologė),Filosofija,"LIETUVA, Želvių k., Kretingos r.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Tauragės,1969.07.17,Vedęs,Nebuvo,"Tauragės profesinio rengimo centras, profesinio rengimo skyriaus vedėjas",Darius BREDELIS,Tauragė,Aukštasis;Klaipėdos universitetas;informatikos mokytojas;Aukštasis;Klaipėdos universitetas;pedagogas;Aukštasis;Kauno technologijos universitetas;inžinierius mechanikas;Aukštesnysis;Tauragės politechnikumas;technikas mechanikas,Knygų skaitymas,"LIETUVA, Tauragė","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Daugiamandatė,1965.01.15,Vedęs,Nebuvo,"Biržų rajono neįgalių, vienišų asmenų ir senelių globos namai, direktorius",Renaldas SIMĖNAS,Biržai,Aukštasis;Šiaulių pedagoginis institutas;spec. pedagogas,,"LIETUVA, Biržai","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Akmenės - Joniškio,1954.06.05,Netekėjusi,Nebuvo,"LR Valstybinė darbo inspekcija, vyresn. darbo inspektorė darbo teisei",Jadvyga DUNAUSKAITĖ,"Akmenės r. sav., Kanteikių k.",Aukštasis;Kauno politechnikos institutas;inžinierė statybininkė;Aukštasis;Lietuvos teisės universitetas;teisės bakalauras,,"LIETUVA, Konteikių km., Akmenės raj.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų;Anglų,Nėra,Neturi
Daugiamandatė,1955.08.27,Vedęs,Nebuvo,"UAB ""Inbro"", Šiaulių filialo direktorius",Vladas DAMULEVIČIUS,Šiauliai,Aukštasis;Vilniaus inžinerinis statybos institutas VGTU;inžinierius statyba,Gamta,"RUSIJA, Irkutsko sritis","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų;Rusų,Nėra,Neturi
Daugiamandatė,1954.03.12,Vedęs,Nebuvo,"Šiaulių prekybos, pramonės ir amatų rūmai, gen. direktorius",Rimundas DOMARKAS,Šiauliai,Aukštasis;Kauno politechnikos institutas;inžinierius elektrikas,,"RUSIJA, Irkutsko sritis","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų,Nėra,Neturi
Daugiamandatė,1942.02.15,Ištekėjusi,Nebuvo,"Marijampolės 5-oji vidurinė mokykla, kūno kultūros mokytoja",Vanda JUKNEVIČIENĖ,Marijampolė,Aukštasis;Kauno kūno kultūros institutas;kūno kultūros mokytoja,Kelionės,"LIETUVA, Skuodas","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų;Lenkų,Nėra,Neturi
Vilniaus - Trakų,1958.01.01,Vedęs,Nebuvo,"Vilniaus m. savivaldybės UAB ""Bendruva"", energetikas",Juozas STANĖNAS,Grigiškės,,Filmavimas,"RUSIJA, Krasnojarsko kraštas","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,,Nėra,Neturi
