kandidatas,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Vidutė MAZLAVECKIENĖ,"14,16%",48,"13,19%",2,Stakliškių  (Nr.34) apylinkė  
Antanas GUSTAITIS,"5,67%",17,"5,28%",3,Stakliškių  (Nr.34) apylinkė  
Rima ZABLACKIENĖ,"2,27%",6,"2,11%",2,Stakliškių  (Nr.34) apylinkė  
Gintaras KLEIZA,"1,42%",4,"1,32%",1,Stakliškių  (Nr.34) apylinkė  
Jonas VILIONIS,"1,70%",5,"1,58%",1,Stakliškių  (Nr.34) apylinkė  
Vilma VAIDOGIENĖ,"2,55%",9,"2,37%",0,Stakliškių  (Nr.34) apylinkė  
Antanas ČEBATARIŪNAS,"3,97%",14,"3,69%",0,Stakliškių  (Nr.34) apylinkė  
Jonas Adolfas PATRIUBAVIČIUS,"0,00%",0,"0,00%",0,Stakliškių  (Nr.34) apylinkė  
Donatas JANKAUSKAS,"30,98%",426,"28,13%",12,Meno mokyklos  (Nr.49) apylinkė  
Petras MIKELIONIS,"12,38%",167,"11,24%",8,Meno mokyklos  (Nr.49) apylinkė  
Artūras ORLAUSKAS,"10,96%",152,"9,96%",3,Meno mokyklos  (Nr.49) apylinkė  
Rimantas DAILIDONIS,"13,15%",185,"11,95%",1,Meno mokyklos  (Nr.49) apylinkė  
Vidmantas VITKAUSKAS,"13,86%",196,"12,59%",0,Meno mokyklos  (Nr.49) apylinkė  
Algirdas ŽANDARAS,"6,86%",96,"6,23%",1,Meno mokyklos  (Nr.49) apylinkė  
Henrichas BAREIŠIS,"3,39%",46,"3,08%",2,Meno mokyklos  (Nr.49) apylinkė  
Virginija ZAZIENĖ,"3,96%",53,"3,60%",3,Meno mokyklos  (Nr.49) apylinkė  
Juozas JOKIMAS,"1,34%",17,"1,22%",2,Meno mokyklos  (Nr.49) apylinkė  
Antanas MAKAREVIČIUS,"1,98%",28,"1,80%",0,Meno mokyklos  (Nr.49) apylinkė  
Jurgis Algirdas BIELINIS BIELIAKAS,"1,13%",16,"1,03%",0,Meno mokyklos  (Nr.49) apylinkė  
Jonas KONDROTAS,"7,27%",29,"6,65%",3,Mokyklos  (Nr.50) apylinkė  
Justinas URBANAVIČIUS,"23,64%",96,"21,62%",8,Mokyklos  (Nr.50) apylinkė  
Antanas NESTECKIS,"32,50%",136,"29,73%",7,Mokyklos  (Nr.50) apylinkė  
Vytautas GROMNICKAS,"9,77%",40,"8,94%",3,Mokyklos  (Nr.50) apylinkė  
Aleksandras VITKUS,"9,55%",34,"8,73%",8,Mokyklos  (Nr.50) apylinkė  
Saulius GRINKEVIČIUS,"3,64%",15,"3,33%",1,Mokyklos  (Nr.50) apylinkė  
Arūnas KARLONAS,"3,86%",16,"3,53%",1,Mokyklos  (Nr.50) apylinkė  
Arūnas MALIAUKA,"5,23%",23,"4,78%",0,Mokyklos  (Nr.50) apylinkė  
Zita BUTKUTĖ,"2,50%",9,"2,29%",2,Mokyklos  (Nr.50) apylinkė  
Virginijus VENSKUTONIS,"2,05%",7,"1,87%",2,Mokyklos  (Nr.50) apylinkė  
Mindaugas BASTYS,"51,97%",53,"49,38%",26,Slabadų  (Nr.43) apylinkė  
Jonas ŠIMĖNAS,"9,87%",11,"9,38%",4,Slabadų  (Nr.43) apylinkė  
Kęstutis SMIRNOVAS,"13,82%",19,"13,12%",2,Slabadų  (Nr.43) apylinkė  
Robertas KATINSKAS,"7,24%",10,"6,88%",1,Slabadų  (Nr.43) apylinkė  
Antanas LITVINAS,"2,63%",4,"2,50%",0,Slabadų  (Nr.43) apylinkė  
Vladas SEDEREVIČIUS,"6,58%",7,"6,25%",3,Slabadų  (Nr.43) apylinkė  
Algimantas Antanas ALEKNAVIČIUS,"3,95%",5,"3,75%",1,Slabadų  (Nr.43) apylinkė  
Juozas Vytas JACEVIČIUS,"1,97%",2,"1,88%",1,Slabadų  (Nr.43) apylinkė  
Kęstutis JUSAITIS,"1,97%",2,"1,88%",1,Slabadų  (Nr.43) apylinkė  
Mantas VARAŠKA,"17,27%",18,"15,45%",1,Užgirių  (Nr.43) apylinkė  
Albinas MITRULEVIČIUS,"30,00%",31,"26,83%",2,Užgirių  (Nr.43) apylinkė  
Birutė KAŽEMĖKAITĖ,"8,18%",4,"7,32%",5,Užgirių  (Nr.43) apylinkė  
Vytautas NARUŠIS,"20,00%",22,"17,89%",0,Užgirių  (Nr.43) apylinkė  
Valdas KAZLAS,"2,73%",3,"2,44%",0,Užgirių  (Nr.43) apylinkė  
Jonas ŠČEPONIS,"6,36%",7,"5,69%",0,Užgirių  (Nr.43) apylinkė  
Algimanta PABEDINSKIENĖ,"2,73%",3,"2,44%",0,Užgirių  (Nr.43) apylinkė  
Alvydas DIRSĖ,"3,64%",3,"3,25%",1,Užgirių  (Nr.43) apylinkė  
Gediminas RADZEVIČIUS,"3,64%",4,"3,25%",0,Užgirių  (Nr.43) apylinkė  
Vidutis Jonas MICKEVIČIUS,"4,55%",5,"4,07%",0,Užgirių  (Nr.43) apylinkė  
Regina ŠIMANAUSKIENĖ,"0,91%",1,"0,81%",0,Užgirių  (Nr.43) apylinkė  
Bronius PAUŽA,"26,97%",271,"25,52%",23,Naujamiesčio  (Nr.31) apylinkė  
Saulius LAPĖNAS,"25,14%",251,"23,78%",23,Naujamiesčio  (Nr.31) apylinkė  
Edvardas STRONČIKAS,"13,21%",123,"12,50%",21,Naujamiesčio  (Nr.31) apylinkė  
Algirdas GUDAITIS,"11,19%",113,"10,59%",9,Naujamiesčio  (Nr.31) apylinkė  
Vitalijus KARAKORSKIS,"8,26%",87,"7,81%",3,Naujamiesčio  (Nr.31) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"4,31%",41,"4,08%",6,Naujamiesčio  (Nr.31) apylinkė  
Gintaris STOŠKUS,"5,96%",61,"5,64%",4,Naujamiesčio  (Nr.31) apylinkė  
Vitalija PETRAITIENĖ,"2,48%",25,"2,34%",2,Naujamiesčio  (Nr.31) apylinkė  
Aldona GUDŽIŪNIENĖ,"0,55%",6,"0,52%",0,Naujamiesčio  (Nr.31) apylinkė  
Eglija VAITKEVIČĖ,"0,46%",5,"0,43%",0,Naujamiesčio  (Nr.31) apylinkė  
Aleksandras MOLIBOGA,"1,47%",16,"1,39%",0,Naujamiesčio  (Nr.31) apylinkė  
Julius VESELKA,"28,57%",75,"27,33%",19,Žemaitkiemio  (Nr.40) apylinkė  
Janina GALIAUSKIENĖ,"20,36%",41,"19,48%",26,Žemaitkiemio  (Nr.40) apylinkė  
Loreta GRAUŽINIENĖ,"16,72%",38,"15,99%",17,Žemaitkiemio  (Nr.40) apylinkė  
Juozas ARMANAVIČIUS,"5,47%",17,"5,23%",1,Žemaitkiemio  (Nr.40) apylinkė  
Arūnas JASAITIS,"6,99%",18,"6,69%",5,Žemaitkiemio  (Nr.40) apylinkė  
Darius GUTAUSKAS,"5,78%",18,"5,52%",1,Žemaitkiemio  (Nr.40) apylinkė  
Elena MIRINAVIČIENĖ,"12,46%",32,"11,92%",9,Žemaitkiemio  (Nr.40) apylinkė  
Alvydas RAMANAUSKAS,"1,52%",5,"1,45%",0,Žemaitkiemio  (Nr.40) apylinkė  
Galina CHATKEVIČ,"0,91%",2,"0,87%",1,Žemaitkiemio  (Nr.40) apylinkė  
Lina SUKACKIENĖ,"0,00%",0,"0,00%",0,Žemaitkiemio  (Nr.40) apylinkė  
Eglė PETRAITIENĖ,"1,22%",3,"1,16%",1,Žemaitkiemio  (Nr.40) apylinkė  
Rimantas SINKEVIČIUS,"21,15%",129,"20,26%",11,Šveicarijos  (Nr.27) apylinkė  
Arūnas RIMKUS,"13,44%",87,"12,88%",2,Šveicarijos  (Nr.27) apylinkė  
Raimondas BURKOVSKIS,"14,50%",87,"13,89%",9,Šveicarijos  (Nr.27) apylinkė  
Vytas VAICEKAUSKAS,"14,65%",90,"14,04%",7,Šveicarijos  (Nr.27) apylinkė  
Ligitas KERNAGIS,"16,31%",106,"15,63%",2,Šveicarijos  (Nr.27) apylinkė  
Židrūnas GARŠVA,"6,65%",41,"6,37%",3,Šveicarijos  (Nr.27) apylinkė  
Valdas SKARBALIUS,"5,59%",33,"5,35%",4,Šveicarijos  (Nr.27) apylinkė  
Vladislovas VATĖNAS,"2,87%",19,"2,75%",0,Šveicarijos  (Nr.27) apylinkė  
Laima GUDAVIČIENĖ,"2,11%",11,"2,03%",3,Šveicarijos  (Nr.27) apylinkė  
Renata LAŠIENĖ,"2,72%",17,"2,60%",1,Šveicarijos  (Nr.27) apylinkė  
Bronius BRADAUSKAS,"49,43%",63,"45,03%",23,Liutonių  (Nr.31) apylinkė  
Kazimieras UOKA,"16,09%",14,"14,66%",14,Liutonių  (Nr.31) apylinkė  
Vytautas KURPUVESAS,"11,49%",16,"10,47%",4,Liutonių  (Nr.31) apylinkė  
Stasys DANIUS,"8,62%",12,"7,85%",3,Liutonių  (Nr.31) apylinkė  
Antanas LUKOŠEVIČIUS,"1,15%",1,"1,05%",1,Liutonių  (Nr.31) apylinkė  
Mindaugas ŠIMKŪNAS,"4,02%",7,"3,66%",0,Liutonių  (Nr.31) apylinkė  
Lina BARKUVIENĖ,"5,75%",4,"5,24%",6,Liutonių  (Nr.31) apylinkė  
Rimas URBUS,"0,57%",0,"0,52%",1,Liutonių  (Nr.31) apylinkė  
Audrė PREIKŠAITIENĖ,"1,15%",0,"1,05%",2,Liutonių  (Nr.31) apylinkė  
Kazimieras NAUSĖDA,"1,72%",1,"1,57%",2,Liutonių  (Nr.31) apylinkė  
Irena NARKEVIČ,"0,00%",0,"0,00%",0,Liutonių  (Nr.31) apylinkė  
Dangutė MIKUTIENĖ,"11,90%",9,"10,99%",1,Bagdononių  (Nr.42) apylinkė  
Jonas LIESYS,"5,95%",5,"5,49%",0,Bagdononių  (Nr.42) apylinkė  
Henrik JANKOVSKI,"23,81%",20,"21,98%",0,Bagdononių  (Nr.42) apylinkė  
Audrius SKAISTYS,"9,52%",8,"8,79%",0,Bagdononių  (Nr.42) apylinkė  
Algimantas ADOMAITIS,"11,90%",9,"10,99%",1,Bagdononių  (Nr.42) apylinkė  
Kęstutis VILKAUSKAS,"14,29%",11,"13,19%",1,Bagdononių  (Nr.42) apylinkė  
Jadvyga DZENCEVIČIENĖ,"5,95%",5,"5,49%",0,Bagdononių  (Nr.42) apylinkė  
Kęstutis RUPULEVIČIUS,"7,14%",6,"6,59%",0,Bagdononių  (Nr.42) apylinkė  
Jonas SADOVSKIS,"5,95%",5,"5,49%",0,Bagdononių  (Nr.42) apylinkė  
Sergej DMITRIJEV,"0,00%",0,"0,00%",0,Bagdononių  (Nr.42) apylinkė  
Romas STUMBRYS,"2,38%",1,"2,20%",1,Bagdononių  (Nr.42) apylinkė  
Jurgis SAMULEVIČIUS,"1,19%",1,"1,10%",0,Bagdononių  (Nr.42) apylinkė  
Jaroslav NARKEVIČ,"16,38%",90,"14,71%",5,Salininkų  (Nr.451) apylinkė  
Aleksandr SACHARUK,"13,28%",76,"11,92%",1,Salininkų  (Nr.451) apylinkė  
Irena KALKIENĖ,"15,69%",90,"14,09%",1,Salininkų  (Nr.451) apylinkė  
Sergej URSUL,"10,69%",57,"9,60%",5,Salininkų  (Nr.451) apylinkė  
Raimundas KAVALIAUSKAS,"16,38%",93,"14,71%",2,Salininkų  (Nr.451) apylinkė  
Vytas RUKŠĖNAS,"10,86%",62,"9,75%",1,Salininkų  (Nr.451) apylinkė  
Michailas OLISOVAS,"3,10%",17,"2,79%",1,Salininkų  (Nr.451) apylinkė  
Algis ŠUMSKAS,"3,10%",18,"2,79%",0,Salininkų  (Nr.451) apylinkė  
Modestas CHMIELIAUSKAS,"6,03%",31,"5,42%",4,Salininkų  (Nr.451) apylinkė  
Zigmunt ROMANOVSKIJ,"2,41%",12,"2,17%",2,Salininkų  (Nr.451) apylinkė  
Antanas KARTUNAVIČIUS,"2,07%",12,"1,86%",0,Salininkų  (Nr.451) apylinkė  
Valdemar TOMAŠEVSKI,"78,38%",266,"74,19%",53,Rakonių  (Nr.55) apylinkė  
Alina GOREVAJA,"4,91%",18,"4,65%",2,Rakonių  (Nr.55) apylinkė  
Leonarda STANČIKIENĖ,"2,21%",9,"2,09%",0,Rakonių  (Nr.55) apylinkė  
Solveiga MAKARENKIENĖ,"3,93%",14,"3,72%",2,Rakonių  (Nr.55) apylinkė  
Ana ORNOVSKA,"1,72%",6,"1,63%",1,Rakonių  (Nr.55) apylinkė  
Jaroslav KOZLOVSKI,"2,95%",9,"2,79%",3,Rakonių  (Nr.55) apylinkė  
Jonas CIMBOLAITIS,"2,95%",10,"2,79%",2,Rakonių  (Nr.55) apylinkė  
Algis GRIDZIUŠKA,"1,97%",8,"1,86%",0,Rakonių  (Nr.55) apylinkė  
Arvydas BANIULIS,"0,49%",2,"0,47%",0,Rakonių  (Nr.55) apylinkė  
Arvydas VALIUKEVIČIUS,"0,49%",2,"0,47%",0,Rakonių  (Nr.55) apylinkė  
Valdemar TOMAŠEVSKI,"55,52%",500,"50,83%",48,Neries  (Nr.52) apylinkė  
Alina GOREVAJA,"7,09%",61,"6,49%",9,Neries  (Nr.52) apylinkė  
Leonarda STANČIKIENĖ,"4,46%",40,"4,08%",4,Neries  (Nr.52) apylinkė  
Solveiga MAKARENKIENĖ,"9,22%",87,"8,44%",4,Neries  (Nr.52) apylinkė  
Ana ORNOVSKA,"3,44%",31,"3,15%",3,Neries  (Nr.52) apylinkė  
Jaroslav KOZLOVSKI,"1,72%",15,"1,58%",2,Neries  (Nr.52) apylinkė  
Jonas CIMBOLAITIS,"5,57%",52,"5,10%",3,Neries  (Nr.52) apylinkė  
Algis GRIDZIUŠKA,"4,86%",48,"4,45%",0,Neries  (Nr.52) apylinkė  
Arvydas BANIULIS,"5,27%",49,"4,82%",3,Neries  (Nr.52) apylinkė  
Arvydas VALIUKEVIČIUS,"2,84%",26,"2,60%",2,Neries  (Nr.52) apylinkė  
Valdemar TOMAŠEVSKI,"50,56%",516,"47,04%",25,Nemenčinės  (Nr.51) apylinkė  
Alina GOREVAJA,"6,45%",57,"6,00%",12,Nemenčinės  (Nr.51) apylinkė  
Leonarda STANČIKIENĖ,"3,74%",39,"3,48%",1,Nemenčinės  (Nr.51) apylinkė  
Solveiga MAKARENKIENĖ,"8,97%",94,"8,35%",2,Nemenčinės  (Nr.51) apylinkė  
Ana ORNOVSKA,"4,21%",42,"3,91%",3,Nemenčinės  (Nr.51) apylinkė  
Jaroslav KOZLOVSKI,"4,11%",40,"3,83%",4,Nemenčinės  (Nr.51) apylinkė  
Jonas CIMBOLAITIS,"7,66%",80,"7,13%",2,Nemenčinės  (Nr.51) apylinkė  
Algis GRIDZIUŠKA,"4,86%",49,"4,52%",3,Nemenčinės  (Nr.51) apylinkė  
Arvydas BANIULIS,"6,26%",67,"5,83%",0,Nemenčinės  (Nr.51) apylinkė  
Arvydas VALIUKEVIČIUS,"3,18%",31,"2,96%",3,Nemenčinės  (Nr.51) apylinkė  
Valdemar TOMAŠEVSKI,"83,01%",249,"79,71%",132,Savičiūnų  (Nr.43) apylinkė  
Alina GOREVAJA,"7,41%",29,"7,11%",5,Savičiūnų  (Nr.43) apylinkė  
Leonarda STANČIKIENĖ,"1,96%",8,"1,88%",1,Savičiūnų  (Nr.43) apylinkė  
Solveiga MAKARENKIENĖ,"1,53%",7,"1,46%",0,Savičiūnų  (Nr.43) apylinkė  
Ana ORNOVSKA,"0,87%",4,"0,84%",0,Savičiūnų  (Nr.43) apylinkė  
Jaroslav KOZLOVSKI,"2,18%",8,"2,09%",2,Savičiūnų  (Nr.43) apylinkė  
Jonas CIMBOLAITIS,"0,87%",2,"0,84%",2,Savičiūnų  (Nr.43) apylinkė  
Algis GRIDZIUŠKA,"0,44%",2,"0,42%",0,Savičiūnų  (Nr.43) apylinkė  
Arvydas BANIULIS,"0,44%",2,"0,42%",0,Savičiūnų  (Nr.43) apylinkė  
Arvydas VALIUKEVIČIUS,"1,31%",5,"1,26%",1,Savičiūnų  (Nr.43) apylinkė  
Valdemar TOMAŠEVSKI,"90,15%",168,"89,49%",79,Senasalio  (Nr.42) apylinkė  
Alina GOREVAJA,"1,09%",1,"1,09%",2,Senasalio  (Nr.42) apylinkė  
Leonarda STANČIKIENĖ,"0,73%",1,"0,72%",1,Senasalio  (Nr.42) apylinkė  
Solveiga MAKARENKIENĖ,"0,36%",1,"0,36%",0,Senasalio  (Nr.42) apylinkė  
Ana ORNOVSKA,"1,09%",3,"1,09%",0,Senasalio  (Nr.42) apylinkė  
Jaroslav KOZLOVSKI,"0,36%",1,"0,36%",0,Senasalio  (Nr.42) apylinkė  
Jonas CIMBOLAITIS,"3,65%",10,"3,62%",0,Senasalio  (Nr.42) apylinkė  
Algis GRIDZIUŠKA,"0,73%",2,"0,72%",0,Senasalio  (Nr.42) apylinkė  
Arvydas BANIULIS,"1,09%",3,"1,09%",0,Senasalio  (Nr.42) apylinkė  
Arvydas VALIUKEVIČIUS,"0,73%",2,"0,72%",0,Senasalio  (Nr.42) apylinkė  
Valdemar TOMAŠEVSKI,"82,34%",593,"76,85%",237,Rukainių  (Nr.41) apylinkė  
Alina GOREVAJA,"4,66%",39,"4,35%",8,Rukainių  (Nr.41) apylinkė  
Leonarda STANČIKIENĖ,"2,28%",19,"2,13%",4,Rukainių  (Nr.41) apylinkė  
Solveiga MAKARENKIENĖ,"4,07%",36,"3,80%",5,Rukainių  (Nr.41) apylinkė  
Ana ORNOVSKA,"0,69%",6,"0,65%",1,Rukainių  (Nr.41) apylinkė  
Jaroslav KOZLOVSKI,"1,79%",14,"1,67%",4,Rukainių  (Nr.41) apylinkė  
Jonas CIMBOLAITIS,"1,19%",12,"1,11%",0,Rukainių  (Nr.41) apylinkė  
Algis GRIDZIUŠKA,"1,39%",11,"1,30%",3,Rukainių  (Nr.41) apylinkė  
Arvydas BANIULIS,"1,09%",7,"1,02%",4,Rukainių  (Nr.41) apylinkė  
Arvydas VALIUKEVIČIUS,"0,50%",4,"0,46%",1,Rukainių  (Nr.41) apylinkė  
Valdemar TOMAŠEVSKI,"74,47%",62,"56,00%",8,Šarkaičių  (Nr.36) apylinkė  
Alina GOREVAJA,"5,32%",5,"4,00%",0,Šarkaičių  (Nr.36) apylinkė  
Leonarda STANČIKIENĖ,"6,38%",6,"4,80%",0,Šarkaičių  (Nr.36) apylinkė  
Solveiga MAKARENKIENĖ,"1,06%",0,"0,80%",1,Šarkaičių  (Nr.36) apylinkė  
Ana ORNOVSKA,"3,19%",2,"2,40%",1,Šarkaičių  (Nr.36) apylinkė  
Jaroslav KOZLOVSKI,"3,19%",0,"2,40%",3,Šarkaičių  (Nr.36) apylinkė  
Jonas CIMBOLAITIS,"1,06%",1,"0,80%",0,Šarkaičių  (Nr.36) apylinkė  
Algis GRIDZIUŠKA,"2,13%",0,"1,60%",2,Šarkaičių  (Nr.36) apylinkė  
Arvydas BANIULIS,"2,13%",0,"1,60%",2,Šarkaičių  (Nr.36) apylinkė  
Arvydas VALIUKEVIČIUS,"1,06%",0,"0,80%",1,Šarkaičių  (Nr.36) apylinkė  
Valdemar TOMAŠEVSKI,"66,30%",77,"61,86%",43,Baušių  (Nr.34) apylinkė  
Alina GOREVAJA,"8,29%",11,"7,73%",4,Baušių  (Nr.34) apylinkė  
Leonarda STANČIKIENĖ,"7,18%",13,"6,70%",0,Baušių  (Nr.34) apylinkė  
Solveiga MAKARENKIENĖ,"1,66%",2,"1,55%",1,Baušių  (Nr.34) apylinkė  
Ana ORNOVSKA,"12,71%",18,"11,86%",5,Baušių  (Nr.34) apylinkė  
Jaroslav KOZLOVSKI,"2,21%",4,"2,06%",0,Baušių  (Nr.34) apylinkė  
Jonas CIMBOLAITIS,"0,55%",1,"0,52%",0,Baušių  (Nr.34) apylinkė  
Algis GRIDZIUŠKA,"1,10%",2,"1,03%",0,Baušių  (Nr.34) apylinkė  
Arvydas BANIULIS,"0,00%",0,"0,00%",0,Baušių  (Nr.34) apylinkė  
Arvydas VALIUKEVIČIUS,"0,00%",0,"0,00%",0,Baušių  (Nr.34) apylinkė  
Valdemar TOMAŠEVSKI,"69,16%",94,"62,98%",54,Milkūnų  (Nr.33) apylinkė  
Alina GOREVAJA,"7,01%",11,"6,38%",4,Milkūnų  (Nr.33) apylinkė  
Leonarda STANČIKIENĖ,"4,67%",5,"4,26%",5,Milkūnų  (Nr.33) apylinkė  
Solveiga MAKARENKIENĖ,"2,80%",3,"2,55%",3,Milkūnų  (Nr.33) apylinkė  
Ana ORNOVSKA,"2,34%",3,"2,13%",2,Milkūnų  (Nr.33) apylinkė  
Jaroslav KOZLOVSKI,"4,67%",6,"4,26%",4,Milkūnų  (Nr.33) apylinkė  
Jonas CIMBOLAITIS,"1,87%",2,"1,70%",2,Milkūnų  (Nr.33) apylinkė  
Algis GRIDZIUŠKA,"1,87%",3,"1,70%",1,Milkūnų  (Nr.33) apylinkė  
Arvydas BANIULIS,"4,67%",5,"4,26%",5,Milkūnų  (Nr.33) apylinkė  
Arvydas VALIUKEVIČIUS,"0,93%",0,"0,85%",2,Milkūnų  (Nr.33) apylinkė  
Valdemar TOMAŠEVSKI,"54,24%",45,"50,39%",19,Jurgelionių  (Nr.32) apylinkė  
Alina GOREVAJA,"14,41%",16,"13,39%",1,Jurgelionių  (Nr.32) apylinkė  
Leonarda STANČIKIENĖ,"13,56%",12,"12,60%",4,Jurgelionių  (Nr.32) apylinkė  
Solveiga MAKARENKIENĖ,"2,54%",1,"2,36%",2,Jurgelionių  (Nr.32) apylinkė  
