kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
VILIJA    FILIPOVIČIENĖ,17529.00,84260.0,8303837.0,70000.0,17447.0,1061200.0,116857.63
Viktorija    BALLACK,0.00,257235.0,162349.0,0.0,0.0,0.0,0.00
STANISLAV    TARASEVIČ,565.00,19026.0,98903.0,0.0,15000.0,0.0,11938.22
JONAS    SADOVSKIS,0.00,0.0,193214.0,39200.0,65000.0,0.0,1551.42
ALEKSANDER    POPLAVSKI,8.00,0.0,69000.0,0.0,0.0,0.0,8692.71
JAROSLAV    NARKEVIČ,13880.00,0.0,100000.0,0.0,366624.0,0.0,99824.35
VIRGILIJUS PETRAS    MATULA,0.00,0.0,200025.0,0.0,0.0,0.0,0.00
JONAS    KIETAVIČIUS,6530.00,0.0,240000.0,0.0,35000.0,0.0,45336.25
LAURYNAS    KASČIŪNAS,11020.00,354401.0,380460.0,0.0,48221.0,0.0,85385.46
ALA    DEKAN,3235.00,0.0,8300.0,0.0,0.0,0.0,24771.24
MINGAILĖ    BINKAUSKAITĖ,190.00,0.0,80500.0,0.0,0.0,0.0,9307.57
VYTAUTAS    BAKASĖNAS,10752.00,0.0,25100.0,0.0,5666.0,0.0,74180.63
VIDAS    URBONAVIČIUS,20172.00,355000.0,362130.0,0.0,60394.0,0.0,144227.45
ILONA    OGURCOVA,3705.00,0.0,1150000.0,0.0,10000.0,17000.0,28382.77
ALBINAS    MORKŪNAS,3018.00,0.0,0.0,0.0,26700.0,0.0,23065.65
EGLĖ    MIRONČIKIENĖ,0.00,0.0,0.0,0.0,7500.0,0.0,2400.00
DANGUTĖ    MIKUTIENĖ,13506.00,409505.0,875450.0,0.0,192900.0,0.0,124164.40
JONAS    LIESYS,12662.00,0.0,23488.0,0.0,98942.0,0.0,86410.24
KAZYS VYTAUTAS    LAURUŠEVIČIUS,4223.00,0.0,100000.0,0.0,0.0,0.0,29758.46
ASTA    KANDRATAVIČIENĖ,11712.00,0.0,10000.0,0.0,39050.0,0.0,86003.07
JAROSLAV    KAMINSKI,8315.00,27000.0,354000.0,0.0,30000.0,0.0,58432.32
EDIKAS    JAGELAVIČIUS,0.00,0.0,5500.0,0.0,0.0,0.0,36110.99
GIEDRĖ    GEČAITĖ,0.00,0.0,0.0,0.0,0.0,0.0,0.00
DANAS    DAMBRAUSKAS,0.00,0.0,111573.0,0.0,50000.0,10000.0,7113.45
RITA    BALTADUONYTĖ-LEONIENĖ,4849.00,0.0,100000.0,0.0,0.0,0.0,34740.37
ZOFIJA    ABECIŪNIENĖ,0.00,0.0,295000.0,0.0,15000.0,0.0,3876.50
SKIRMANTAS    TUMELIS,8464.00,0.0,5000.0,0.0,0.0,0.0,61828.82
STANISLOVAS    TOMAS,0.00,0.0,0.0,0.0,300000.0,0.0,0.00
TERESA    SOLOVJOVA,6122.00,0.0,382820.0,0.0,1636915.0,16162.0,46366.30
LAURA    NIKIFOROVA,2321.00,155000.0,233500.0,0.0,0.0,0.0,23732.95
PETRAS    NAUSĖDA,3790.00,214745.0,252000.0,0.0,36400.0,0.0,31432.90
MARIJONAS    MITKUS,2055.00,0.0,261587.0,0.0,10000.0,0.0,27870.35
LINAS    LABAČIAUSKAS,2536.00,0.0,270000.0,0.0,10000.0,0.0,20386.92
RAMŪNAS    KARTENIS,1374.00,0.0,228367.0,0.0,50920.0,0.0,17077.29
ANDRIUS    JANKAUSKAS,2726.00,0.0,21000.0,0.0,15000.0,5500.0,23743.52
GIEDRIUS    GRIGALIUS,9313.00,1180200.0,320676.0,0.0,78000.0,4598.0,70170.79
VIOLETA    GEMBICKA,3636.00,0.0,263500.0,0.0,80000.0,0.0,29930.56
AIDAS    ČĖSNA,7918.00,0.0,420700.0,0.0,1000.0,0.0,54585.81
KRISTINA    BRAZAUSKIENĖ,0.00,0.0,412330.0,0.0,279859.0,2383497.0,0.00
BRONIUS    BRADAUSKAS,574673.00,0.0,7779391.0,850000.0,4534727.0,11752432.0,2970177.75
ALGIMANTAS    ADOMAITIS,4587.00,0.0,98389.0,0.0,64232.0,0.0,31783.78
VYTAUTAS    VENCKŪNAS,7244.00,0.0,21000.0,0.0,238092.0,1925.0,48255.94
SIGITAS    ŠIUPŠINSKAS,12351.00,14042.0,362900.0,0.0,25076.0,0.0,88174.70
VALENTIN    STEPANOV,0.00,0.0,193930.0,0.0,0.0,0.0,0.00
RIMANTAS    SINKEVIČIUS,13042.00,0.0,446278.0,0.0,35000.0,0.0,88912.80
RITA    RENKAUSKIENĖ,2544.00,52000.0,86500.0,0.0,10000.0,0.0,23174.87
JOLITA    PELECKIENĖ,8389.00,0.0,265370.0,0.0,44600.0,10000.0,57293.75
REMIGIJUS    OSAUSKAS,6318.00,50377.0,146000.0,0.0,9000.0,0.0,42721.51
ROLANDAS    MERKELIS,5141.00,59497.0,93000.0,0.0,0.0,0.0,34859.27
SIGITAS    MARTINAVIČIUS,3731.00,276561.0,320000.0,0.0,251000.0,0.0,35437.12
BRONISLOVAS    LIUTKUS,8540.00,0.0,258220.0,0.0,60431.0,15484.0,56930.51
RITA    LATVIŪNIENĖ,10934.00,86000.0,480000.0,50000.0,50000.0,8995.0,227070.14
VLADIMIRAS    KORNIJEVSKIS,170.00,0.0,55600.0,0.0,6000.0,0.0,27912.00
RASA    KISELIOVA,0.00,0.0,303220.0,0.0,0.0,0.0,0.00
SAULIUS    JAKIMAVIČIUS,3389.00,0.0,108900.0,0.0,15000.0,10000.0,44277.45
ANTANAS    AUGŪNAS,4606.00,4000.0,49000.0,0.0,15000.0,0.0,31887.13
DANUTĖ    UŽKURĖLYTĖ,4310.00,0.0,110935.0,0.0,0.0,0.0,30678.34
JAN    TOMAŠEVIČ,6561.00,288000.0,674000.0,0.0,7000.0,0.0,46079.59
LINA    SUKACKIENĖ,2003.00,22000.0,244700.0,0.0,5000.0,0.0,30854.92
LORETA    STEPONAITYTĖ,1993.00,0.0,3984.0,0.0,15000.0,0.0,17373.26
REMIGIJA    KRUPODRA,0.00,56000.0,52850.0,0.0,0.0,0.0,916.65
MINDAUGAS    KLUONIS,0.00,608.0,160000.0,0.0,51123.0,0.0,160000.00
VAIDA    KATINAITĖ,2171.00,0.0,7000.0,0.0,476.0,0.0,18359.25
SVAJŪNAS    JUODKA,46222.00,915186.0,915186.0,0.0,14894.0,0.0,366728.53
LORETA    GRAUŽINIENĖ,15504.00,21640.0,124000.0,0.0,11880.0,0.0,103958.40
JANINA    GALIAUSKIENĖ,11275.00,30000.0,84744.0,0.0,0.0,0.0,75735.43
ARŪNAS    EIGIRDAS,7664.00,56258.0,433360.0,0.0,0.0,4247.0,51740.45
ARŪNAS    DUDĖNAS,5048.00,358180.0,276154.0,0.0,20000.0,20000.0,46576.98
JUOZAS    DINGELIS,42.00,0.0,62665.0,0.0,108888.0,0.0,878.00
JUOZAS    VALIUŠAITIS,969.00,0.0,61000.0,0.0,0.0,10000.0,6462.89
VIRGINIJUS    VALENTINAVIČIUS,12879.00,0.0,657908.0,0.0,15000.0,175000.0,86412.03
ČESLOVAS    ŠLĖGAITIS,225.00,120000.0,270256.0,0.0,4073.0,0.0,2701.00
JONAS    REKEŠIUS,0.00,0.0,45500.0,0.0,12000.0,0.0,1374.15
DONATAS    RAMANAUSKAS,1177.00,0.0,43520.0,0.0,92000.0,0.0,7847.00
BRONIUS    PAUŽA,14847.00,0.0,217492.0,0.0,120571.0,0.0,98978.40
ANDRIUS    MAZURONIS,11687.00,130166.0,533000.0,0.0,80000.0,0.0,83202.69
KRISTINA    MAŠIRKIENĖ,2782.00,0.0,131000.0,0.0,15000.0,0.0,54125.07
SAULIUS    LAPĖNAS,8707.00,0.0,395139.0,0.0,29433.0,1180000.0,67821.36
ROBERTAS RAIMUNDAS    IŠGANAITIS,6577.00,0.0,284667.0,0.0,2000.0,0.0,56964.60
MINDAUGAS    ZDANEVIČIUS,1337.00,0.0,44100.0,0.0,25000.0,0.0,16222.67
VYTAUTAS    ŠUNSKIS,859.00,0.0,78523.0,0.0,95000.0,0.0,11571.43
JONAS    ŠČEPONIS,5528.00,0.0,7400.0,4204.0,198000.0,480400.0,37013.53
RAIMONDA    SUTKAITIENĖ,960.00,470000.0,709000.0,0.0,0.0,0.0,17580.48
VINCAS    PLIKAITIS,1057.00,754.0,111202.0,0.0,76497.0,0.0,14630.00
ALGIMANTA    PABEDINSKIENĖ,9655.00,48000.0,291000.0,0.0,47000.0,0.0,66514.45
JUOZAS    OLEKAS,13269.00,0.0,516750.0,0.0,41732.0,6000.0,99843.21
ARTURAS    NEMURA,0.00,0.0,260000.0,0.0,20000.0,0.0,0.00
JUSTĖ    MILUŠAUSKIENĖ,0.00,0.0,331000.0,0.0,60362.0,0.0,4800.00
BENJAMINAS    MAŠALAITIS,0.00,0.0,306000.0,0.0,0.0,9000.0,488.85
MINDAUGAS    KUKLIERIUS,11435.00,338374.0,603714.0,0.0,43300.0,0.0,91396.37
ALVYDAS    DIRSĖ,10088.00,0.0,500.0,0.0,8000.0,696.0,67252.81
ADOLFINA    BLAUZDŽIŪNIENĖ,3594.00,0.0,148000.0,0.0,0.0,90.0,41942.84
AUDRA    UŽUPIENĖ,352.00,0.0,2000.0,0.0,0.0,0.0,1795.10
EDGARAS    STANIŠAUSKAS,2315.00,0.0,80103.0,0.0,0.0,0.0,20100.70
DONATAS    STAKIŠAITIS,11758.00,0.0,94399.0,0.0,13143.0,0.0,78985.87
KĘSTUTIS    SMIRNOVAS,5891.00,347468.0,196040.0,0.0,150490.0,0.0,44105.10
RIMA    RAUKTIENĖ,9419.00,0.0,32998.0,0.0,44481.0,0.0,65391.53
VYTAS    LIUDŽIUS,2277.00,0.0,0.0,0.0,20000.0,10000.0,20952.77
GINTAUTAS    KNIUKŠTA,7770.00,32515.0,220400.0,0.0,0.0,0.0,51798.19
ALGIRDAS    KLIMAITIS,10094.00,13249.0,182514.0,0.0,40344.0,300.0,77287.69
LAIMUTĖ    DĖDINIENĖ,2602.00,0.0,216000.0,0.0,41528.0,0.0,68432.52
MINDAUGAS    BASTYS,18106.00,175243.0,673245.0,0.0,88159.0,14530.0,125352.72
JUSTINAS    URBANAVIČIUS,12285.00,0.0,7000.0,0.0,70000.0,0.0,83202.69
RITA    ŠEIGIENĖ,5851.00,0.0,48000.0,0.0,90000.0,17000.0,84620.14
DALYTĖ    RUDZEVIČIENĖ,9269.00,0.0,88300.0,0.0,40000.0,0.0,61794.87
INGA    RAKAUSKIENĖ,729.00,86797.0,110000.0,0.0,0.0,0.0,13202.93
VIKTORAS    PRANCKIETIS,14701.00,0.0,830048.0,0.0,87353.0,0.0,131310.63
RAMINTA    POPOVIENĖ,10135.00,0.0,34016.0,0.0,32360.0,0.0,67566.63
LEONIJA    PETRAUSKAITĖ,6096.00,0.0,200600.0,0.0,20000.0,0.0,40642.18
GEDIMINAS    NAUČIUS,0.00,0.0,53000.0,75000.0,120000.0,80000.0,44306.00
KRISTINA    LEONAVIČIENĖ,5740.00,0.0,187000.0,0.0,5500.0,403.0,38864.27
BEATA    LABUTYTĖ,1984.00,0.0,140100.0,0.0,5000.0,0.0,117420.96
LIVETA    KAZLAUSKIENĖ,995.00,0.0,417000.0,0.0,6500.0,0.0,6633.14
GRAŽVYDAS    GULBINSKAS,1432.00,0.0,896321.0,0.0,0.0,3500.0,14255.90
AUDRONĖ    GIGIENĖ,0.00,0.0,64000.0,0.0,0.0,0.0,2265.10
VYDAS    GEDVILAS,11349.00,720666.0,1465000.0,0.0,185000.0,0.0,100878.00
GINTAUTAS    DAČIOLA,0.00,0.0,0.0,0.0,0.0,0.0,4800.00
EGLĖ    URBONIENĖ,5715.00,0.0,129600.0,0.0,11727.0,0.0,47479.33
ARŪNAS    STAŠAITIS,5821.00,0.0,419000.0,0.0,27000.0,7200.0,44217.78
AUDRONĖ    SKUČIENĖ,0.00,0.0,206000.0,0.0,10500.0,0.0,29960.00
ANTANAS    NESTECKIS,9819.00,0.0,195610.0,397000.0,25122.0,71336.0,68068.22
KAZIMIERAS    NAUSĖDA,0.00,149839.0,491000.0,0.0,20000.0,0.0,99140.29
ANTANAS    MAKAREVIČIUS,4257.00,868142.0,983508.0,0.0,170000.0,40000.0,37835.85
DARIUS    KRUKONIS,3907.00,0.0,570350.0,0.0,54299.0,0.0,30507.62
GINTAUTAS    KRILAVIČIUS,4557.00,0.0,3000.0,0.0,0.0,0.0,31952.36
ANŽELIKA    JURAŠŪNIENĖ,2435.00,0.0,101225.0,0.0,12450.0,0.0,29986.78
DONATAS    JANKAUSKAS,18332.00,26547.0,67400.0,0.0,30623.0,0.0,132012.53
DAINORA    GRUZDIENĖ,8848.00,0.0,185000.0,0.0,56373.0,0.0,60787.62
VALENTINAS    GYLYS,1938.00,0.0,11000.0,0.0,0.0,60000.0,17566.94
EGIDIJUS    VISOCKAS,5126.00,0.0,125098.0,0.0,21000.0,0.0,38590.44
ALVYDAS    VAICEKAUSKAS,7557.00,546943.0,1094028.0,0.0,39500.0,0.0,229412.97
INGA    STEPUKONIENĖ,7441.00,0.0,2700.0,0.0,16259.0,0.0,51409.45
GINTAUTAS    SODAITIS,1901.00,0.0,5500.0,0.0,70000.0,25000.0,19793.26
ANDRIUS    PALIONIS,17204.00,25278.0,670300.0,0.0,62000.0,78000.0,116490.35
SAULIUS    NARŪNAS,9050.00,14460.0,48825.0,0.0,25367.0,10600.0,60333.81
ALGIS    MARCINKEVIČIUS,7777.00,0.0,81665.0,0.0,72650.0,0.0,59321.46
VYTAUTAS    KAMBLEVIČIUS,13004.00,0.0,733289.0,207000.0,330000.0,0.0,90074.75
RASA    JUOCEVIČIENĖ,4973.00,11371.0,412533.0,0.0,30000.0,3900.0,37715.68
SERGEJUS    JOVAIŠA,3691.00,0.0,82480.0,0.0,36423.0,0.0,28304.27
LAIMUTĖ    JANČIUKIENĖ,3230.00,0.0,176852.0,0.0,55000.0,0.0,28271.19
MARYTĖ    GUDONYTĖ,3279.00,33689.0,125468.0,0.0,15883.0,0.0,25351.13
JURGITA    ŽALIABARŠTYTĖ,0.00,0.0,1000.0,0.0,0.0,0.0,5573.05
ŽYDRŪNĖ    SURVILIENĖ,0.00,20000.0,1500.0,0.0,0.0,0.0,0.00
EVELINA    PALTANAVIČIŪTĖ-MATJOŠAITIENĖ,0.00,0.0,28000.0,0.0,0.0,0.0,0.00
ALGIMANTAS    LIUBINSKAS,7331.00,0.0,1732000.0,930001.0,393941.0,23516.0,52473.82
GEDIMINAS    JEGELEVIČIUS,9378.00,0.0,517400.0,0.0,90000.0,140200.0,64635.46
ONA    GIEDRIENĖ,594.00,0.0,48143.0,20500.0,129800.0,0.0,9600.00
JUOZAS    DAUTARTAS,8767.00,0.0,108006.0,0.0,22000.0,0.0,59224.74
ALGIRDAS    BUTKEVIČIUS,12053.00,148451.0,52000.0,0.0,530000.0,0.0,826222.63
ALGIRDAS    BAGUŠINSKAS,6216.00,0.0,129226.0,0.0,23000.0,0.0,50167.36
ALGIMANTAS    ARNASTAUSKAS,5862.00,0.0,4000.0,0.0,0.0,0.0,41515.80
KĘSTUTIS    AKRAMAS,1468.00,0.0,62535.0,0.0,120000.0,5000.0,11830.60
SNAIGĖ    VALENTUKEVIČIENĖ,11126.00,0.0,3330000.0,0.0,510000.0,0.0,79080.24
BIRUTĖ    VAIKŠNORAITĖ,0.00,45000.0,491000.0,94000.0,124000.0,5600.0,0.00
RITA    RIMŠIENĖ,0.00,0.0,285000.0,0.0,6000.0,0.0,4795.54
ALGIMANTAS    PAUKŠTAITIS,2736.00,0.0,172200.0,0.0,32000.0,15100.0,21497.27
ANTANAS    NEDZINSKAS,12301.00,0.0,89000.0,0.0,241485.0,0.0,94204.59
VYTAUTAS    MIKELIONIS,3432.00,71936.0,23752.0,0.0,8655.0,0.0,26865.18
RAIMUNDAS    MARKAUSKAS,5257.00,0.0,25000.0,0.0,150000.0,0.0,37507.17
PETRAS    MALDONIS,37.00,0.0,148535.0,0.0,150000.0,0.0,13334.44
GEDIMINAS    KRASAUSKAS,8549.00,0.0,80212.0,0.0,24001.0,0.0,59725.57
ALMANTAS    JAKIMAVIČIUS,7961.00,0.0,16288.0,0.0,51203.0,0.0,57651.97
GINTARAS    GRIGARAVIČIUS,0.00,0.0,66846.0,0.0,0.0,0.0,7764.12
ALGIRDAS    ČERNIAUSKAS,7041.00,0.0,309771.0,0.0,10000.0,0.0,51317.90
VYDAS    BARAVYKAS,5669.00,0.0,720859.0,0.0,92688.0,0.0,37793.96
ALVYDAS    VALEIŠA,6714.00,0.0,167093.0,0.0,9000.0,0.0,52760.98
GINTARAS    SALDŽIŪNAS,4129.00,0.0,0.0,45535.0,416419.0,10000.0,29240.71
RIMANTAS    RADŽIUS,7600.00,26401.0,293000.0,0.0,125382.0,0.0,73247.80
RIMA    PAULAUSKAITĖ,0.00,0.0,85000.0,0.0,0.0,0.0,6357.16
ZDZISLAV    PALEVIČ,11080.00,11000.0,192450.0,0.0,124000.0,0.0,75426.30
VYTAUTAS    KURPUVESAS,14294.00,232744.0,223000.0,0.0,11080.0,0.0,103739.85
JŪRATĖ    KULBERKIENĖ,12206.00,70000.0,118000.0,0.0,28000.0,0.0,86959.76
LIUTAURAS    KAZLAVICKAS,8115.00,153000.0,247875.0,0.0,12743.0,0.0,54101.42
ALGIS    KAŠĖTA,14875.00,196810.0,161143.0,0.0,45700.0,0.0,107476.92
MINDAUGAS    KARLONAS,0.00,0.0,22313.0,132532.0,83907.0,12500.0,509.09
BIRUTĖ    KAKTYTĖ,488.00,0.0,60000.0,0.0,0.0,0.0,9769.00
MARIUS    JUŠKEVIČIUS,5373.00,71387.0,133910.0,20000.0,70000.0,10000.0,36148.09
GEDIMINAS    JAKAVONIS,1480.00,0.0,339760.0,0.0,200000.0,17600.0,14522.05
GEDIMINAS    ALEKSONIS,6875.00,20000.0,85105.0,0.0,112000.0,0.0,50412.01
SAULIUS    VAIKŠNORAS,2818.00,0.0,200000.0,0.0,0.0,0.0,23452.90
VAIDAS    ŠALAŠEVIČIUS,16781.00,732564.0,750000.0,42100.0,41799.0,10000.0,113816.14
STASYS    ŠADUIKIS,0.00,0.0,213400.0,0.0,0.0,0.0,47311.50
BENIUS    RŪTELIONIS,4814.00,0.0,73337.0,0.0,10792.0,0.0,33047.20
ANGELĖ    RUKŠTELIENĖ,6542.00,0.0,172000.0,0.0,85000.0,0.0,44215.85
LAURYNAS    OKOCKIS,766.00,0.0,3000.0,0.0,26000.0,31000.0,11976.32
DONATAS    MIZARAS,4601.00,66293.0,475000.0,0.0,112000.0,0.0,31862.65
KRISTINA    MIŠKINIENĖ,8364.00,0.0,21450.0,0.0,62553.0,0.0,57904.88
VALDAS PETRAS    MIKELIONIS,6377.00,8500.0,69231.0,0.0,32000.0,0.0,51872.23
ZITA    JAKUBYNIENĖ,0.00,0.0,0.0,0.0,20000.0,0.0,4972.89
GYTIS    JACKŪNAS,10802.00,66051.0,90000.0,0.0,0.0,0.0,79916.86
ASTA    GALBUOGIENĖ,3242.00,0.0,68000.0,0.0,0.0,12400.0,26478.51
VIKTORIJA    DAILYDIENĖ,663.00,0.0,3400.0,0.0,0.0,0.0,12377.84
ARŪNAS    BACEVIČIUS,4471.00,683.0,58250.0,0.0,15835.0,15703.0,41470.16
GYTIS    ANDRULIONIS,15326.00,0.0,7500.0,0.0,220645.0,0.0,102770.50
IRINA    ROZOVA,14294.00,25000.0,85000.0,0.0,30000.0,0.0,95293.17
GEDIMINAS    PELĖDŽIUS,0.00,0.0,0.0,0.0,0.0,0.0,1727.27
DAINIUS PETRAS    PAUKŠTĖ,6588.00,0.0,48000.0,0.0,29834.0,0.0,43919.93
JUOZAS    MURAUSKAS,2518.00,0.0,135510.0,0.0,80000.0,0.0,20288.73
MIROSLAVAS    MONKEVIČIUS,6016.00,361290.0,248923.0,0.0,65447.0,25602.0,78233.90
ARMINAS    LYDEKA,16108.00,0.0,1554515.0,32000.0,385919.0,6500.0,107984.25
FAUSTAS    LATĖNAS,20031.00,80384.0,382434.0,0.0,123844.0,0.0,143426.38
ROBERTAS    KASPEROVIČIUS,0.00,0.0,142000.0,0.0,35000.0,10000.0,0.00
JANAS    JUREVIČIUS,147.00,150000.0,6000.0,107000.0,90000.0,0.0,7104.59
JOLANTA    GAUDUTIENĖ,3199.00,33265.0,149743.0,400000.0,56500.0,1302.0,86316.61
IRENA    DEGUTIENĖ,19929.00,0.0,547262.0,0.0,6303.0,72966.0,132859.38
LIUCIJA    BORUSEVIČIENĖ,0.00,0.0,428700.0,0.0,9632.0,0.0,0.00
VYTAUTAS    BOGUŠIS,14236.00,0.0,175444.0,0.0,412335.0,0.0,104375.93
VITALIJUS    BALKUS,835.00,0.0,0.0,0.0,0.0,5500.0,10937.66
RITA    TAMAŠUNIENĖ,8603.00,0.0,130782.0,0.0,66429.0,0.0,57956.44
DALIA KOTRYNA    ŽALĖNAITĖ,1845.00,0.0,243401.0,0.0,0.0,0.0,12299.00
VACLAV    VILKOIT,0.00,0.0,40605.0,0.0,26084.0,99000.0,3243.47
ROKAS    ŽILINSKAS,12290.00,396962.0,930000.0,35000.0,30000.0,10000.0,86694.55
VLADAS    VITAS,5570.00,0.0,396377.0,0.0,44000.0,0.0,165073.52
ARVYDAS    ŠALTENIS,11623.00,20050.0,331000.0,0.0,0.0,0.0,102883.60
EDITA    STUNDŽIAITĖ,7489.00,47669.0,332000.0,0.0,31704.0,0.0,50665.18
ARVYDAS    RAKAUSKAS,0.00,0.0,149200.0,0.0,0.0,0.0,26500.00
EDMUNDAS    PUPINIS,15282.00,0.0,84350.0,0.0,22897.0,0.0,109527.60
MILDA    PETRAUSKIENĖ,15046.00,0.0,189507.0,0.0,38400.0,0.0,100309.79
VYTAUTAS    PEČIŪRA,0.00,6800.0,94700.0,0.0,11693.0,0.0,128091.33
ALGIMANTAS    MATULEVIČIUS,3116.00,796000.0,700230.0,50000.0,42200.0,37750.0,23610.52
MARIJUS    KAUKĖNAS,8206.00,0.0,56000.0,0.0,42000.0,0.0,54705.53
OSVALDAS    KATINAS,446.00,0.0,249897.0,0.0,147050.0,10000.0,9600.00
EGIDIJUS    GOVEDAS,8398.00,195781.0,366550.0,0.0,127772.0,15000.0,62498.79
VIDUTIS    BAREIKIS,4560.00,0.0,402000.0,0.0,0.0,0.0,31633.09
ROLANDAS    URNIEŽIUS,0.00,15000.0,0.0,0.0,0.0,0.0,2142.00
ROMUALDAS    TRIMONIS,1368.00,11195.0,24671.0,0.0,14000.0,0.0,17119.24
DALIA    ŠTRAUPAITĖ,6880.00,31557.0,88025.0,0.0,38000.0,0.0,45868.11
TATJANA    ŠČIURINA,366.00,0.0,86300.0,0.0,0.0,0.0,5094.13
JURIJUS    SUBOTINAS,1265.00,0.0,0.0,0.0,0.0,0.0,13325.72
GENRICH    SARBAJ,1504.00,20000.0,0.0,0.0,0.0,10000.0,14653.38
RIMVYDAS    PODOLSKIS,1387.00,0.0,25000.0,0.0,144113.0,0.0,18000.00
GINTARIS    PETRĖNAS,302.00,86924.0,366424.0,0.0,62852.0,0.0,124889.44
ALINA    LITVINOVIČ,0.00,25000.0,1023358.0,0.0,20000.0,0.0,54100.00
RIMANTAS    KUMPIS,8139.00,97904.0,92595.0,20000.0,31020.0,17660.0,58865.17
NIKOLAJUS    GUSEVAS,6072.00,0.0,17300.0,0.0,0.0,0.0,43458.90
ALGIMANTAS    DUMBRAVA,13827.00,0.0,264132.0,0.0,30000.0,0.0,93945.60
IRINA    BUDAJEVA,4155.00,264500.0,72750.0,0.0,13000.0,10203.0,47985.71
TOMAS    BARANOVAS,10361.00,0.0,96000.0,0.0,39043.0,1.0,73273.17
KĘSTUTIS    TRAPIKAS,1619.00,321977.0,774961.0,0.0,0.0,2100.0,18587.48
ALGIRDAS    RADUŠYS,12467.00,159871.0,137000.0,0.0,140000.0,0.0,90791.46
MARIJONA    LUKAŠEVIČIENĖ,1628.00,0.0,77000.0,0.0,5000.0,0.0,79107.97
MARIUS    KLIPČIUS,0.00,0.0,0.0,0.0,0.0,0.0,3271.47
OLEG    KAUŠINIS,206.00,0.0,218000.0,0.0,86250.0,0.0,63460.54
LETA    KALINAUSKAITĖ,6354.00,5131.0,105000.0,0.0,0.0,1651.0,44239.30
JURIJ    EKHARDT,188.00,0.0,227500.0,0.0,0.0,0.0,4367.00
JONAS    DIENINIS,16109.00,0.0,838000.0,0.0,211355.0,15000.0,122284.89
SANDRA    ČESNULEVIČIŪTĖ,0.00,0.0,7500.0,0.0,0.0,0.0,0.00
ALGIRDAS    ČEPONIS,4619.00,7500.0,270000.0,0.0,5000.0,0.0,32462.51
VILIUS    CIBULSKAS,3906.00,1163.0,90500.0,0.0,13013.0,0.0,27998.04
ŠARŪNAS    BIRUTIS,6880.00,0.0,1178294.0,3325000.0,740000.0,522059.0,130637.09
PAULIUS    ZABIELSKAS,4127.00,115000.0,258000.0,170000.0,26400.0,108732.0,30266.81
DANIELIUS    VALIAUGA,8799.00,8648.0,298000.0,169500.0,32000.0,501320.0,63694.46
JONAS    VAIŠKŪNAS,2657.00,0.0,416000.0,0.0,63836.0,0.0,26246.93
