nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
"5,13%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,173,896
"6,11%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,„Drąsos kelias“ politinė partija,154,1119
"5,81%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Partija Tvarka ir teisingumas,203,1007
"0,72%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,15,136
"6,09%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,175,1093
"2,68%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Liberalų ir centro sąjunga,127,432
"0,98%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Politinė partija „Sąjunga Taip“,19,186
"1,33%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Socialistinis liaudies Frontas,26,252
"1,19%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Krikščionių partija,84,164
"0,59%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",22,101
"0,58%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Partija „Jaunoji Lietuva“,14,107
"0,34%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Demokratinė darbo ir vienybės partija,21,49
"0,21%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Emigrantų partija,2,42
"0,15%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Respublikonų partija,8,23
"0,18%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos žmonių partija,6,32
"19,84%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Darbo partija,468,2904
"14,65%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos socialdemokratų partija,438,2052
"7,83%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,262,1068
"10,03%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,420,1285
"3,87%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,„Drąsos kelias“ politinė partija,102,555
"7,04%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Partija Tvarka ir teisingumas,182,1015
"22,84%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,861,3020
"1,03%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,30,145
"2,30%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Liberalų ir centro sąjunga,92,299
"0,62%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Politinė partija „Sąjunga Taip“,16,90
"0,78%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Socialistinis liaudies Frontas,23,109
"0,93%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Krikščionių partija,47,111
"1,41%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",56,183
"0,30%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Partija „Jaunoji Lietuva“,6,45
"0,28%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Demokratinė darbo ir vienybės partija,12,35
"0,19%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Emigrantų partija,3,29
"0,64%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Respublikonų partija,17,91
"0,21%",Varėnos - Eišiškių (Nr.70) rinkimų apygarda,Lietuvos žmonių partija,7,28
"27,79%",Dzūkijos (Nr.69) rinkimų apygarda,Darbo partija,627,4980
"18,83%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos socialdemokratų partija,454,3344
"18,66%",Dzūkijos (Nr.69) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,794,2971
"5,91%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,134,1058
"7,90%",Dzūkijos (Nr.69) rinkimų apygarda,„Drąsos kelias“ politinė partija,163,1430
"5,98%",Dzūkijos (Nr.69) rinkimų apygarda,Partija Tvarka ir teisingumas,154,1053
"0,14%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,6,22
"2,36%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,45,431
"3,10%",Dzūkijos (Nr.69) rinkimų apygarda,Liberalų ir centro sąjunga,55,570
"0,72%",Dzūkijos (Nr.69) rinkimų apygarda,Politinė partija „Sąjunga Taip“,16,130
"0,68%",Dzūkijos (Nr.69) rinkimų apygarda,Socialistinis liaudies Frontas,18,119
"1,13%",Dzūkijos (Nr.69) rinkimų apygarda,Krikščionių partija,52,176
"0,71%",Dzūkijos (Nr.69) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",22,122
"0,44%",Dzūkijos (Nr.69) rinkimų apygarda,Partija „Jaunoji Lietuva“,9,79
"0,29%",Dzūkijos (Nr.69) rinkimų apygarda,Demokratinė darbo ir vienybės partija,11,47
"0,27%",Dzūkijos (Nr.69) rinkimų apygarda,Emigrantų partija,2,52
"0,25%",Dzūkijos (Nr.69) rinkimų apygarda,Respublikonų partija,7,44
"0,31%",Dzūkijos (Nr.69) rinkimų apygarda,Lietuvos žmonių partija,5,57
"11,72%",Vilkaviškio (Nr.68) rinkimų apygarda,Darbo partija,310,1709
"52,78%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos socialdemokratų partija,1207,7883
"9,84%",Vilkaviškio (Nr.68) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,292,1403
"2,83%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,57,431
"7,55%",Vilkaviškio (Nr.68) rinkimų apygarda,„Drąsos kelias“ politinė partija,172,1129
"3,62%",Vilkaviškio (Nr.68) rinkimų apygarda,Partija Tvarka ir teisingumas,99,524
"0,10%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,3,14
"2,86%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,50,442
"0,44%",Vilkaviškio (Nr.68) rinkimų apygarda,Liberalų ir centro sąjunga,15,60
"0,51%",Vilkaviškio (Nr.68) rinkimų apygarda,Politinė partija „Sąjunga Taip“,9,79
"0,81%",Vilkaviškio (Nr.68) rinkimų apygarda,Socialistinis liaudies Frontas,11,129
"0,92%",Vilkaviškio (Nr.68) rinkimų apygarda,Krikščionių partija,39,119
"0,49%",Vilkaviškio (Nr.68) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",13,71
"0,43%",Vilkaviškio (Nr.68) rinkimų apygarda,Partija „Jaunoji Lietuva“,10,64
"0,29%",Vilkaviškio (Nr.68) rinkimų apygarda,Demokratinė darbo ir vienybės partija,5,45
"0,19%",Vilkaviškio (Nr.68) rinkimų apygarda,Emigrantų partija,2,30
"0,08%",Vilkaviškio (Nr.68) rinkimų apygarda,Respublikonų partija,2,11
"0,07%",Vilkaviškio (Nr.68) rinkimų apygarda,Lietuvos žmonių partija,4,8
"16,41%",Prienų - Birštono (Nr.67) rinkimų apygarda,Darbo partija,336,2293
"23,83%",Prienų - Birštono (Nr.67) rinkimų apygarda,Lietuvos socialdemokratų partija,679,3138
"11,55%",Prienų - Birštono (Nr.67) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,348,1503
"4,36%",Prienų - Birštono (Nr.67) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,92,606
"9,86%",Prienų - Birštono (Nr.67) rinkimų apygarda,„Drąsos kelias“ politinė partija,186,1394
"12,97%",Prienų - Birštono (Nr.67) rinkimų apygarda,Partija Tvarka ir teisingumas,411,1667
"0,13%",Prienų - Birštono (Nr.67) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,6,15
"4,36%",Prienų - Birštono (Nr.67) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,83,615
"2,50%",Prienų - Birštono (Nr.67) rinkimų apygarda,Liberalų ir centro sąjunga,52,348
"0,97%",Prienų - Birštono (Nr.67) rinkimų apygarda,Politinė partija „Sąjunga Taip“,29,126
"1,02%",Prienų - Birštono (Nr.67) rinkimų apygarda,Socialistinis liaudies Frontas,18,145
"2,10%",Prienų - Birštono (Nr.67) rinkimų apygarda,Krikščionių partija,80,256
"1,92%",Prienų - Birštono (Nr.67) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",19,288
"0,67%",Prienų - Birštono (Nr.67) rinkimų apygarda,Partija „Jaunoji Lietuva“,22,86
"0,37%",Prienų - Birštono (Nr.67) rinkimų apygarda,Demokratinė darbo ir vienybės partija,19,41
"0,26%",Prienų - Birštono (Nr.67) rinkimų apygarda,Emigrantų partija,4,38
"0,24%",Prienų - Birštono (Nr.67) rinkimų apygarda,Respublikonų partija,8,31
"0,26%",Prienų - Birštono (Nr.67) rinkimų apygarda,Lietuvos žmonių partija,14,27
"16,60%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Darbo partija,209,3705
"16,40%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos socialdemokratų partija,243,3625
"18,51%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,280,4086
"8,67%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,63,1982
"19,19%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,„Drąsos kelias“ politinė partija,196,4329
"4,25%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Partija Tvarka ir teisingumas,56,946
"0,08%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2,17
"3,72%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,35,842
"1,59%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Liberalų ir centro sąjunga,23,353
"1,51%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Politinė partija „Sąjunga Taip“,20,335
"0,58%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Socialistinis liaudies Frontas,4,133
"1,17%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Krikščionių partija,27,249
"0,85%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",9,192
"1,06%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Partija „Jaunoji Lietuva“,7,244
"0,31%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Demokratinė darbo ir vienybės partija,3,70
"0,39%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Emigrantų partija,3,88
"0,15%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Respublikonų partija,3,33
"0,38%",Kauno kaimiškoji (Nr.66) rinkimų apygarda,Lietuvos žmonių partija,3,87
"29,76%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Darbo partija,732,5509
"16,90%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos socialdemokratų partija,400,3145
"14,36%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,331,2680
"7,60%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,73,1520
"9,92%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,„Drąsos kelias“ politinė partija,104,1976
"3,70%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Partija Tvarka ir teisingumas,75,701
"0,32%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,14,53
"6,15%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,116,1173
"1,47%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Liberalų ir centro sąjunga,14,294
"0,96%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Politinė partija „Sąjunga Taip“,9,192
"0,56%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Socialistinis liaudies Frontas,12,105
"1,12%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Krikščionių partija,43,191
"0,62%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",13,117
"0,91%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Partija „Jaunoji Lietuva“,14,176
"0,35%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Demokratinė darbo ir vienybės partija,9,64
"0,40%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Emigrantų partija,8,75
"0,27%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Respublikonų partija,7,50
"0,32%",Kauno - Kėdainių (Nr.65) rinkimų apygarda,Lietuvos žmonių partija,7,61
"20,80%",Šakių (Nr.64) rinkimų apygarda,Darbo partija,509,2663
"22,98%",Šakių (Nr.64) rinkimų apygarda,Lietuvos socialdemokratų partija,634,2870
"14,98%",Šakių (Nr.64) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,501,1784
"3,46%",Šakių (Nr.64) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,73,455
"7,68%",Šakių (Nr.64) rinkimų apygarda,„Drąsos kelias“ politinė partija,183,989
"6,07%",Šakių (Nr.64) rinkimų apygarda,Partija Tvarka ir teisingumas,179,747
"0,06%",Šakių (Nr.64) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2,7
"12,01%",Šakių (Nr.64) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,287,1545
"2,83%",Šakių (Nr.64) rinkimų apygarda,Liberalų ir centro sąjunga,69,362
"0,68%",Šakių (Nr.64) rinkimų apygarda,Politinė partija „Sąjunga Taip“,12,92
"0,75%",Šakių (Nr.64) rinkimų apygarda,Socialistinis liaudies Frontas,18,97
"1,10%",Šakių (Nr.64) rinkimų apygarda,Krikščionių partija,55,112
"0,44%",Šakių (Nr.64) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",13,54
"0,58%",Šakių (Nr.64) rinkimų apygarda,Partija „Jaunoji Lietuva“,16,72
"0,56%",Šakių (Nr.64) rinkimų apygarda,Demokratinė darbo ir vienybės partija,25,61
"0,26%",Šakių (Nr.64) rinkimų apygarda,Emigrantų partija,3,37
"0,12%",Šakių (Nr.64) rinkimų apygarda,Respublikonų partija,9,10
"0,23%",Šakių (Nr.64) rinkimų apygarda,Lietuvos žmonių partija,9,26
"22,84%",Suvalkijos (Nr.63) rinkimų apygarda,Darbo partija,503,3522
"25,00%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos socialdemokratų partija,664,3742
"10,80%",Suvalkijos (Nr.63) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,299,1605
"5,71%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,126,881
"9,52%",Suvalkijos (Nr.63) rinkimų apygarda,„Drąsos kelias“ politinė partija,174,1504
"11,02%",Suvalkijos (Nr.63) rinkimų apygarda,Partija Tvarka ir teisingumas,319,1623
"0,05%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2,6
"4,02%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,52,657
"0,88%",Suvalkijos (Nr.63) rinkimų apygarda,Liberalų ir centro sąjunga,16,139
"0,65%",Suvalkijos (Nr.63) rinkimų apygarda,Politinė partija „Sąjunga Taip“,18,96
"0,78%",Suvalkijos (Nr.63) rinkimų apygarda,Socialistinis liaudies Frontas,14,124
"1,23%",Suvalkijos (Nr.63) rinkimų apygarda,Krikščionių partija,39,178
"0,57%",Suvalkijos (Nr.63) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",11,89
"0,52%",Suvalkijos (Nr.63) rinkimų apygarda,Partija „Jaunoji Lietuva“,10,82
"0,46%",Suvalkijos (Nr.63) rinkimų apygarda,Demokratinė darbo ir vienybės partija,16,65
"0,27%",Suvalkijos (Nr.63) rinkimų apygarda,Emigrantų partija,3,45
"0,23%",Suvalkijos (Nr.63) rinkimų apygarda,Respublikonų partija,5,36
"0,44%",Suvalkijos (Nr.63) rinkimų apygarda,Lietuvos žmonių partija,14,64
"20,80%",Jurbarko (Nr.62) rinkimų apygarda,Darbo partija,470,2630
"27,60%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos socialdemokratų partija,711,3403
"13,10%",Jurbarko (Nr.62) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,351,1601
"4,98%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,123,620
"6,13%",Jurbarko (Nr.62) rinkimų apygarda,„Drąsos kelias“ politinė partija,136,777
"8,59%",Jurbarko (Nr.62) rinkimų apygarda,Partija Tvarka ir teisingumas,216,1064
"0,08%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,5,7
"2,96%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,53,388
"4,56%",Jurbarko (Nr.62) rinkimų apygarda,Liberalų ir centro sąjunga,115,565
"0,95%",Jurbarko (Nr.62) rinkimų apygarda,Politinė partija „Sąjunga Taip“,13,128
"0,81%",Jurbarko (Nr.62) rinkimų apygarda,Socialistinis liaudies Frontas,12,109
"1,45%",Jurbarko (Nr.62) rinkimų apygarda,Krikščionių partija,70,146
"2,00%",Jurbarko (Nr.62) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",30,268
"0,60%",Jurbarko (Nr.62) rinkimų apygarda,Partija „Jaunoji Lietuva“,9,80
"0,50%",Jurbarko (Nr.62) rinkimų apygarda,Demokratinė darbo ir vienybės partija,17,57
"0,15%",Jurbarko (Nr.62) rinkimų apygarda,Emigrantų partija,4,19
"0,16%",Jurbarko (Nr.62) rinkimų apygarda,Respublikonų partija,5,19
"0,19%",Jurbarko (Nr.62) rinkimų apygarda,Lietuvos žmonių partija,8,21
"29,39%",Ukmergės (Nr.61) rinkimų apygarda,Darbo partija,647,4648
"21,93%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos socialdemokratų partija,554,3397
"12,98%",Ukmergės (Nr.61) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,402,1936
"4,54%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,111,706
"6,17%",Ukmergės (Nr.61) rinkimų apygarda,„Drąsos kelias“ politinė partija,116,995
"8,53%",Ukmergės (Nr.61) rinkimų apygarda,Partija Tvarka ir teisingumas,246,1291
"0,21%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,7,30
"5,32%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,114,844
"1,19%",Ukmergės (Nr.61) rinkimų apygarda,Liberalų ir centro sąjunga,28,187
"0,75%",Ukmergės (Nr.61) rinkimų apygarda,Politinė partija „Sąjunga Taip“,21,115
"0,99%",Ukmergės (Nr.61) rinkimų apygarda,Socialistinis liaudies Frontas,23,156
"1,12%",Ukmergės (Nr.61) rinkimų apygarda,Krikščionių partija,51,150
"0,75%",Ukmergės (Nr.61) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",18,118
"0,61%",Ukmergės (Nr.61) rinkimų apygarda,Partija „Jaunoji Lietuva“,16,93
"0,34%",Ukmergės (Nr.61) rinkimų apygarda,Demokratinė darbo ir vienybės partija,21,41
"0,21%",Ukmergės (Nr.61) rinkimų apygarda,Emigrantų partija,2,36
"0,40%",Ukmergės (Nr.61) rinkimų apygarda,Respublikonų partija,10,62
"0,18%",Ukmergės (Nr.61) rinkimų apygarda,Lietuvos žmonių partija,11,21
"28,70%",Jonavos (Nr.60) rinkimų apygarda,Darbo partija,475,4912
"23,50%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos socialdemokratų partija,457,3955
"10,68%",Jonavos (Nr.60) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,217,1788
"8,08%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,137,1379
"8,91%",Jonavos (Nr.60) rinkimų apygarda,„Drąsos kelias“ politinė partija,112,1561
"5,09%",Jonavos (Nr.60) rinkimų apygarda,Partija Tvarka ir teisingumas,133,823
"0,68%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,5,122
"4,95%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,91,838
"0,83%",Jonavos (Nr.60) rinkimų apygarda,Liberalų ir centro sąjunga,11,144
"1,29%",Jonavos (Nr.60) rinkimų apygarda,Politinė partija „Sąjunga Taip“,20,222
"0,84%",Jonavos (Nr.60) rinkimų apygarda,Socialistinis liaudies Frontas,9,148
"0,79%",Jonavos (Nr.60) rinkimų apygarda,Krikščionių partija,15,133
"0,71%",Jonavos (Nr.60) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",10,123
"0,53%",Jonavos (Nr.60) rinkimų apygarda,Partija „Jaunoji Lietuva“,11,88
"0,29%",Jonavos (Nr.60) rinkimų apygarda,Demokratinė darbo ir vienybės partija,13,42
"0,22%",Jonavos (Nr.60) rinkimų apygarda,Emigrantų partija,2,40
"0,14%",Jonavos (Nr.60) rinkimų apygarda,Respublikonų partija,5,21
"0,18%",Jonavos (Nr.60) rinkimų apygarda,Lietuvos žmonių partija,3,31
"23,59%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Darbo partija,778,4003
"25,72%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Lietuvos socialdemokratų partija,962,4250
"12,21%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,327,2148
"7,15%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,167,1281
"6,99%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,„Drąsos kelias“ politinė partija,177,1240
"5,69%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Partija Tvarka ir teisingumas,198,954
"0,57%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,7,108
"3,65%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,110,630
"2,78%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Liberalų ir centro sąjunga,84,480
"1,40%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Politinė partija „Sąjunga Taip“,40,243
"0,94%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Socialistinis liaudies Frontas,24,166
"2,02%",Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,Krikščionių partija,81,329
